task_id,seed,runtime_ms,joules,correct
L1_1,11,16.468527,4.983918,False
L1_2,11,18.472634,7.955803,True
L1_3,11,10.401967,4.749172,True
L1_4,11,16.384064,4.43439,True
L1_5,11,32.14541,5.775827,True
L1_6,11,12.139276,3.121456,True
L1_7,11,21.204594,4.908911,True
L1_8,11,26.617168,8.512294,True
L1_9,11,16.945791,3.981449,True
L1_10,11,17.097997,4.096112,True
L1_11,11,28.849094,8.158251,True
L1_12,11,10.248384,4.313499,True
L1_13,11,25.187295,5.578512,True
L1_14,11,19.583381,8.30725,True
L1_15,11,15.508055,3.260335,True
L1_16,11,18.484205,3.242028,True
L1_17,11,30.731053,8.015287,False
L1_18,11,14.326495,4.800615,True
L1_19,11,22.671933,6.982348,False
L1_20,11,17.782973,4.710268,True
L1_21,11,17.048924,4.94628,False
L1_22,11,24.485506,4.135777,True
L1_23,11,32.330997,6.115285,True
L1_24,11,17.822319,5.080029,True
L1_25,11,14.74351,6.84556,True
L1_26,11,25.69718,4.33331,False
L1_27,11,12.084373,3.871995,True
L1_28,11,23.057585,4.265099,True
L1_29,11,20.062868,4.842586,False
L1_30,11,17.483011,4.22426,False
L1_31,11,25.512584,3.180598,True
L1_32,11,27.319961,6.199401,True
L1_33,11,16.323477,3.709629,True
L1_34,11,18.236919,6.099197,True
L1_35,11,22.991838,7.42112,False
L1_36,11,17.274799,3.575929,False
L1_37,11,24.395636,4.12535,False
L1_38,11,28.443761,7.73386,False
L1_39,11,15.369698,2.927061,True
L1_40,11,16.38182,6.690538,False
L2_1,11,22.679529,6.633658,True
L2_2,11,21.994716,8.606456,True
L2_3,11,16.010629,4.921581,True
L2_4,11,23.557225,6.657134,True
L2_5,11,27.798695,4.991367,False
L2_6,11,22.148181,6.699994,True
L2_7,11,21.675432,4.696333,True
L2_8,11,22.288095,9.822376,True
L2_9,11,14.165394,3.146033,False
L2_10,11,18.231715,4.946027,True
L2_11,11,36.396075,10.509794,False
L2_12,11,24.174182,4.699339,True
L2_13,11,31.004851,6.382453,True
L2_14,11,31.092563,9.866504,True
L2_15,11,25.22697,4.702247,True
L2_16,11,20.81646,7.425754,False
L2_17,11,31.280455,6.700276,True
L2_18,11,18.073993,4.170428,True
L2_19,11,32.263971,8.514309,False
L2_20,11,22.094609,6.572981,True
L3_1,11,30.281404,6.721371,False
L3_2,11,18.917791,5.154281,True
L3_3,11,23.475962,7.597254,True
L3_4,11,24.45694,5.363962,False
L3_5,11,21.750347,9.763798,False
L3_6,11,17.730066,8.254089,False
L3_7,11,25.387145,9.684498,True
L3_9,11,24.233354,6.274621,True
L3_10,11,18.500864,8.8808,False
L4_1,11,34.56118,10.008025,True
L4_2,11,35.744645,7.183015,True
L4_3,11,28.966335,9.689098,False
L4_4,11,25.922383,10.207853,False
L4_6,11,38.43814,10.763259,True
L4_7,11,28.453094,10.904635,False
L4_8,11,25.224896,8.750126,False
L4_9,11,44.320695,10.090873,True
L1_1,22,22.354702,3.221778,False
L1_2,22,31.334829,6.095336,True
L1_3,22,16.876273,4.150577,False
L1_5,22,23.121848,4.677832,False
L1_7,22,13.931256,5.209766,False
L1_9,22,12.178568,4.004916,False
L1_10,22,20.654448,4.008954,False
L1_11,22,22.500538,7.866521,False
L1_13,22,20.203888,5.529254,True
L1_14,22,18.171356,8.658651,False
L1_15,22,12.786613,2.510797,True
L1_17,22,21.212773,4.407461,True
L1_18,22,17.630823,3.869412,False
L1_20,22,20.212413,5.866726,False
L1_21,22,16.690916,4.585799,False
L1_22,22,23.191719,5.248151,True
L1_23,22,17.339028,8.205585,False
L1_25,22,20.559952,3.088101,False
L1_26,22,26.237823,6.949123,False
L1_30,22,11.835399,3.144367,True
L1_32,22,25.204469,5.357741,False
L1_33,22,16.011856,3.732786,True
L1_34,22,18.451931,4.918493,True
L1_35,22,22.184754,6.105649,False
L1_36,22,15.134813,4.353795,True
L1_37,22,24.681445,5.778023,True
L1_38,22,23.656811,4.740369,False
L1_39,22,12.357809,4.524072,True
L1_40,22,15.481889,5.557076,False
L2_1,22,23.777962,5.220064,True
L2_2,22,30.977401,7.821814,False
L2_3,22,21.663124,5.831565,False
L2_5,22,26.033059,5.937754,True
L2_6,22,23.274586,4.520953,True
L2_7,22,23.092436,7.458107,False
L2_8,22,32.699769,7.177473,False
L2_9,22,24.215595,5.863636,False
L2_10,22,22.664315,5.033568,False
L2_11,22,37.938125,8.826041,True
L2_12,22,17.377993,5.407153,False
L2_15,22,23.193036,6.212959,True
L2_16,22,22.016327,5.162322,False
L2_17,22,25.779236,4.734648,False
L2_18,22,15.755294,3.535657,False
L2_19,22,30.850269,8.158148,True
L2_20,22,33.097828,5.824146,False
L3_2,22,21.806785,7.604648,False
L3_3,22,29.13393,7.676387,False
L3_4,22,24.520704,5.135018,False
L3_5,22,31.375822,6.682998,False
L3_8,22,23.978232,6.167704,False
L3_10,22,27.397399,5.94433,False
L4_1,22,27.648745,9.120809,True
L4_2,22,29.861498,7.193106,False
L4_3,22,40.144511,7.163453,False
L4_4,22,23.976828,8.01166,False
L4_6,22,30.94298,9.415809,False
L4_7,22,34.796394,5.731831,False
L4_8,22,26.209154,6.097527,False
L4_9,22,29.196053,11.807224,False
L1_1,33,19.546441,3.281907,True
L1_2,33,20.540623,4.542772,False
L1_3,33,15.222576,3.558938,False
L1_4,33,16.546559,5.134973,True
L1_6,33,10.047902,3.103344,True
L1_7,33,21.578647,4.252192,True
L1_8,33,29.928692,4.603596,True
L1_9,33,16.619006,3.501993,True
L1_10,33,18.084284,3.183987,True
L1_12,33,10.366923,3.150002,True
L1_13,33,13.042827,3.976731,False
L1_14,33,26.471871,3.609116,False
L1_15,33,15.609658,2.565887,True
L1_16,33,22.744963,6.379581,False
L1_17,33,18.496745,7.056971,True
L1_18,33,9.62503,3.402884,True
L1_19,33,19.93094,5.958582,True
L1_20,33,18.693182,8.176728,True
L1_21,33,15.446338,3.063378,False
L1_22,33,13.781152,6.475668,False
L1_23,33,23.999939,5.87364,False
L1_24,33,13.057579,3.977695,True
L1_25,33,20.020572,5.370222,True
L1_26,33,29.530494,8.179542,True
L1_27,33,12.492812,2.405406,True
L1_28,33,15.943639,3.496399,False
L1_29,33,29.714648,3.742827,False
L1_30,33,10.91102,3.000354,True
L1_31,33,15.446749,3.32063,False
L1_32,33,23.086251,6.457269,False
L1_33,33,15.779894,4.723828,True
L1_34,33,13.785162,5.632964,True
L1_35,33,26.955577,5.668107,False
L1_37,33,21.7627,4.222882,True
L1_38,33,17.943215,3.626257,False
L1_39,33,15.041837,3.625274,True
L1_40,33,13.147456,3.399833,True
L2_1,33,27.691832,3.699649,True
L2_2,33,36.077963,8.040068,False
L2_3,33,23.209949,3.861986,True
L2_4,33,19.359063,6.759557,False
L2_5,33,23.620458,7.257543,True
L2_6,33,13.163755,4.821431,True
L2_7,33,23.610561,5.9002,True
L2_8,33,28.359183,5.166159,True
L2_9,33,13.061537,5.06113,True
L2_10,33,25.321357,4.217167,False
L2_11,33,29.017929,5.346851,False
