run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M5_HRL::hierarchical_control::seed11::L1_1,11,L1_1,1,1,1.742997,2.087963,0.303219,169.202,0,15.706091,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_2,11,L1_2,1,0,2.359931,1.890309,0.340414,147.602,0,10.706017,-1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_3,11,L1_3,1,1,2.539426,1.667056,0.425215,175.856,0,14.913943,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_4,11,L1_4,1,1,2.550183,1.904716,0.357278,143.73,0,15.250099,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_5,11,L1_5,1,1,1.520656,2.308967,0.223861,156.54,0,15.950986,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_6,11,L1_6,1,1,2.102014,1.905509,0.353684,173.757,0,15.98534,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_7,11,L1_7,1,1,2.174301,2.023739,0.325597,154.647,0,15.79323,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_8,11,L1_8,1,0,1.744357,2.075559,0.265957,153.927,0,10.013444,-1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_9,11,L1_9,1,1,1.602517,1.804304,0.27276,175.816,0,16.138308,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_10,11,L1_10,1,1,2.469369,1.851839,0.441646,185.856,0,14.884554,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_11,11,L1_11,1,1,2.252162,1.803362,0.366557,156.669,0,15.650918,1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_12,11,L1_12,0,0,1.763311,1.998283,0.248906,142.102,0,9.528627,-1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
run::M5_HRL::hierarchical_control::seed11::L1_13,11,L1_13,1,0,2.898504,2.163304,0.547548,177.714,0,10.370008,-1,,hrl,checkpoints/exp/hierarchical_control/m5_hrl/seed11/checkpoint.json
