task_id,runtime_ms,joules,speedup,dominated
L1_1,14.777058,3.517933,1.0816,True
L1_3,13.512952,3.474998,1.5594,True
L1_4,20.613138,3.80636,1.0946,True
L1_8,17.688387,5.040813,1.1008,True
L1_10,17.209083,4.76989,1.8907,True
L1_11,22.757936,5.221333,1.5742,True
L1_12,11.0885,3.394205,1.3692,True
L1_17,17.677273,3.43269,1.7537,True
L1_22,12.874034,5.219589,2.3363,True
L1_26,20.627316,4.526151,1.9818,True
L1_31,18.767666,5.755563,1.8595,True
L1_36,12.111938,2.461109,1.9201,True
L1_37,13.728525,5.90506,2.0366,True
L1_39,12.909364,2.899704,1.2239,True
L2_6,20.915332,4.618182,1.889,True
L2_7,21.066899,3.453227,1.7309,True
L2_9,12.816892,3.302346,1.1397,True
L2_11,19.296168,8.110613,1.8987,True
L2_13,26.427035,4.451031,1.9752,True
L2_15,15.726792,4.654148,1.6557,True
L2_16,20.345265,3.439946,1.724,True
L2_18,13.375673,5.414469,1.1159,True
L3_1,22.206182,4.619725,2.1229,True
L3_2,23.930684,7.299995,2.3525,True
L3_6,18.476939,5.411308,2.3256,True
L3_7,26.390304,8.65542,2.3806,True
L4_1,25.465823,8.624328,1.6475,True
L4_2,34.619974,5.751939,1.2159,True
L4_6,20.201818,6.953106,2.4723,True
L1_1,14.371334,5.679346,1.8697,True
L1_3,9.263583,3.887277,2.2788,False
L1_4,17.706062,2.979776,1.762,True
L1_6,10.414752,3.100492,1.348,False
L1_8,23.240544,4.375605,1.4003,True
L1_9,15.368387,3.254883,1.2012,True
L1_10,16.431289,4.538642,1.4989,True
L1_12,13.739896,2.152081,1.809,False
L1_15,16.325542,2.34733,2.3418,True
L1_16,22.207733,4.925229,1.1745,True
L1_21,12.061422,2.721802,1.203,True
L1_24,11.444693,2.308952,1.3539,False
L1_25,14.681417,5.208899,1.2555,True
L1_26,19.530859,3.845199,2.0453,True
L1_27,12.972121,4.088568,2.2791,True
L1_28,20.591699,3.940509,1.1576,True
L1_29,27.373423,5.644707,1.7099,True
L1_30,13.005803,2.421132,1.5003,True
L1_31,16.947407,3.559399,2.0492,True
L1_32,15.878994,5.614035,2.4382,True
L1_34,21.344339,5.664521,2.1649,True
L1_36,15.009119,2.272007,2.4696,True
L1_39,12.280247,4.014244,2.4264,True
L1_40,14.624112,2.806181,1.9909,True
L2_1,24.836125,5.38934,1.7629,True
L2_2,32.775453,6.541657,2.3864,True
L2_3,19.574679,5.808536,1.4328,True
L2_4,17.341029,5.374919,1.8085,True
L2_6,21.182283,2.979121,1.6035,True
L2_7,15.891842,3.57508,1.3743,True
L2_8,33.067653,4.372101,2.2789,True
L2_9,17.563362,5.700786,1.5482,True
L2_10,15.890197,3.847211,1.8397,True
L2_12,21.76139,4.269135,1.0847,True
L2_14,27.295821,6.429959,1.0867,True
L2_15,13.731583,4.559534,1.5171,True
L2_16,17.737715,4.212934,1.7637,True
L2_17,22.833139,6.728377,1.5619,True
L2_18,19.985802,4.44203,1.6892,True
L3_1,26.004913,8.213448,1.7941,True
L3_3,26.402226,7.952641,1.2352,True
L3_4,25.410764,4.004371,2.0108,True
L3_8,20.908584,7.261445,1.6553,True
L3_9,29.884271,8.681805,1.5731,True
L3_10,28.393409,5.604786,1.0602,True
L4_2,24.181563,6.016897,1.7395,True
L4_4,20.824447,8.249027,1.3401,True
L4_5,32.982268,10.738462,1.7666,True
L4_6,27.165092,5.448744,1.3125,True
L4_8,21.121376,6.187949,2.0282,True
L4_9,36.262698,6.648336,1.942,True
L1_2,15.214291,5.180877,1.9406,True
L1_4,17.642856,3.074101,1.7248,True
L1_8,26.893395,5.239779,1.7476,True
L1_9,15.735057,2.775107,1.598,True
L1_10,18.038086,3.687154,2.4535,True
L1_12,14.901459,3.986611,1.6856,True
L1_13,16.723982,5.129759,2.0535,True
L1_16,19.536602,3.341748,1.508,True
L1_17,26.244002,3.619251,1.2268,True
L1_18,12.947562,3.071247,2.4695,True
L1_19,19.802694,4.757683,1.4802,True
L1_20,16.906819,6.72463,1.5496,True
L1_21,14.883107,2.615686,2.4426,True
L1_22,13.29712,2.813256,1.6639,True
L1_25,16.256315,5.286688,2.1717,True
L1_26,16.12627,4.261048,1.3533,True
L1_27,15.786302,2.597954,2.0846,True
L1_28,20.025485,5.411351,1.17,True
L1_29,23.07507,3.644892,2.4913,True
L1_33,11.485379,3.556773,2.1028,True
L1_34,16.360125,3.03832,2.2892,True
L1_35,22.885783,5.724027,1.2521,True
L1_37,12.112718,3.767319,2.1422,True
L1_38,20.9839,6.190778,2.3503,True
L1_39,14.655908,2.120356,1.9933,False
L2_2,22.139061,6.043185,1.5963,True
L2_4,19.654086,3.717897,2.2493,True
L2_5,30.584936,3.776536,1.1235,True
L2_9,15.876884,3.51847,2.2548,True
L2_14,32.594549,6.021449,1.855,True
L2_15,21.057566,3.462107,1.8159,True
L2_18,19.626083,2.690572,1.7156,True
L3_1,22.579525,6.414722,2.0761,True
L3_2,21.713583,5.468788,2.4561,True
L3_7,23.168636,6.256497,1.9914,True
L3_10,22.063152,6.049859,2.2096,True
L4_4,21.945751,3.979856,1.0549,True
