idx,x,y,series,label
1,0.309495,0.286222,reward_curve,reward_curve_1
2,0.689214,0.886567,reward_curve,reward_curve_2
3,0.252759,0.81186,reward_curve,reward_curve_3
4,0.387002,0.384345,reward_curve,reward_curve_4
5,0.866867,0.531121,reward_curve,reward_curve_5
6,0.909473,0.889713,reward_curve,reward_curve_6
7,0.97711,0.41326,reward_curve,reward_curve_7
8,0.232579,0.543091,reward_curve,reward_curve_8
9,0.747437,0.494886,reward_curve,reward_curve_9
10,0.209821,0.751374,reward_curve,reward_curve_10
11,0.385117,0.817114,reward_curve,reward_curve_11
12,0.376317,0.968913,reward_curve,reward_curve_12
13,0.148361,0.083432,reward_curve,reward_curve_13
14,0.735413,0.526074,reward_curve,reward_curve_14
15,0.41918,0.148838,reward_curve,reward_curve_15
16,0.837979,0.695609,reward_curve,reward_curve_16
17,0.83767,0.342166,reward_curve,reward_curve_17
18,0.012304,0.891511,reward_curve,reward_curve_18
19,0.115717,0.345429,reward_curve,reward_curve_19
20,0.356275,0.306427,reward_curve,reward_curve_20
21,0.261295,0.463419,reward_curve,reward_curve_21
22,0.427333,0.15861,reward_curve,reward_curve_22
23,0.714002,0.160685,reward_curve,reward_curve_23
24,0.879354,0.281074,reward_curve,reward_curve_24
25,0.462727,0.246223,reward_curve,reward_curve_25
26,0.305477,0.301199,reward_curve,reward_curve_26
27,0.885951,0.813955,reward_curve,reward_curve_27
28,0.884098,0.391453,reward_curve,reward_curve_28
29,0.335318,0.703143,reward_curve,reward_curve_29
30,0.850861,0.741087,reward_curve,reward_curve_30
