task_id,seed,runtime_ms,joules,correct
L1_1,11,14.777058,3.517933,True
L1_2,11,26.209157,7.23874,False
L1_3,11,13.512952,3.474998,True
L1_4,11,20.613138,3.80636,True
L1_5,11,26.328487,5.881097,False
L1_6,11,13.52374,3.084822,False
L1_8,11,17.688387,5.040813,True
L1_9,11,12.410229,2.865761,False
L1_10,11,17.209083,4.76989,True
L1_11,11,22.757936,5.221333,True
L1_12,11,11.0885,3.394205,True
L1_13,11,18.119477,3.526029,False
L1_14,11,28.931962,6.694166,False
L1_17,11,17.677273,3.43269,True
L1_18,11,9.223914,3.280707,False
L1_19,11,14.663747,3.753495,False
L1_21,11,9.721747,3.396725,False
L1_22,11,12.874034,5.219589,True
L1_23,11,20.46833,6.197925,False
L1_24,11,10.110028,3.836068,False
L1_26,11,20.627316,4.526151,True
L1_28,11,21.87658,3.264663,False
L1_30,11,14.111881,3.318011,False
L1_31,11,18.767666,5.755563,True
L1_33,11,10.572845,3.706022,False
L1_34,11,20.116549,4.759036,False
L1_35,11,19.423183,4.175219,False
L1_36,11,12.111938,2.461109,True
L1_37,11,13.728525,5.90506,True
L1_38,11,17.735128,5.849459,False
L1_39,11,12.909364,2.899704,True
L1_40,11,14.066619,5.21163,False
L2_1,11,18.458397,6.546862,False
L2_2,11,28.517623,5.514061,False
L2_3,11,22.336515,3.157843,False
L2_4,11,18.851387,3.447294,False
L2_6,11,20.915332,4.618182,True
L2_7,11,21.066899,3.453227,True
L2_8,11,25.14384,7.322205,False
L2_9,11,12.816892,3.302346,True
L2_11,11,19.296168,8.110613,True
L2_13,11,26.427035,4.451031,True
L2_15,11,15.726792,4.654148,True
L2_16,11,20.345265,3.439946,True
L2_17,11,22.154493,7.995274,False
L2_18,11,13.375673,5.414469,True
L2_19,11,17.338702,4.531701,False
L2_20,11,23.232918,6.248038,False
L3_1,11,22.206182,4.619725,True
L3_2,11,23.930684,7.299995,True
L3_4,11,24.834345,4.52196,False
L3_5,11,22.811617,5.671337,False
L3_6,11,18.476939,5.411308,True
L3_7,11,26.390304,8.65542,True
L3_8,11,28.426725,4.301991,False
L3_9,11,28.776799,7.67304,False
L3_10,11,17.485036,5.345594,False
L4_1,11,25.465823,8.624328,True
L4_2,11,34.619974,5.751939,True
L4_4,11,34.777197,8.220669,False
L4_5,11,29.041505,6.320203,False
L4_6,11,20.201818,6.953106,True
L4_7,11,31.764452,10.659065,False
L4_8,11,20.309546,8.308774,False
L1_1,22,14.371334,5.679346,True
L1_2,22,20.93043,5.972947,False
L1_3,22,9.263583,3.887277,True
L1_4,22,17.706062,2.979776,True
L1_5,22,20.103792,6.323906,False
L1_6,22,10.414752,3.100492,True
L1_7,22,16.612317,5.872088,False
L1_8,22,23.240544,4.375605,True
L1_9,22,15.368387,3.254883,True
L1_10,22,16.431289,4.538642,True
L1_11,22,20.942953,4.630696,False
L1_12,22,13.739896,2.152081,True
L1_13,22,13.528228,4.08459,False
L1_14,22,25.840651,7.479877,False
L1_15,22,16.325542,2.34733,True
L1_16,22,22.207733,4.925229,True
L1_17,22,27.391884,6.40248,False
L1_18,22,11.815155,3.508554,False
L1_19,22,12.571375,3.492831,False
L1_21,22,12.061422,2.721802,True
L1_22,22,17.222786,3.814863,False
L1_23,22,17.072815,6.803848,False
L1_24,22,11.444693,2.308952,True
L1_25,22,14.681417,5.208899,True
L1_26,22,19.530859,3.845199,True
L1_27,22,12.972121,4.088568,True
L1_28,22,20.591699,3.940509,True
L1_29,22,27.373423,5.644707,True
L1_30,22,13.005803,2.421132,True
L1_31,22,16.947407,3.559399,True
L1_32,22,15.878994,5.614035,True
L1_33,22,13.048555,3.190371,False
L1_34,22,21.344339,5.664521,True
L1_35,22,28.433513,5.823711,False
L1_36,22,15.009119,2.272007,True
L1_37,22,16.9819,4.129993,False
L1_39,22,12.280247,4.014244,True
L1_40,22,14.624112,2.806181,True
L2_1,22,24.836125,5.38934,True
L2_2,22,32.775453,6.541657,True
L2_3,22,19.574679,5.808536,True
L2_4,22,17.341029,5.374919,True
L2_5,22,34.861671,9.089875,False
L2_6,22,21.182283,2.979121,True
L2_7,22,15.891842,3.57508,True
L2_8,22,33.067653,4.372101,True
L2_9,22,17.563362,5.700786,True
L2_10,22,15.890197,3.847211,True
L2_11,22,22.585769,7.874293,False
L2_12,22,21.76139,4.269135,True
L2_13,22,22.160307,5.274855,False
L2_14,22,27.295821,6.429959,True
L2_15,22,13.731583,4.559534,True
L2_16,22,17.737715,4.212934,True
L2_17,22,22.833139,6.728377,True
L2_18,22,19.985802,4.44203,True
L2_20,22,23.325655,7.349391,False
L3_1,22,26.004913,8.213448,True
L3_2,22,21.331531,4.772088,False
L3_3,22,26.402226,7.952641,True
L3_4,22,25.410764,4.004371,True
L3_5,22,24.633943,4.803245,False
L3_6,22,25.63789,3.428013,False
L3_7,22,31.893698,7.793576,False
L3_8,22,20.908584,7.261445,True
L3_9,22,29.884271,8.681805,True
L3_10,22,28.393409,5.604786,True
L4_1,22,37.156587,8.207853,False
L4_2,22,24.181563,6.016897,True
L4_3,22,29.765851,6.055036,False
L4_4,22,20.824447,8.249027,True
L4_5,22,32.982268,10.738462,True
L4_6,22,27.165092,5.448744,True
L4_7,22,39.259476,9.602318,False
L4_8,22,21.121376,6.187949,True
L4_9,22,36.262698,6.648336,True
L1_1,33,13.87102,2.655763,False
L1_2,33,15.214291,5.180877,True
L1_3,33,10.34588,2.848467,False
L1_4,33,17.642856,3.074101,True
L1_5,33,25.458884,3.737827,False
L1_6,33,9.343953,2.637337,False
L1_7,33,17.818578,2.805601,False
L1_8,33,26.893395,5.239779,True
L1_9,33,15.735057,2.775107,True
L1_10,33,18.038086,3.687154,True
L1_11,33,16.879023,4.611527,False
L1_12,33,14.901459,3.986611,True
L1_13,33,16.723982,5.129759,True
L1_14,33,27.608212,5.746195,False
L1_15,33,9.312363,3.312666,False
L1_16,33,19.536602,3.341748,True
L1_17,33,26.244002,3.619251,True
L1_18,33,12.947562,3.071247,True
L1_19,33,19.802694,4.757683,True
L1_20,33,16.906819,6.72463,True
L1_21,33,14.883107,2.615686,True
L1_22,33,13.29712,2.813256,True
L1_24,33,12.848065,1.75537,False
L1_25,33,16.256315,5.286688,True
L1_26,33,16.12627,4.261048,True
L1_27,33,15.786302,2.597954,True
L1_28,33,20.025485,5.411351,True
L1_29,33,23.07507,3.644892,True
L1_30,33,9.767202,2.9637,False
L1_32,33,20.508545,4.842192,False
L1_33,33,11.485379,3.556773,True
L1_34,33,16.360125,3.03832,True
L1_35,33,22.885783,5.724027,True
L1_36,33,8.735254,2.559049,False
L1_37,33,12.112718,3.767319,True
L1_38,33,20.9839,6.190778,True
L1_39,33,14.655908,2.120356,True
L1_40,33,16.814504,4.073201,False
L2_1,33,18.651987,5.319627,False
L2_2,33,22.139061,6.043185,True
L2_3,33,20.807114,3.512558,False
L2_4,33,19.654086,3.717897,True
L2_5,33,30.584936,3.776536,True
L2_6,33,14.82559,3.487205,False
L2_7,33,15.800464,4.803001,False
L2_8,33,24.819296,6.005748,False
L2_9,33,15.876884,3.51847,True
L2_11,33,33.378472,4.109102,False
L2_12,33,20.357254,3.556428,False
L2_13,33,19.898754,5.524474,False
L2_14,33,32.594549,6.021449,True
L2_15,33,21.057566,3.462107,True
L2_16,33,21.220008,3.590881,False
L2_17,33,22.838691,8.161842,False
L2_18,33,19.626083,2.690572,True
L2_19,33,20.233259,6.346504,False
L2_20,33,25.315226,7.851413,False
L3_1,33,22.579525,6.414722,True
L3_2,33,21.713583,5.468788,True
L3_4,33,24.06042,3.515877,False
L3_5,33,30.310663,4.672248,False
L3_6,33,17.295018,5.112487,False
L3_7,33,23.168636,6.256497,True
L3_9,33,23.352899,5.47338,False
L3_10,33,22.063152,6.049859,True
L4_1,33,32.3007,4.463881,False
L4_2,33,23.298758,3.889794,False
L4_3,33,23.233359,8.41085,False
L4_4,33,21.945751,3.979856,True
L4_6,33,26.139741,4.017143,False
L4_8,33,27.615887,4.947313,False
L4_9,33,30.46711,9.895044,False
