task_id,runtime_ms,joules,speedup,dominated
L1_4,22.182911,3.484852,1.7793,True
L1_6,9.103501,3.13222,2.2137,False
L1_10,20.405015,5.689664,2.2889,True
L1_11,18.445245,4.576743,1.8534,True
L1_12,13.584648,2.378145,1.5851,True
L1_14,27.46296,7.572993,2.3445,True
L1_16,19.079489,2.759031,1.2766,True
L1_18,14.38728,3.995815,1.6799,True
L1_21,15.960251,3.527514,2.2578,True
L1_22,20.871412,5.143536,1.4624,True
L1_27,12.821312,2.416641,1.9037,True
L1_28,17.587464,5.82409,1.5792,True
L1_30,13.504727,3.174678,2.161,True
L1_32,24.296871,5.084363,1.7888,True
L1_36,11.327366,3.948049,1.0815,True
L1_37,16.468332,4.147383,1.2751,True
L1_39,9.446075,2.701463,1.2609,False
L1_40,20.310219,3.594364,1.1506,True
L2_2,19.742169,5.785169,2.133,True
L2_3,19.453139,4.316588,2.3825,True
L2_7,28.688525,3.775287,2.3362,True
L2_9,13.371983,3.129636,2.2897,True
L2_10,18.279204,5.063974,1.3536,True
L2_11,27.813257,8.002077,1.5264,True
L2_12,20.294375,5.163495,2.3045,True
L2_13,23.804091,4.513165,1.6141,True
L2_15,22.360638,3.48232,2.162,True
L2_16,20.506115,4.478648,1.9149,True
L2_17,27.18472,4.646336,1.6744,True
L2_18,14.766653,4.681765,2.1724,True
L2_20,30.980369,7.475836,1.8027,True
L3_3,23.530527,4.260929,2.0992,True
L3_7,21.965962,8.183988,1.0544,True
L3_8,17.002819,6.086537,1.9092,True
L3_9,28.988222,8.863305,1.9022,True
L4_1,37.507647,6.809875,1.5831,True
L4_4,22.435312,6.400504,2.3579,True
L4_8,28.100644,5.1587,1.9555,True
L1_1,13.178676,3.278391,1.4712,True
L1_2,18.009482,6.856554,1.6736,True
L1_3,12.561079,4.212887,1.5032,True
L1_4,18.18352,3.698352,1.2137,True
L1_7,14.365701,4.837912,1.7194,True
L1_9,15.639532,2.532286,1.6103,True
L1_10,19.045787,3.241449,1.5674,True
L1_11,20.14339,3.237033,1.7291,True
L1_12,13.280631,1.87125,1.754,False
L1_13,13.943116,5.207073,2.1934,True
L1_14,26.17041,5.725495,2.0971,True
L1_15,10.062952,4.188096,1.6344,True
L1_16,16.859562,3.766983,2.3992,True
L1_18,16.428693,2.385129,1.9016,True
L1_19,15.867305,5.769272,2.1991,True
L1_20,27.321078,3.429925,1.85,True
L1_21,12.445126,3.614113,2.2685,True
L1_22,21.58161,4.616495,1.0822,True
L1_24,16.490796,3.066005,1.9408,True
L1_27,10.969282,3.674479,1.4048,True
L1_28,16.743083,3.226869,2.3969,True
L1_30,13.138615,2.519693,1.6459,True
L1_31,21.723733,3.217885,2.3628,True
L1_32,16.158112,6.700502,2.4356,True
L1_33,15.549339,2.718721,1.541,True
L1_34,17.095985,5.025575,2.2606,True
L1_36,13.153849,2.140449,2.0551,True
L1_37,13.787829,2.91203,1.9741,True
L1_38,16.407454,6.663343,2.0204,True
L1_39,16.745333,2.360895,1.5869,True
L1_40,16.553749,4.171231,1.7146,True
L2_1,28.645001,7.210557,1.4345,True
L2_3,17.95387,4.833423,2.1624,True
L2_4,20.188772,5.180623,1.7231,True
L2_5,24.467522,8.576193,1.116,True
L2_7,23.084245,6.765368,2.2969,True
L2_8,35.640815,4.872874,1.3896,True
L2_12,16.267606,3.054644,1.7244,True
L2_13,27.529156,4.447835,2.0355,True
L2_15,19.132547,3.051027,1.978,True
L2_16,29.34306,3.817034,2.4036,True
L2_18,15.889713,5.223622,1.8994,True
L2_20,29.077803,4.38825,2.4963,True
L3_1,34.60311,5.63864,1.693,True
L3_2,22.806752,6.439617,1.591,True
L3_3,23.81059,4.184236,1.5133,True
L3_5,22.301796,8.17013,1.0958,True
L3_6,22.304234,6.130725,1.7481,True
L3_7,34.920683,7.540297,1.6038,True
L3_8,18.591507,4.677976,1.7712,True
L3_10,19.468226,4.830195,1.4796,True
L4_1,37.572304,9.997606,1.5875,True
L4_5,24.471625,8.05459,2.3533,True
L4_8,24.009988,6.752035,1.6024,True
L1_1,17.049438,3.797776,1.7715,True
L1_2,21.102662,5.379914,1.3856,True
L1_3,15.102187,4.006837,1.3074,True
L1_4,21.804889,5.260079,1.5327,True
L1_5,20.011515,5.234684,1.6469,True
L1_7,13.953434,3.040357,1.6628,True
L1_8,23.252806,6.193102,2.1306,True
L1_10,16.959075,5.119326,1.5272,True
L1_13,20.954722,4.622753,1.9714,True
L1_14,17.921843,4.293089,1.9471,True
L1_15,12.90849,3.821472,1.487,True
L1_16,12.161701,3.450949,1.8347,True
L1_18,14.046036,2.196436,1.2718,True
L1_20,15.312693,7.028772,2.1515,True
L1_21,10.250075,3.159397,1.7575,True
L1_22,21.615666,4.65401,1.6926,True
L1_24,15.611189,3.80224,1.2968,True
L1_25,22.226107,4.862753,2.1987,True
L1_28,22.161662,5.128623,2.0052,True
L1_30,12.11165,3.901079,2.0833,True
L1_31,12.582178,2.781593,1.1758,True
L1_33,15.467987,3.453928,2.4566,True
L1_36,9.754425,2.13374,1.207,False
L1_37,20.237626,4.890228,1.3458,True
L1_39,15.059407,2.635548,1.8496,True
L1_40,14.861371,4.934325,2.2978,True
L2_3,14.904001,5.522399,1.0686,True
L2_4,20.075003,6.427237,1.5165,True
L2_5,31.746767,6.411042,1.9077,True
L2_6,19.866241,3.517706,1.4397,True
L2_8,32.346179,6.115074,1.0732,True
L2_9,20.245168,4.121003,2.1468,True
L2_10,23.830168,5.431817,2.4157,True
L2_12,19.480498,5.611566,2.0756,True
L2_14,19.832201,4.186338,2.2457,True
L2_16,16.279492,3.602218,1.4622,True
L2_18,14.581111,5.568836,1.1151,True
L3_1,28.060601,4.472231,1.2267,True
L3_4,18.618197,4.885083,2.0174,True
L3_5,23.662585,8.251026,1.35,True
L3_6,27.095444,4.891545,1.3215,True
L3_10,23.511262,5.194049,2.3037,True
L4_2,30.4154,5.705127,1.3491,True
L4_3,26.708339,9.229878,2.18,True
L4_4,27.350964,4.070091,1.5404,True
L4_7,27.570346,8.25088,2.4791,True
L4_8,25.753101,7.808381,2.2873,True
L4_9,31.313509,5.902604,1.4205,True
