idx,x,y,series,label
1,1,0.632703,passatk,turn_1_p1
2,2,0.704253,passatk,turn_2_p2
3,3,0.744306,passatk,turn_3_p3
4,4,0.766724,passatk,turn_4_p4
5,5,0.795632,passatk,turn_5_p5
6,1,0.647122,passatk,turn_1_p6
7,2,0.70396,passatk,turn_2_p7
8,3,0.747995,passatk,turn_3_p8
9,4,0.770121,passatk,turn_4_p9
10,5,0.789028,passatk,turn_5_p10
11,1,0.638672,passatk,turn_1_p11
12,2,0.696875,passatk,turn_2_p12
13,3,0.738161,passatk,turn_3_p13
14,4,0.767929,passatk,turn_4_p14
15,5,0.784019,passatk,turn_5_p15
16,1,0.646745,passatk,turn_1_p16
17,2,0.700979,passatk,turn_2_p17
18,3,0.741834,passatk,turn_3_p18
19,4,0.770836,passatk,turn_4_p19
20,5,0.795255,passatk,turn_5_p20
21,1,0.632794,passatk,turn_1_p21
22,2,0.704654,passatk,turn_2_p22
23,3,0.747518,passatk,turn_3_p23
24,4,0.766153,passatk,turn_4_p24
25,5,0.785212,passatk,turn_5_p25
26,1,0.634824,passatk,turn_1_p26
27,2,0.70534,passatk,turn_2_p27
28,3,0.74225,passatk,turn_3_p28
29,4,0.773885,passatk,turn_4_p29
30,5,0.792516,passatk,turn_5_p30
