idx,x,y,series,label
1,1,8.724665,reward_curve,step_1
2,2,8.772106,reward_curve,step_2
3,3,8.999405,reward_curve,step_3
4,4,9.205867,reward_curve,step_4
5,5,9.226662,reward_curve,step_5
6,6,9.387499,reward_curve,step_6
7,7,9.487947,reward_curve,step_7
8,8,9.475438,reward_curve,step_8
9,9,9.602812,reward_curve,step_9
10,10,9.68226,reward_curve,step_10
11,11,9.652102,reward_curve,step_11
12,12,9.666951,reward_curve,step_12
13,13,9.764583,reward_curve,step_13
14,14,9.849017,reward_curve,step_14
15,15,9.865457,reward_curve,step_15
16,16,9.759326,reward_curve,step_16
17,17,9.881652,reward_curve,step_17
18,18,9.815519,reward_curve,step_18
19,19,9.930123,reward_curve,step_19
20,20,9.907706,reward_curve,step_20
21,21,10.005108,reward_curve,step_21
22,22,9.930956,reward_curve,step_22
23,23,10.010498,reward_curve,step_23
24,24,10.012526,reward_curve,step_24
25,25,10.051923,reward_curve,step_25
26,26,10.215122,reward_curve,step_26
27,27,10.131527,reward_curve,step_27
28,28,10.154106,reward_curve,step_28
29,29,10.245634,reward_curve,step_29
30,30,10.316612,reward_curve,step_30
