task_id,seed,runtime_ms,joules,correct
L1_1,11,22.383178,2.971496,False
L1_2,11,18.311978,4.732416,False
L1_3,11,13.014872,2.740614,False
L1_4,11,22.182911,3.484852,True
L1_5,11,19.212172,4.304892,False
L1_6,11,9.103501,3.13222,True
L1_7,11,16.942746,4.1773,False
L1_8,11,26.874305,3.863911,False
L1_9,11,10.720582,4.240428,False
L1_10,11,20.405015,5.689664,True
L1_11,11,18.445245,4.576743,True
L1_12,11,13.584648,2.378145,True
L1_14,11,27.46296,7.572993,True
L1_15,11,9.021505,2.523057,False
L1_16,11,19.079489,2.759031,True
L1_18,11,14.38728,3.995815,True
L1_20,11,19.636863,7.163916,False
L1_21,11,15.960251,3.527514,True
L1_22,11,20.871412,5.143536,True
L1_23,11,22.698453,7.313791,False
L1_24,11,15.161585,2.878486,False
L1_26,11,16.095783,4.161115,False
L1_27,11,12.821312,2.416641,True
L1_28,11,17.587464,5.82409,True
L1_29,11,23.857932,5.352971,False
L1_30,11,13.504727,3.174678,True
L1_31,11,16.937069,2.582264,False
L1_32,11,24.296871,5.084363,True
L1_33,11,15.455272,2.517247,False
L1_34,11,21.610148,5.984886,False
L1_36,11,11.327366,3.948049,True
L1_37,11,16.468332,4.147383,True
L1_39,11,9.446075,2.701463,True
L1_40,11,20.310219,3.594364,True
L2_1,11,27.6617,3.593851,False
L2_2,11,19.742169,5.785169,True
L2_3,11,19.453139,4.316588,True
L2_7,11,28.688525,3.775287,True
L2_8,11,24.971256,6.516062,False
L2_9,11,13.371983,3.129636,True
L2_10,11,18.279204,5.063974,True
L2_11,11,27.813257,8.002077,True
L2_12,11,20.294375,5.163495,True
L2_13,11,23.804091,4.513165,True
L2_15,11,22.360638,3.48232,True
L2_16,11,20.506115,4.478648,True
L2_17,11,27.18472,4.646336,True
L2_18,11,14.766653,4.681765,True
L2_20,11,30.980369,7.475836,True
L3_3,11,23.530527,4.260929,True
L3_5,11,28.52539,7.874025,False
L3_6,11,22.757044,3.320461,False
L3_7,11,21.965962,8.183988,True
L3_8,11,17.002819,6.086537,True
L3_9,11,28.988222,8.863305,True
L3_10,11,24.221784,4.184771,False
L4_1,11,37.507647,6.809875,True
L4_3,11,39.864604,7.448436,False
L4_4,11,22.435312,6.400504,True
L4_5,11,31.396585,8.299221,False
L4_6,11,23.726477,8.10333,False
L4_7,11,31.512284,8.070714,False
L4_8,11,28.100644,5.1587,True
L4_9,11,36.854066,10.130926,False
L1_1,22,13.178676,3.278391,True
L1_2,22,18.009482,6.856554,True
L1_3,22,12.561079,4.212887,True
L1_4,22,18.18352,3.698352,True
L1_5,22,17.401423,4.975121,False
L1_6,22,12.177713,3.208,False
L1_7,22,14.365701,4.837912,True
L1_9,22,15.639532,2.532286,True
L1_10,22,19.045787,3.241449,True
L1_11,22,20.14339,3.237033,True
L1_12,22,13.280631,1.87125,True
L1_13,22,13.943116,5.207073,True
L1_14,22,26.17041,5.725495,True
L1_15,22,10.062952,4.188096,True
L1_16,22,16.859562,3.766983,True
L1_17,22,17.635457,3.793551,False
L1_18,22,16.428693,2.385129,True
L1_19,22,15.867305,5.769272,True
L1_20,22,27.321078,3.429925,True
L1_21,22,12.445126,3.614113,True
L1_22,22,21.58161,4.616495,True
L1_23,22,24.60717,4.120359,False
L1_24,22,16.490796,3.066005,True
L1_25,22,17.617653,5.519734,False
L1_26,22,26.022575,4.326103,False
L1_27,22,10.969282,3.674479,True
L1_28,22,16.743083,3.226869,True
L1_30,22,13.138615,2.519693,True
L1_31,22,21.723733,3.217885,True
L1_32,22,16.158112,6.700502,True
L1_33,22,15.549339,2.718721,True
L1_34,22,17.095985,5.025575,True
L1_35,22,28.01484,3.982957,False
L1_36,22,13.153849,2.140449,True
L1_37,22,13.787829,2.91203,True
L1_38,22,16.407454,6.663343,True
L1_39,22,16.745333,2.360895,True
L1_40,22,16.553749,4.171231,True
L2_1,22,28.645001,7.210557,True
L2_2,22,24.241519,4.769578,False
L2_3,22,17.95387,4.833423,True
L2_4,22,20.188772,5.180623,True
L2_5,22,24.467522,8.576193,True
L2_6,22,15.937349,5.411432,False
L2_7,22,23.084245,6.765368,True
L2_8,22,35.640815,4.872874,True
L2_9,22,15.820752,2.661001,False
L2_10,22,21.17265,6.074302,False
L2_11,22,21.812106,8.271848,False
L2_12,22,16.267606,3.054644,True
L2_13,22,27.529156,4.447835,True
L2_14,22,34.525202,7.702311,False
L2_15,22,19.132547,3.051027,True
L2_16,22,29.34306,3.817034,True
L2_18,22,15.889713,5.223622,True
L2_19,22,27.095001,3.498532,False
L2_20,22,29.077803,4.38825,True
L3_1,22,34.60311,5.63864,True
L3_2,22,22.806752,6.439617,True
L3_3,22,23.81059,4.184236,True
L3_4,22,16.538409,6.115797,False
L3_5,22,22.301796,8.17013,True
L3_6,22,22.304234,6.130725,True
L3_7,22,34.920683,7.540297,True
L3_8,22,18.591507,4.677976,True
L3_9,22,24.382158,5.913467,False
L3_10,22,19.468226,4.830195,True
L4_1,22,37.572304,9.997606,True
L4_2,22,22.69541,3.853468,False
L4_4,22,19.964362,7.961751,False
L4_5,22,24.471625,8.05459,True
L4_6,22,27.307767,4.581275,False
L4_7,22,32.675987,7.745239,False
L4_8,22,24.009988,6.752035,True
L4_9,22,25.188527,6.631021,False
L1_1,33,17.049438,3.797776,True
L1_2,33,21.102662,5.379914,True
L1_3,33,15.102187,4.006837,True
L1_4,33,21.804889,5.260079,True
L1_5,33,20.011515,5.234684,True
L1_6,33,14.910395,2.750847,False
L1_7,33,13.953434,3.040357,True
L1_8,33,23.252806,6.193102,True
L1_9,33,11.786428,3.136986,False
L1_10,33,16.959075,5.119326,True
L1_11,33,22.494359,5.868783,False
L1_12,33,14.733287,2.877241,False
L1_13,33,20.954722,4.622753,True
L1_14,33,17.921843,4.293089,True
L1_15,33,12.90849,3.821472,True
L1_16,33,12.161701,3.450949,True
L1_18,33,14.046036,2.196436,True
L1_20,33,15.312693,7.028772,True
L1_21,33,10.250075,3.159397,True
L1_22,33,21.615666,4.65401,True
L1_23,33,23.170705,5.977079,False
L1_24,33,15.611189,3.80224,True
L1_25,33,22.226107,4.862753,True
L1_26,33,24.004667,5.831193,False
L1_27,33,8.806343,3.112699,False
L1_28,33,22.161662,5.128623,True
L1_29,33,25.358418,6.533161,False
L1_30,33,12.11165,3.901079,True
