run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M_ALL::cross_hardware_transfer::seed11::L1_1,11,L1_1,1,1,2.420083,1.797578,0.487321,187.548,0,13.148038,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_2,11,L1_2,1,1,2.758667,1.748253,0.590669,200.548,0,13.591959,2,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_3,11,L1_3,1,1,3.832268,1.66387,0.685301,181.721,0,12.856839,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_4,11,L1_4,1,1,2.530718,1.656188,0.518902,197.624,0,12.704471,2,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_5,11,L1_5,1,1,2.27735,1.844525,0.380127,178.899,0,13.401725,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_6,11,L1_6,1,1,3.996648,1.854522,0.744556,178.191,0,12.332066,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_7,11,L1_7,1,0,2.721415,1.959037,0.462329,177.441,0,8.26183,-1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_8,11,L1_8,1,1,2.670769,1.778855,0.531599,207.048,0,13.30582,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_9,11,L1_9,1,1,2.67771,1.645998,0.515577,187.101,0,13.52156,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_10,11,L1_10,1,0,3.144984,1.920106,0.532017,170.621,0,8.203269,6,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_11,11,L1_11,1,1,2.715128,1.703852,0.483228,178.078,0,13.17116,2,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_12,11,L1_12,1,0,2.22687,1.787338,0.442997,185.084,0,8.53603,-1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_13,11,L1_13,1,0,3.714332,1.916794,0.772253,197.059,0,8.629342,-1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_14,11,L1_14,1,1,3.032428,1.715607,0.487103,176.278,0,13.428813,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_15,11,L1_15,1,1,3.459773,1.840478,0.67639,201.297,0,13.46523,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_16,11,L1_16,1,1,3.338853,1.598236,0.618527,197.643,0,11.938083,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_17,11,L1_17,1,1,3.3984,1.756926,0.701237,208.141,0,12.956028,2,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_18,11,L1_18,1,1,3.72509,1.501185,0.620326,173.525,0,13.255009,1,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
run::M_ALL::cross_hardware_transfer::seed11::L1_19,11,L1_19,1,1,1.971199,1.774814,0.328139,177.18,0,13.237636,2,,suite,checkpoints/exp/cross_hardware_transfer/m_all/seed11/checkpoint.json
