idx,x,y,series,label
1,2.491797,0.064933,pareto,pareto_1
2,2.19243,0.065505,pareto,pareto_2
3,2.457444,0.066654,pareto,pareto_3
4,2.393252,0.067559,pareto,pareto_4
5,2.470072,0.067641,pareto,pareto_5
6,2.188956,0.06781,pareto,pareto_6
7,2.419443,0.06828,pareto,pareto_7
8,2.293282,0.069932,pareto,pareto_8
9,2.38391,0.069933,pareto,pareto_9
10,2.452267,0.070356,pareto,pareto_10
11,2.422431,0.070402,pareto,pareto_11
12,2.231358,0.071595,pareto,pareto_12
13,2.390574,0.071645,pareto,pareto_13
14,2.406503,0.072982,pareto,pareto_14
15,2.427802,0.073511,pareto,pareto_15
16,2.314781,0.074052,pareto,pareto_16
17,2.419288,0.075665,pareto,pareto_17
18,2.356926,0.077303,pareto,pareto_18
19,2.487932,0.077981,pareto,pareto_19
20,2.20775,0.078271,pareto,pareto_20
21,2.387031,0.081061,pareto,pareto_21
22,2.04702,0.081706,pareto,pareto_22
23,1.961737,0.081873,pareto,pareto_23
24,1.998649,0.083357,pareto,pareto_24
25,1.847878,0.085559,pareto,pareto_25
26,1.889927,0.086936,pareto,pareto_26
27,1.8715,0.087136,pareto,pareto_27
28,1.868808,0.087264,pareto,pareto_28
29,1.988437,0.087833,pareto,pareto_29
30,2.011897,0.088514,pareto,pareto_30
