idx,x,y,series,label
1,1,0.624959,passatk,turn_1_p1
2,2,0.702893,passatk,turn_2_p2
3,3,0.742475,passatk,turn_3_p3
4,4,0.78271,passatk,turn_4_p4
5,5,0.819935,passatk,turn_5_p5
6,1,0.626202,passatk,turn_1_p6
7,2,0.697096,passatk,turn_2_p7
8,3,0.748204,passatk,turn_3_p8
9,4,0.794009,passatk,turn_4_p9
10,5,0.812552,passatk,turn_5_p10
11,1,0.633179,passatk,turn_1_p11
12,2,0.693043,passatk,turn_2_p12
13,3,0.74269,passatk,turn_3_p13
14,4,0.794733,passatk,turn_4_p14
15,5,0.819047,passatk,turn_5_p15
16,1,0.625012,passatk,turn_1_p16
17,2,0.69777,passatk,turn_2_p17
18,3,0.752805,passatk,turn_3_p18
19,4,0.787668,passatk,turn_4_p19
20,5,0.824624,passatk,turn_5_p20
21,1,0.632601,passatk,turn_1_p21
22,2,0.701598,passatk,turn_2_p22
23,3,0.748112,passatk,turn_3_p23
24,4,0.79449,passatk,turn_4_p24
25,5,0.814688,passatk,turn_5_p25
26,1,0.632065,passatk,turn_1_p26
27,2,0.707557,passatk,turn_2_p27
28,3,0.749567,passatk,turn_3_p28
29,4,0.796011,passatk,turn_4_p29
30,5,0.825895,passatk,turn_5_p30
