index,reward
0,-1.01653
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-0.96611
25,-0.95245
26,-0.92268
27,-0.90876
28,-0.89854
29,-0.89157
30,-0.86648
31,-0.82967
32,-0.80445
33,-0.80168
34,-0.78094
35,-0.77805
36,-0.76658
37,-0.76113
38,-0.74551
39,-0.73426
40,-0.72886
41,-0.72492
42,-0.72187
43,-0.69251
44,-0.69032
45,-0.68922
46,-0.66481
47,-0.65142
48,-0.62822
49,-0.62651
50,-0.61748
51,-0.60297
52,-0.59361
53,-0.59018
54,-0.5794
55,-0.57693
56,-0.57147
57,-0.56513
58,-0.55462
59,-0.55408
60,-0.5356
61,-0.50512
62,-0.50148
63,-0.5
64,-0.5
65,-0.5
66,-0.5
67,-0.5
68,-0.5
69,-0.5
70,-0.5
71,-0.5
72,-0.5
73,-0.5
74,-0.5
75,-0.5
76,-0.5
77,-0.5
78,-0.5
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.5
144,-0.5
145,-0.5
146,-0.5
147,-0.5
148,-0.5
149,-0.5
150,-0.5
151,-0.5
152,-0.5
153,-0.49968
154,-0.49197
155,-0.49184
156,-0.48192
157,-0.46966
158,-0.46861
159,-0.46683
160,-0.46127
161,-0.45608
162,-0.45506
163,-0.44163
164,-0.43796
165,-0.43477
166,-0.43258
167,-0.42587
168,-0.42561
169,-0.42328
170,-0.42201
171,-0.41132
172,-0.39262
173,-0.39194
174,-0.3868
175,-0.37982
176,-0.36746
177,-0.36698
178,-0.36626
179,-0.35639
180,-0.35196
181,-0.35026
182,-0.35024
183,-0.35021
184,-0.34657
185,-0.34576
186,-0.34105
187,-0.34021
188,-0.33089
189,-0.32654
190,-0.30723
191,-0.30489
192,-0.29016
193,-0.28066
194,-0.2718
195,-0.26753
196,-0.26505
197,-0.25267
198,-0.2471
199,-0.23714
200,-0.23485
201,-0.23354
202,-0.22673
203,-0.22567
204,-0.20603
205,-0.20465
206,-0.20239
207,-0.18941
208,-0.18152
209,-0.17029
210,-0.16903
211,-0.16372
212,-0.16353
213,-0.15806
214,-0.14695
215,-0.11621
216,-0.10946
217,-0.10911
218,-0.10725
219,-0.10062
220,-0.09412
221,-0.09295
222,-0.0568
223,-0.02084
224,-0.01234
225,0.0126
226,0.01265
227,0.01917
228,0.03
229,0.03503
230,0.04853
231,0.05164
232,0.10257
233,0.12961
234,0.15952
235,0.18588
236,0.36605
