idx,x,y,series,label
1,2.420083,0.487321,runtime_joules,L1_1_s11
2,3.144984,0.532017,runtime_joules,L1_10_s11
3,2.715128,0.483228,runtime_joules,L1_11_s11
4,2.22687,0.442997,runtime_joules,L1_12_s11
5,3.714332,0.772253,runtime_joules,L1_13_s11
6,3.032428,0.487103,runtime_joules,L1_14_s11
7,3.459773,0.67639,runtime_joules,L1_15_s11
8,3.338853,0.618527,runtime_joules,L1_16_s11
9,3.3984,0.701237,runtime_joules,L1_17_s11
10,3.72509,0.620326,runtime_joules,L1_18_s11
11,1.971199,0.328139,runtime_joules,L1_19_s11
12,2.758667,0.590669,runtime_joules,L1_2_s11
13,2.165609,0.41358,runtime_joules,L1_20_s11
14,3.832268,0.685301,runtime_joules,L1_3_s11
15,2.530718,0.518902,runtime_joules,L1_4_s11
16,2.27735,0.380127,runtime_joules,L1_5_s11
17,3.996648,0.744556,runtime_joules,L1_6_s11
18,2.721415,0.462329,runtime_joules,L1_7_s11
19,2.670769,0.531599,runtime_joules,L1_8_s11
20,2.67771,0.515577,runtime_joules,L1_9_s11
21,5.681924,1.309532,runtime_joules,L2_1_s11
22,6.681073,1.908922,runtime_joules,L2_10_s11
23,5.422034,0.863477,runtime_joules,L2_11_s11
24,7.959987,1.989498,runtime_joules,L2_12_s11
25,7.112694,1.57178,runtime_joules,L2_13_s11
26,6.267078,1.242571,runtime_joules,L2_14_s11
27,6.273272,1.355791,runtime_joules,L2_15_s11
28,7.55539,1.788384,runtime_joules,L2_16_s11
29,7.19837,1.746859,runtime_joules,L2_17_s11
30,8.898687,1.884814,runtime_joules,L2_18_s11
