run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,stage,checkpoint
run::M_ALL::data_scale_ablation::seed11::L1_1,11,L1_1,1,1,0.073735,2.426207,0.070476,191.915,0,8.55921,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_2,11,L1_2,1,1,0.070111,2.413849,0.076484,213.033,0,8.82743,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_3,11,L1_3,1,1,0.071512,2.46355,0.072783,198.521,0,8.70724,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_4,11,L1_4,1,1,0.073737,2.480563,0.073295,200.149,0,9.06891,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_5,11,L1_5,1,1,0.070943,2.438017,0.074426,215.572,0,8.49308,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_6,11,L1_6,1,1,0.072562,2.409311,0.076665,209.805,0,8.62079,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_7,11,L1_7,1,1,0.071721,2.326407,0.070454,192.83,0,8.69965,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_8,11,L1_8,1,1,0.081419,1.894297,0.092327,226.864,0,7.11049,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_9,11,L1_9,1,1,0.080864,1.901504,0.092857,226.013,0,7.58364,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_10,11,L1_10,1,1,0.090941,1.907276,0.09798,207.16,0,7.3268,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_11,11,L1_11,1,1,0.080632,1.937979,0.085651,207.279,0,7.6735,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_12,11,L1_12,1,1,0.087797,1.858802,0.092863,215.054,0,7.61668,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_13,11,L1_13,1,1,0.086649,1.974395,0.095337,209.944,0,7.56473,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_14,11,L1_14,1,1,0.081433,1.840252,0.082638,204.128,0,7.8036,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_15,11,L1_15,1,0,0.108219,1.551424,0.129058,243.634,0,-2.02238,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_16,11,L1_16,1,1,0.107987,1.473247,0.124696,227.41,1,4.41382,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_17,11,L1_17,1,0,0.103165,1.583053,0.119924,238.476,0,-1.60783,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_18,11,L1_18,0,0,0.108056,1.607997,0.127043,245.554,0,-4.4817,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_19,11,L1_19,1,1,0.113,1.513447,0.137731,244.42,0,5.49794,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed11::L1_20,11,L1_20,1,0,0.109417,1.666135,0.135758,243.421,0,-1.94567,suite,checkpoints/exp/data_scale_ablation/m_all/seed11/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_1,22,L1_1,1,1,0.077655,2.400823,0.071888,193.718,0,8.76966,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_2,22,L1_2,1,1,0.076138,2.308107,0.078458,203.162,0,8.68606,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_3,22,L1_3,1,1,0.066596,2.432809,0.068496,212.639,0,8.95735,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_4,22,L1_4,1,1,0.074681,2.206485,0.076307,207.341,0,8.1738,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_5,22,L1_5,1,1,0.068635,2.275061,0.068567,203.054,0,8.56323,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_6,22,L1_6,1,1,0.069626,2.324747,0.073437,208.325,0,8.8943,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_7,22,L1_7,1,1,0.068157,2.213709,0.073134,213.665,0,8.4563,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
run::M_ALL::data_scale_ablation::seed22::L1_8,22,L1_8,1,1,0.090143,1.819447,0.093777,214.497,0,7.0381,suite,checkpoints/exp/data_scale_ablation/m_all/seed22/checkpoint.json
