task_id,runtime_ms,joules,speedup,dominated
L1_1,20.364512,7.354878,1.5605,True
L1_2,19.99543,9.160833,1.7204,True
L1_3,21.128034,3.930434,1.5368,True
L1_4,28.599431,7.147711,2.3449,True
L1_7,18.153313,4.434347,1.111,True
L1_8,21.075259,8.473103,1.5222,True
L1_10,28.855753,4.310663,2.2912,True
L1_16,18.408247,5.515289,1.567,True
L1_18,16.204053,3.853322,1.1847,True
L1_19,16.77387,5.942289,1.7024,True
L1_21,11.547207,4.366616,2.2761,False
L1_22,15.889234,5.809369,2.4281,True
L1_23,30.181291,10.334404,1.1593,True
L1_25,28.354807,8.412433,1.3272,True
L1_27,20.659426,5.961302,1.9873,True
L1_29,34.324333,6.084504,1.2048,True
L1_30,12.690261,3.957222,1.3972,True
L1_33,18.045454,5.452622,1.5955,True
L1_35,25.469016,5.113831,1.8186,True
L1_36,11.989956,5.442153,2.071,True
L1_38,32.988984,6.004034,2.1993,True
L1_39,12.86966,3.888474,1.3258,True
L2_1,26.732853,5.480151,2.2081,True
L2_2,35.325864,8.66909,2.3772,True
L2_5,31.170646,6.242569,2.0418,True
L2_8,43.026933,9.833435,2.4987,True
L2_9,23.756036,6.505103,2.1601,True
L2_12,17.184466,5.883476,1.2434,True
L2_13,31.613888,8.766205,2.2854,True
L2_18,22.967438,4.055097,1.6727,True
L2_20,41.563778,12.35432,2.3776,True
L3_1,28.641075,7.85451,2.0666,True
L3_2,35.642104,5.145443,1.4885,True
L3_3,27.355595,11.854881,1.2113,True
L3_6,28.001161,8.55691,1.5767,True
L3_7,29.116072,10.006398,1.8819,True
L3_8,20.910992,10.65754,1.2562,True
L3_9,31.745604,10.98076,1.346,True
L4_1,31.995754,13.300594,1.7825,True
L4_3,47.420005,15.018648,1.1671,True
L4_9,36.833504,9.402355,2.0141,True
L1_2,23.510594,6.606886,1.173,True
L1_7,16.976036,3.77596,2.1447,True
L1_8,34.939672,5.738768,1.4184,True
L1_9,13.85384,4.301063,2.4066,True
L1_10,26.112014,3.995909,2.0294,True
L1_13,24.748355,6.970527,2.0147,True
L1_14,34.3282,8.824252,2.2104,True
L1_15,15.668923,4.421875,2.4401,True
L1_18,14.708134,3.165123,1.1079,False
L1_19,17.911563,5.956421,2.3404,True
L1_23,21.976829,8.01277,1.3431,True
L1_24,12.094718,3.622225,1.1116,False
L1_26,27.478419,7.980047,2.0174,True
L1_27,20.379568,4.727717,1.8914,True
L1_28,18.024663,6.307975,1.8126,True
L1_32,26.181367,5.149752,1.4453,True
L1_33,18.669304,4.068128,2.2578,True
L1_34,20.917313,4.100164,1.2998,True
L1_35,33.628469,9.519885,2.2398,True
L1_36,14.754951,5.39938,1.1987,True
L1_38,29.920331,8.372127,2.0843,True
L1_40,20.93922,3.873562,1.1354,True
L2_2,26.900671,9.065784,2.0781,True
L2_4,34.663991,9.357927,1.981,True
L2_6,28.340628,6.889981,1.6328,True
L2_7,30.176603,7.379411,1.8391,True
L2_11,32.073228,9.044171,1.427,True
L2_13,33.323829,7.330382,1.9321,True
L2_14,40.436956,7.852782,1.2219,True
L2_15,16.184289,6.604627,1.3335,True
L2_17,29.339021,6.371621,1.2807,True
L2_18,24.108989,4.460822,1.5928,True
L3_2,34.441825,6.009279,2.2314,True
L3_3,35.149839,12.022656,1.1773,True
L3_4,33.509167,9.48244,1.9011,True
L3_6,29.105532,6.074192,1.7229,True
L3_7,24.420677,8.594641,2.1938,True
L4_1,42.65587,13.646971,1.5026,True
L4_2,28.82033,6.622617,2.3184,True
L4_9,39.437577,14.29668,1.6493,True
L1_1,21.344463,5.228976,1.9564,True
L1_4,15.957356,4.95175,1.2894,True
L1_6,18.334401,3.815422,1.7661,True
L1_7,17.364524,6.239286,1.2378,True
L1_10,27.664142,5.469907,1.1838,True
L1_11,21.844954,10.410124,1.7479,True
L1_13,23.274004,6.308895,1.8413,True
L1_15,15.117816,3.033269,2.1741,False
L1_17,35.35047,7.4273,2.3183,True
L1_18,18.022821,3.418916,2.482,True
L1_21,11.825841,3.865054,1.5105,False
L1_23,36.506398,9.826891,2.3588,True
L1_25,28.317042,6.425084,1.4209,True
L1_27,11.782182,5.807878,1.2903,True
L1_29,31.845402,9.143451,1.0578,True
L1_30,13.502104,4.400161,1.4998,True
L1_32,37.496726,9.929961,1.9993,True
L1_33,16.250639,5.658186,1.1576,True
L1_34,19.892716,5.729342,1.1537,True
L1_35,31.707665,4.968558,1.4028,True
L1_36,19.816323,2.950914,2.3262,False
L1_39,19.562863,3.03474,2.1238,True
L1_40,17.27621,4.621723,2.3713,True
L2_1,21.453406,5.534732,1.2367,True
L2_6,26.678912,8.212662,2.4639,True
L2_9,24.078999,8.489854,1.8194,True
L2_12,29.32658,5.124088,1.8229,True
L2_13,22.794072,7.262105,1.556,True
L2_14,36.691757,12.557158,2.4199,True
L2_15,16.556473,8.055302,2.451,True
L2_16,33.638021,6.113398,1.9759,True
L2_17,45.083249,6.839122,2.0765,True
L2_18,18.283199,4.416536,1.6839,True
L3_2,21.340121,8.43009,1.6384,True
L3_4,31.091137,5.455335,2.2575,True
L3_8,21.825347,10.717439,2.3741,True
L3_9,38.311056,10.313873,1.2819,True
L3_10,25.047772,9.906711,1.4122,True
