idx,x,y,series,label
1,1,0.628184,passatk,turn_1_pt_1
2,2,0.696212,passatk,turn_2_pt_2
3,3,0.753053,passatk,turn_3_pt_3
4,4,0.791885,passatk,turn_4_pt_4
5,5,0.814988,passatk,turn_5_pt_5
6,1,0.634413,passatk,turn_1_pt_6
7,2,0.696596,passatk,turn_2_pt_7
8,3,0.750773,passatk,turn_3_pt_8
9,4,0.790375,passatk,turn_4_pt_9
10,5,0.825518,passatk,turn_5_pt_10
11,1,0.630589,passatk,turn_1_pt_11
12,2,0.695358,passatk,turn_2_pt_12
13,3,0.749558,passatk,turn_3_pt_13
14,4,0.784596,passatk,turn_4_pt_14
15,5,0.824127,passatk,turn_5_pt_15
16,1,0.633397,passatk,turn_1_pt_16
17,2,0.694453,passatk,turn_2_pt_17
18,3,0.749094,passatk,turn_3_pt_18
19,4,0.793652,passatk,turn_4_pt_19
20,5,0.818882,passatk,turn_5_pt_20
21,1,0.627267,passatk,turn_1_pt_21
22,2,0.705564,passatk,turn_2_pt_22
23,3,0.747045,passatk,turn_3_pt_23
24,4,0.794092,passatk,turn_4_pt_24
25,5,0.815694,passatk,turn_5_pt_25
26,1,0.629198,passatk,turn_1_pt_26
27,2,0.7,passatk,turn_2_pt_27
28,3,0.754779,passatk,turn_3_pt_28
29,4,0.793649,passatk,turn_4_pt_29
30,5,0.823466,passatk,turn_5_pt_30
