idx,x,y,series,label
1,3.010289,0.697372,runtime_joules,L1_1_s11
2,2.97194,0.558647,runtime_joules,L1_10_s11
3,2.687509,0.625475,runtime_joules,L1_11_s11
4,1.994355,0.355607,runtime_joules,L1_12_s11
5,2.858717,0.472097,runtime_joules,L1_13_s11
6,2.733566,0.381498,runtime_joules,L1_14_s11
7,4.255765,0.832178,runtime_joules,L1_15_s11
8,3.105804,0.611241,runtime_joules,L1_16_s11
9,2.715238,0.526942,runtime_joules,L1_17_s11
10,4.131954,0.671492,runtime_joules,L1_18_s11
11,1.823529,0.293028,runtime_joules,L1_19_s11
12,3.985526,0.917971,runtime_joules,L1_2_s11
13,2.660137,0.48549,runtime_joules,L1_20_s11
14,3.032867,0.56405,runtime_joules,L1_3_s11
15,4.189654,0.938594,runtime_joules,L1_4_s11
16,1.917176,0.275535,runtime_joules,L1_5_s11
17,2.534488,0.393893,runtime_joules,L1_6_s11
18,2.41001,0.342748,runtime_joules,L1_7_s11
19,2.746794,0.474416,runtime_joules,L1_8_s11
20,2.592197,0.665811,runtime_joules,L1_9_s11
21,4.856363,1.054705,runtime_joules,L2_1_s11
22,6.334185,1.470565,runtime_joules,L2_10_s11
23,5.18028,1.201423,runtime_joules,L2_11_s11
24,6.243671,1.338355,runtime_joules,L2_12_s11
25,9.026475,1.72324,runtime_joules,L2_13_s11
26,5.114246,0.966521,runtime_joules,L2_14_s11
27,5.623048,1.047375,runtime_joules,L2_15_s11
28,6.956332,1.471281,runtime_joules,L2_16_s11
29,5.059181,0.833697,runtime_joules,L2_17_s11
30,8.003901,1.660431,runtime_joules,L2_18_s11
