task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,27.486692,9.108319,240.785,64.245182,2.3373,-0.25559
L1_2,1,3,11,False,False,,,,22.292624,0.0,-1.0
L1_3,1,1,11,True,True,18.759968,5.646637,210.436,22.459709,1.1972,-0.68553
L1_4,1,2,11,True,True,28.982199,9.075059,219.859,57.385944,1.98,-0.41965
L1_5,1,3,11,True,True,35.71024,6.606686,239.124,41.210725,1.154,-0.80078
L1_6,1,1,11,False,False,,,,20.462736,0.0,-1.0
L1_7,1,2,11,True,True,18.5719,5.470811,205.804,23.152808,1.2467,-0.62925
L1_8,1,3,11,False,False,,,,36.79537,0.0,-1.0
L1_9,1,1,11,True,True,20.724991,5.539368,220.256,34.442802,1.6619,-0.34798
L1_10,1,2,11,True,True,24.736516,6.248786,246.855,58.620811,2.3698,-0.05338
L1_11,1,3,11,True,True,35.796673,6.253221,211.134,42.261318,1.1806,-0.75053
L1_12,1,1,11,True,True,18.36536,3.980821,252.157,36.563968,1.9909,-0.00215
L1_13,1,2,11,False,False,,,,22.878517,0.0,-1.0
L1_14,1,3,11,True,True,35.422864,11.084026,248.937,66.924467,1.8893,-0.56655
L1_15,1,1,11,True,True,12.511695,4.224903,226.846,29.384829,2.3486,0.13332
L1_16,1,2,11,True,True,22.767296,7.804276,216.737,36.175175,1.5889,-0.56429
L1_17,1,3,11,False,False,,,,23.955975,0.0,-1.0
L1_18,1,1,11,False,False,,,,19.034587,0.0,-1.0
L1_19,1,2,11,True,True,29.448794,8.907723,234.934,44.978468,1.5273,-0.66993
L1_20,1,3,11,True,False,29.91695,6.150337,219.765,29.91695,0.0,-0.5
L1_21,1,1,11,True,True,17.342729,5.84903,250.611,18.394262,1.0606,-0.82427
L1_22,1,2,11,True,True,26.826558,6.516541,237.085,39.600688,1.4762,-0.54772
L1_23,1,3,11,True,False,25.587921,10.849902,199.642,25.587921,0.0,-0.5
L1_24,1,1,11,False,False,,,,21.407158,0.0,-1.0
L1_25,1,2,11,True,False,30.245401,8.437596,203.245,30.245401,0.0,-0.5
L1_26,1,3,11,True,True,33.996383,8.851954,257.808,67.941359,1.9985,-0.39793
L1_27,1,1,11,True,True,20.839171,6.215637,220.31,42.385623,2.0339,-0.20356
L1_28,1,2,11,True,False,21.059209,9.085345,221.268,21.059209,0.0,-0.5
L1_29,1,3,11,True,True,22.440184,10.976218,242.166,53.082475,2.3655,-0.33687
L1_30,1,1,11,True,True,12.545151,5.863196,249.985,27.160595,2.165,-0.11191
L1_31,1,2,11,True,True,17.008186,8.456525,218.047,32.035764,1.8835,-0.43431
L1_32,1,3,11,True,True,31.153415,10.507596,206.382,76.102164,2.4428,-0.2829
L1_33,1,1,11,True,False,17.505996,5.598782,255.847,17.505996,0.0,-0.5
L1_34,1,2,11,True,True,26.733096,7.257537,209.652,39.168568,1.4652,-0.60905
L1_35,1,3,11,True,True,37.023871,9.671934,227.931,91.382324,2.4682,-0.23112
L1_36,1,1,11,False,False,,,,18.49905,0.0,-1.0
L1_37,1,2,11,True,True,20.610515,5.959971,200.096,28.889523,1.4017,-0.55486
L1_38,1,3,11,True,True,27.010865,7.511652,255.067,33.621732,1.2447,-0.78929
L1_39,1,1,11,False,False,,,,12.528576,0.0,-1.0
L1_40,1,2,11,True,True,28.382016,7.63514,202.528,44.762771,1.5772,-0.56076
L2_1,2,3,11,True,True,31.908071,11.541959,239.329,45.261851,1.4185,-0.87339
L2_2,2,4,11,False,False,,,,25.408768,0.0,-1.0
L2_3,2,2,11,True,False,27.957581,8.832196,238.59,27.957581,0.0,-0.5
L2_4,2,3,11,True,False,24.337378,9.84492,248.948,24.337378,0.0,-0.5
L2_5,2,4,11,False,False,,,,41.441695,0.0,-1.0
L2_6,2,2,11,True,True,30.191561,6.608377,214.817,33.299377,1.1029,-0.84619
L2_7,2,3,11,True,False,23.155083,6.343466,229.265,23.155083,0.0,-0.5
L2_8,2,4,11,True,False,44.756148,13.244506,207.781,44.756148,0.0,-0.5
L2_9,2,2,11,True,True,23.790747,5.375038,204.204,55.187671,2.3197,0.00056
L2_10,2,3,11,True,False,35.266522,10.478233,245.32,35.266522,0.0,-0.5
L2_11,2,4,11,True,True,30.027345,6.276392,210.464,34.19004,1.1386,-0.78857
L2_12,2,2,11,True,True,26.994715,7.823256,232.171,33.202608,1.23,-0.82156
L2_13,2,3,11,True,False,36.5833,9.397268,229.245,36.5833,0.0,-0.5
