task_id,runtime_ms,joules,speedup,dominated
L1_1,27.486692,9.108319,2.3373,True
L1_3,18.759968,5.646637,1.1972,True
L1_4,28.982199,9.075059,1.98,True
L1_5,35.71024,6.606686,1.154,True
L1_7,18.5719,5.470811,1.2467,True
L1_9,20.724991,5.539368,1.6619,True
L1_10,24.736516,6.248786,2.3698,True
L1_11,35.796673,6.253221,1.1806,True
L1_12,18.36536,3.980821,1.9909,True
L1_14,35.422864,11.084026,1.8893,True
L1_15,12.511695,4.224903,2.3486,False
L1_16,22.767296,7.804276,1.5889,True
L1_19,29.448794,8.907723,1.5273,True
L1_21,17.342729,5.84903,1.0606,True
L1_22,26.826558,6.516541,1.4762,True
L1_26,33.996383,8.851954,1.9985,True
L1_27,20.839171,6.215637,2.0339,True
L1_29,22.440184,10.976218,2.3655,True
L1_30,12.545151,5.863196,2.165,True
L1_31,17.008186,8.456525,1.8835,True
L1_32,31.153415,10.507596,2.4428,True
L1_34,26.733096,7.257537,1.4652,True
L1_35,37.023871,9.671934,2.4682,True
L1_37,20.610515,5.959971,1.4017,True
L1_38,27.010865,7.511652,1.2447,True
L1_40,28.382016,7.63514,1.5772,True
L2_1,31.908071,11.541959,1.4185,True
L2_6,30.191561,6.608377,1.1029,True
L2_9,23.790747,5.375038,2.3197,True
L2_11,30.027345,6.276392,1.1386,True
L2_12,26.994715,7.823256,1.23,True
L2_14,44.208324,7.077613,2.4837,True
L2_16,37.401372,7.705944,2.3173,True
L2_17,41.557426,12.267275,1.4924,True
L2_20,26.342579,6.405707,2.1689,True
L3_1,38.493541,7.223958,1.3196,True
L3_6,35.210355,5.522985,2.0152,True
L3_10,25.73315,10.770837,1.4251,True
L4_2,30.784019,11.793068,1.8306,True
L4_7,35.244118,8.112012,1.7295,True
L4_8,42.037356,10.791538,2.0232,True
L1_1,16.90825,5.323445,1.1776,True
L1_6,13.680074,4.789897,1.793,True
L1_7,28.722852,6.470038,2.1952,True
L1_9,12.683246,2.826433,2.4113,False
L1_15,16.877596,3.599665,1.3024,True
L1_18,13.753862,3.964269,2.3333,True
L1_19,27.061516,7.810888,2.1336,True
L1_20,27.828768,9.683592,1.5886,True
L1_21,14.125486,5.716535,1.5036,True
L1_22,26.541717,4.154916,2.1524,True
L1_24,19.907565,6.575512,1.8291,True
L1_25,17.854381,7.958113,2.2322,True
L1_30,14.212489,3.366978,2.0805,True
L1_33,12.740609,3.806848,1.7621,True
L1_34,27.218513,4.529839,1.8789,True
L1_36,14.408806,3.212655,1.2341,True
L1_37,25.77214,3.884482,1.3482,True
L1_38,23.399038,7.501046,1.8578,True
L2_1,32.650036,8.814338,2.4688,True
L2_2,38.952358,8.057441,2.1901,True
L2_3,19.97916,8.834067,1.6719,True
L2_9,17.830994,8.999418,1.3778,True
L2_12,18.171129,5.137782,1.6079,True
L2_13,25.014794,9.646179,1.2859,True
L2_15,16.501274,4.008564,1.9035,True
L2_18,20.824824,6.168408,1.1969,True
L2_19,23.284295,7.909576,2.0382,True
L2_20,34.385017,12.778414,1.5031,True
L3_5,35.231371,7.189949,2.4178,True
L3_6,37.308355,9.777707,2.4417,True
L4_2,28.376459,8.689082,2.4012,True
L4_4,44.448271,11.927011,1.8532,True
L4_7,41.293346,14.119468,1.5024,True
L4_9,49.431225,11.928732,1.2956,True
L1_2,22.198798,7.462382,1.761,True
L1_6,17.166654,4.974069,1.3251,True
L1_7,24.148939,6.382466,1.5944,True
L1_9,21.343702,4.857022,2.3265,True
L1_10,25.554492,4.195439,1.3466,True
L1_11,23.480396,7.953469,1.2872,True
L1_12,19.766583,2.925529,1.5407,True
L1_13,26.507051,7.099779,2.208,True
L1_14,23.159523,9.902491,1.8007,True
L1_18,17.319094,3.166729,2.4193,True
L1_19,28.727714,5.819736,1.8057,True
L1_21,21.191424,4.454302,2.4934,True
L1_23,21.553486,7.135679,1.4472,True
L1_24,20.634984,5.441429,2.1423,True
L1_27,13.16831,4.263404,2.0898,True
L1_28,23.978302,5.653178,1.0684,True
L1_32,23.820458,8.624235,2.4422,True
L1_34,17.946892,6.043744,2.0985,True
L1_37,18.885852,8.834055,2.1238,True
L1_38,22.358782,5.548502,1.1356,True
L1_39,17.720187,4.017305,1.7755,True
L1_40,17.853035,4.38052,1.4015,True
L2_3,28.055706,8.791295,1.5398,True
L2_7,30.639371,6.12549,1.944,True
L2_10,27.947902,8.599845,2.3263,True
L2_15,26.026193,7.669469,1.0538,True
L2_18,25.715927,7.224337,1.2674,True
L2_19,31.891902,5.763971,2.0854,True
L2_20,29.692727,10.671043,1.2344,True
L3_2,27.096776,10.252018,2.3242,True
L3_3,42.311694,9.077056,1.4838,True
L3_5,36.444138,12.253966,1.4135,True
L3_7,44.76278,9.238068,2.196,True
L3_8,34.234208,10.661296,1.8161,True
L4_5,29.278847,13.089653,2.4024,True
L4_9,43.82232,8.647843,2.0851,True
