idx,x,y,series,label
1,1,0.634006,passatk,turn_1_p1
2,2,0.697558,passatk,turn_2_p2
3,3,0.750691,passatk,turn_3_p3
4,4,0.784246,passatk,turn_4_p4
5,5,0.816033,passatk,turn_5_p5
6,1,0.623631,passatk,turn_1_p6
7,2,0.701079,passatk,turn_2_p7
8,3,0.750249,passatk,turn_3_p8
9,4,0.789918,passatk,turn_4_p9
10,5,0.822142,passatk,turn_5_p10
11,1,0.634667,passatk,turn_1_p11
12,2,0.693551,passatk,turn_2_p12
13,3,0.754852,passatk,turn_3_p13
14,4,0.794427,passatk,turn_4_p14
15,5,0.815173,passatk,turn_5_p15
16,1,0.631159,passatk,turn_1_p16
17,2,0.70082,passatk,turn_2_p17
18,3,0.751799,passatk,turn_3_p18
19,4,0.788164,passatk,turn_4_p19
20,5,0.823265,passatk,turn_5_p20
21,1,0.629346,passatk,turn_1_p21
22,2,0.70452,passatk,turn_2_p22
23,3,0.753775,passatk,turn_3_p23
24,4,0.782514,passatk,turn_4_p24
25,5,0.822147,passatk,turn_5_p25
26,1,0.630291,passatk,turn_1_p26
27,2,0.70384,passatk,turn_2_p27
28,3,0.755997,passatk,turn_3_p28
29,4,0.79559,passatk,turn_4_p29
30,5,0.82397,passatk,turn_5_p30
