idx,x,y,series,label
1,1,4.105006,reward_curve,step_1
2,2,4.22507,reward_curve,step_2
3,3,4.371266,reward_curve,step_3
4,4,4.578216,reward_curve,step_4
5,5,4.709583,reward_curve,step_5
6,6,4.815534,reward_curve,step_6
7,7,4.93322,reward_curve,step_7
8,8,4.945687,reward_curve,step_8
9,9,5.023022,reward_curve,step_9
10,10,5.079311,reward_curve,step_10
11,11,5.146569,reward_curve,step_11
12,12,5.137421,reward_curve,step_12
13,13,5.126037,reward_curve,step_13
14,14,5.247255,reward_curve,step_14
15,15,5.206607,reward_curve,step_15
16,16,5.202944,reward_curve,step_16
17,17,5.247477,reward_curve,step_17
18,18,5.204793,reward_curve,step_18
19,19,5.318791,reward_curve,step_19
20,20,5.262457,reward_curve,step_20
21,21,5.389143,reward_curve,step_21
22,22,5.417633,reward_curve,step_22
23,23,5.409072,reward_curve,step_23
24,24,5.51617,reward_curve,step_24
25,25,5.571119,reward_curve,step_25
26,26,5.508578,reward_curve,step_26
27,27,5.657945,reward_curve,step_27
28,28,5.573087,reward_curve,step_28
29,29,5.586447,reward_curve,step_29
30,30,5.653323,reward_curve,step_30
