idx,x,y,series,label
1,0.394494,0.299681,runtime_joules,runtime_joules_1
2,0.380856,0.292954,runtime_joules,runtime_joules_2
3,0.253442,0.28872,runtime_joules,runtime_joules_3
4,0.701636,0.474892,runtime_joules,runtime_joules_4
5,0.265544,0.428955,runtime_joules,runtime_joules_5
6,0.799243,0.386667,runtime_joules,runtime_joules_6
7,0.112974,0.229034,runtime_joules,runtime_joules_7
8,0.546245,0.496229,runtime_joules,runtime_joules_8
9,0.268827,0.042074,runtime_joules,runtime_joules_9
10,0.94037,0.935754,runtime_joules,runtime_joules_10
11,0.661185,0.316208,runtime_joules,runtime_joules_11
12,0.892068,0.147303,runtime_joules,runtime_joules_12
13,0.144231,0.14629,runtime_joules,runtime_joules_13
14,0.251396,0.969142,runtime_joules,runtime_joules_14
15,0.555177,0.690824,runtime_joules,runtime_joules_15
16,0.422662,0.798495,runtime_joules,runtime_joules_16
17,0.394295,0.620799,runtime_joules,runtime_joules_17
18,0.031051,0.64694,runtime_joules,runtime_joules_18
19,0.846765,0.418295,runtime_joules,runtime_joules_19
20,0.150099,0.948194,runtime_joules,runtime_joules_20
21,0.56689,0.658614,runtime_joules,runtime_joules_21
22,0.458095,0.111307,runtime_joules,runtime_joules_22
23,0.378982,0.299781,runtime_joules,runtime_joules_23
24,0.69156,0.768399,runtime_joules,runtime_joules_24
25,0.840454,0.624551,runtime_joules,runtime_joules_25
26,0.693764,0.486396,runtime_joules,runtime_joules_26
27,0.80332,0.680902,runtime_joules,runtime_joules_27
28,0.698693,0.984375,runtime_joules,runtime_joules_28
29,0.901128,0.262165,runtime_joules,runtime_joules_29
30,0.840614,0.482293,runtime_joules,runtime_joules_30
