task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,17.251685,4.048702,219.472,31.79614,1.8431,-0.08776
L1_2,1,3,11,True,False,30.678776,6.863175,220.862,30.678776,0.0,-0.5
L1_3,1,1,11,False,False,,,,14.203306,0.0,-1.0
L1_4,1,2,11,False,False,,,,30.046141,0.0,-1.0
L1_5,1,3,11,True,True,37.347656,8.699664,222.439,78.969991,2.1145,-0.33284
L1_6,1,1,11,True,True,13.872101,3.369727,241.616,16.558073,1.1936,-0.43042
L1_7,1,2,11,False,False,,,,30.734907,0.0,-1.0
L1_8,1,3,11,True,True,24.617464,7.786891,222.059,37.029694,1.5042,-0.61796
L1_9,1,1,11,True,True,20.057289,6.490602,229.009,22.391216,1.1164,-0.8251
L1_10,1,2,11,True,True,19.180872,4.540945,204.696,23.072528,1.2029,-0.57184
L1_11,1,3,11,False,False,,,,39.294253,0.0,-1.0
L1_12,1,1,11,True,True,13.617756,3.505657,227.821,20.296015,1.4904,-0.22814
L1_13,1,2,11,True,True,30.707915,6.005154,256.676,74.533867,2.4272,-0.00958
L1_14,1,3,11,True,False,36.605864,6.610387,207.32,36.605864,0.0,-0.5
L1_15,1,1,11,True,False,13.713941,6.426208,243.181,13.713941,0.0,-0.5
L1_16,1,2,11,True,False,29.478118,5.920912,198.486,29.478118,0.0,-0.5
L1_17,1,3,11,True,True,24.747072,9.256346,255.125,46.677246,1.8862,-0.47811
L1_18,1,1,11,True,False,16.171155,5.905165,221.437,16.171155,0.0,-0.5
L1_19,1,2,11,True,True,25.205139,5.04254,199.592,27.367916,1.0858,-0.72663
L1_20,1,3,11,True,True,29.73295,8.523614,228.345,39.663695,1.334,-0.78324
L1_21,1,1,11,True,False,17.238975,5.025481,251.071,17.238975,0.0,-0.5
L1_22,1,2,11,True,True,24.333821,8.907971,205.257,59.837247,2.459,-0.19371
L1_23,1,3,11,True,False,25.737774,7.257596,261.215,25.737774,0.0,-0.5
L1_24,1,1,11,True,True,20.354153,3.520044,257.506,27.93212,1.3723,-0.31274
L1_25,1,2,11,True,False,19.457688,4.983402,224.779,19.457688,0.0,-0.5
L1_26,1,3,11,False,False,,,,38.966078,0.0,-1.0
L1_27,1,1,11,True,False,18.853766,4.619391,198.089,18.853766,0.0,-0.5
L1_28,1,2,11,True,True,24.344968,5.121034,221.32,48.619806,1.9971,-0.12497
L1_29,1,3,11,True,True,28.375178,8.361567,202.973,35.912486,1.2656,-0.82625
L1_30,1,1,11,True,False,13.791102,3.104242,263.927,13.791102,0.0,-0.5
L1_31,1,2,11,False,False,,,,22.656158,0.0,-1.0
L1_32,1,3,11,True,True,28.071422,10.731126,250.439,42.260949,1.5055,-0.77746
L1_33,1,1,11,True,True,14.295,3.274585,202.112,16.702451,1.1684,-0.43745
L1_34,1,2,11,True,True,24.556404,7.12102,210.141,49.859001,2.0304,-0.2733
L1_35,1,3,11,True,True,36.966631,7.035822,203.958,49.63251,1.3426,-0.68088
L1_36,1,1,11,True,True,17.455251,3.622225,230.426,30.521801,1.7486,-0.08474
L1_37,1,2,11,True,True,25.278832,5.148944,226.635,62.636119,2.4778,0.08798
L1_38,1,3,11,True,False,36.130758,10.61063,218.872,36.130758,0.0,-0.5
L1_39,1,1,11,True,False,19.924022,4.345723,213.589,19.924022,0.0,-0.5
L1_40,1,2,11,True,True,28.026023,4.29313,199.713,63.298491,2.2586,0.08622
L2_1,2,3,11,True,True,22.749719,8.71264,196.765,56.072791,2.4648,-0.18029
L2_2,2,4,11,True,False,28.257539,9.648497,226.112,28.257539,0.0,-0.5
L2_3,2,2,11,True,False,19.625277,7.914057,254.45,19.625277,0.0,-0.5
L2_4,2,3,11,True,False,29.249316,8.858824,241.875,29.249316,0.0,-0.5
L2_5,2,4,11,True,False,36.92452,11.659891,221.562,36.92452,0.0,-0.5
L2_6,2,2,11,True,False,30.446743,9.179295,240.75,30.446743,0.0,-0.5
L2_7,2,3,11,True,False,31.515872,7.217544,259.653,31.515872,0.0,-0.5
L2_8,2,4,11,True,True,32.097838,6.78133,232.885,44.083081,1.3734,-0.6398
L2_9,2,2,11,True,False,24.108177,7.552528,247.398,24.108177,0.0,-0.5
L2_10,2,3,11,True,False,28.974915,7.08411,213.139,28.974915,0.0,-0.5
L2_11,2,4,11,False,False,,,,27.839812,0.0,-1.0
L2_12,2,2,11,True,True,24.342581,7.0913,223.022,47.454521,1.9494,-0.31189
L2_13,2,3,11,True,True,24.351514,6.188896,217.432,26.975912,1.1078,-0.80903
L2_14,2,4,11,True,True,27.893137,6.957996,233.333,48.392176,1.7349,-0.41899
L2_15,2,2,11,True,True,28.39697,7.741724,200.508,65.442081,2.3045,-0.18843
L2_16,2,3,11,True,True,37.658134,7.797577,231.558,64.379725,1.7096,-0.49066
L2_17,2,4,11,True,False,30.699651,12.547499,207.072,30.699651,0.0,-0.5
L2_18,2,2,11,True,True,28.391189,4.522849,213.5,34.31502,1.2087,-0.56507
L2_19,2,3,11,True,False,31.287854,11.559609,237.208,31.287854,0.0,-0.5
L2_20,2,4,11,True,True,37.843374,7.037562,244.619,66.441285,1.7557,-0.41277
L3_1,3,4,11,True,True,27.28301,11.169185,246.067,46.184475,1.6928,-0.6802
L3_2,3,3,11,True,True,34.887409,5.346245,209.083,48.426225,1.3881,-0.51028
L3_3,3,4,11,True,False,39.271774,8.889917,250.237,39.271774,0.0,-0.5
L3_4,3,3,11,True,True,23.627739,7.164892,263.721,46.221953,1.9563,-0.31356
L3_5,3,4,11,True,False,30.790823,9.232777,260.567,30.790823,0.0,-0.5
L3_6,3,3,11,True,True,29.044426,7.28736,249.717,47.005635,1.6184,-0.51163
L3_7,3,4,11,True,False,29.352702,10.489947,244.743,29.352702,0.0,-0.5
L3_8,3,3,11,True,False,34.34776,6.375677,220.977,34.34776,0.0,-0.5
L3_9,3,4,11,True,False,29.647622,12.574203,260.7,29.647622,0.0,-0.5
L3_10,3,3,11,True,True,23.565374,6.93684,214.093,35.358938,1.5005,-0.56265
L4_1,4,5,11,False,False,,,,44.881732,0.0,-1.0
L4_2,4,4,11,False,False,,,,30.949039,0.0,-1.0
L4_3,4,5,11,True,False,55.415735,16.571667,239.597,55.415735,0.0,-0.5
L4_4,4,4,11,False,False,,,,33.625754,0.0,-1.0
L4_5,4,5,11,True,False,50.657958,13.348737,245.779,50.657958,0.0,-0.5
L4_6,4,4,11,False,False,,,,29.997052,0.0,-1.0
L4_7,4,5,11,False,False,,,,47.693575,0.0,-1.0
L4_8,4,4,11,True,False,41.932808,10.49896,224.078,41.932808,0.0,-0.5
L4_9,4,5,11,True,False,49.256605,14.939979,210.348,49.256605,0.0,-0.5
L1_1,1,2,22,True,True,24.431938,7.524303,260.421,38.079097,1.5586,-0.56529
L1_2,1,3,22,True,False,38.848891,10.562333,232.213,38.848891,0.0,-0.5
L1_3,1,1,22,True,True,14.028522,2.946479,248.826,19.147831,1.3649,-0.22921
L1_4,1,2,22,True,False,24.111903,6.116625,237.363,24.111903,0.0,-0.5
L1_5,1,3,22,True,False,36.613332,9.851291,236.4,36.613332,0.0,-0.5
L1_6,1,1,22,True,True,20.179866,3.364925,201.575,32.604984,1.6157,-0.12692
L1_7,1,2,22,True,False,19.705032,5.184119,231.853,19.705032,0.0,-0.5
L1_8,1,3,22,False,False,,,,32.69027,0.0,-1.0
L1_9,1,1,22,True,True,17.298382,6.542139,241.918,37.780488,2.184,-0.15795
L1_10,1,2,22,True,True,29.585274,6.31136,238.143,49.690784,1.6796,-0.40263
L1_11,1,3,22,False,False,,,,34.808278,0.0,-1.0
L1_12,1,1,22,True,True,13.58041,4.497957,222.84,22.137145,1.6301,-0.26318
L1_13,1,2,22,False,False,,,,22.361384,0.0,-1.0
L1_14,1,3,22,True,False,21.696557,8.376487,198.474,21.696557,0.0,-0.5
L1_15,1,1,22,True,True,13.943831,5.959815,198.038,20.776143,1.49,-0.49375
L1_16,1,2,22,True,True,28.671324,3.954501,231.443,65.148989,2.2723,0.13335
L1_17,1,3,22,True,True,26.589408,11.212553,230.361,33.112962,1.2453,-0.98911
L1_18,1,1,22,True,True,18.755328,6.237651,223.931,40.343971,2.1511,-0.14934
L1_19,1,2,22,True,True,26.32024,6.630718,256.929,28.785484,1.0937,-0.85632
L1_20,1,3,22,True,True,26.306114,10.720796,250.45,42.750308,1.6251,-0.70052
L1_21,1,1,22,True,True,14.066845,6.406128,209.138,17.015245,1.2096,-0.73834
L1_22,1,2,22,True,True,28.214599,4.529193,211.209,44.779987,1.5871,-0.29335
L1_23,1,3,22,True,True,36.820691,10.207455,205.93,88.18432,2.395,-0.28819
L1_24,1,1,22,True,True,14.433551,6.122062,264.087,29.88696,2.0707,-0.17808
L1_25,1,2,22,True,False,23.337462,7.451502,226.665,23.337462,0.0,-0.5
L1_26,1,3,22,True,True,26.342725,10.302101,246.714,61.172586,2.3222,-0.32367
L1_27,1,1,22,True,False,15.38923,4.270819,232.346,15.38923,0.0,-0.5
L1_28,1,2,22,True,True,18.221696,8.891885,216.811,26.417662,1.4498,-0.72115
L1_29,1,3,22,True,False,26.771073,5.539903,220.764,26.771073,0.0,-0.5
L1_30,1,1,22,True,True,20.612907,3.267166,258.901,37.703709,1.8291,0.01188
L1_31,1,2,22,True,True,25.530475,7.641687,224.88,50.715999,1.9865,-0.33044
L1_32,1,3,22,True,False,25.438871,10.83509,249.839,25.438871,0.0,-0.5
L1_33,1,1,22,True,True,18.790795,5.059748,227.888,42.247532,2.2483,-0.00048
L1_34,1,2,22,True,False,30.582574,6.871609,196.076,30.582574,0.0,-0.5
L1_35,1,3,22,True,True,37.193929,7.968385,253.637,66.607876,1.7908,-0.45506
L1_36,1,1,22,True,False,15.847578,3.535513,202.076,15.847578,0.0,-0.5
L1_37,1,2,22,True,True,19.994971,7.196513,256.471,33.926991,1.6968,-0.45807
L1_38,1,3,22,True,False,22.398826,10.168914,264.042,22.398826,0.0,-0.5
L1_39,1,1,22,True,True,18.674232,5.21552,261.686,42.987592,2.302,0.00795
L1_40,1,2,22,True,True,18.031686,6.341457,258.32,20.320839,1.127,-0.80404
L2_1,2,3,22,True,True,33.931898,9.942743,201.287,65.442225,1.9286,-0.49161
L2_2,2,4,22,True,False,42.351266,9.611552,263.109,42.351266,0.0,-0.5
L2_3,2,2,22,True,True,18.481592,6.77984,248.637,43.375947,2.347,-0.10385
L2_4,2,3,22,True,False,29.614733,7.508669,209.749,29.614733,0.0,-0.5
L2_5,2,4,22,True,False,37.530537,7.967959,207.744,37.530537,0.0,-0.5
L2_6,2,2,22,True,True,22.432074,6.833649,240.057,42.914189,1.9131,-0.31222
L2_7,2,3,22,True,False,24.7997,8.11501,219.857,24.7997,0.0,-0.5
L2_8,2,4,22,True,True,40.224689,11.130836,222.878,73.356868,1.8237,-0.604
L2_9,2,2,22,True,True,29.003461,4.081382,262.211,48.193194,1.6616,-0.19542
L2_10,2,3,22,True,True,26.409495,8.134908,222.333,43.527571,1.6482,-0.54841
L2_11,2,4,22,True,False,37.735922,11.259836,241.541,37.735922,0.0,-0.5
L2_12,2,2,22,True,False,30.252992,8.789158,244.914,30.252992,0.0,-0.5
L2_13,2,3,22,True,True,23.23839,7.702172,219.899,46.455595,1.9991,-0.32806
L2_14,2,4,22,True,True,32.56626,13.568876,218.118,60.799413,1.8669,-0.67959
