idx,x,y,series,label
1,0.156062,0.757235,pareto,pareto_1
2,0.409396,0.33503,pareto,pareto_2
3,0.525272,0.334326,pareto,pareto_3
4,0.443585,0.443043,pareto,pareto_4
5,0.291867,0.7562,pareto,pareto_5
6,0.25362,0.324026,pareto,pareto_6
7,0.414588,0.630361,pareto,pareto_7
8,0.684349,0.770073,pareto,pareto_8
9,0.712936,0.444716,pareto,pareto_9
10,0.096017,0.519331,pareto,pareto_10
11,0.637663,0.180955,pareto,pareto_11
12,0.402153,0.803634,pareto,pareto_12
13,0.141891,0.720556,pareto,pareto_13
14,0.040116,0.125853,pareto,pareto_14
15,0.654311,0.91451,pareto,pareto_15
16,0.853662,0.932129,pareto,pareto_16
17,0.10709,0.943807,pareto,pareto_17
18,0.342468,0.865823,pareto,pareto_18
19,0.687436,0.641705,pareto,pareto_19
20,0.547223,0.364185,pareto,pareto_20
21,0.9732,0.333698,pareto,pareto_21
22,0.735532,0.060226,pareto,pareto_22
23,0.112871,0.315657,pareto,pareto_23
24,0.819587,0.972728,pareto,pareto_24
25,0.392907,0.260301,pareto,pareto_25
26,0.109248,0.409081,pareto,pareto_26
27,0.500885,0.397893,pareto,pareto_27
28,0.760709,0.78931,pareto,pareto_28
29,0.273342,0.526431,pareto,pareto_29
30,0.157501,0.64477,pareto,pareto_30
