idx,x,y,series,label
1,0.209507,0.165819,passatk,passatk_1
2,0.496838,0.379666,passatk,passatk_2
3,0.911158,0.695852,passatk,passatk_3
4,0.112844,0.212715,passatk,passatk_4
5,0.608018,0.057444,passatk,passatk_5
6,0.460444,0.933805,passatk,passatk_6
7,0.78451,0.135075,passatk,passatk_7
8,0.79463,0.97806,passatk,passatk_8
9,0.945112,0.188618,passatk,passatk_9
10,0.422401,0.678019,passatk,passatk_10
11,0.624587,0.693688,passatk,passatk_11
12,0.735295,0.012588,passatk,passatk_12
13,0.520875,0.938404,passatk,passatk_13
14,0.717284,0.036102,passatk,passatk_14
15,0.357143,0.520418,passatk,passatk_15
16,0.742521,0.400881,passatk,passatk_16
17,0.759636,0.221299,passatk,passatk_17
18,0.829161,0.508154,passatk,passatk_18
19,0.267073,0.270002,passatk,passatk_19
20,0.146684,0.305499,passatk,passatk_20
21,0.035998,0.808375,passatk,passatk_21
22,0.538121,0.363144,passatk,passatk_22
23,0.578648,0.788114,passatk,passatk_23
24,0.99387,0.476749,passatk,passatk_24
25,0.568403,0.360929,passatk,passatk_25
26,0.696052,0.303558,passatk,passatk_26
27,0.80535,0.33784,passatk,passatk_27
28,0.599795,0.387864,passatk,passatk_28
29,0.832813,0.316347,passatk,passatk_29
30,0.856901,0.942237,passatk,passatk_30
