index,reward
0,-1.19056
1,-1.17185
2,-1.02947
3,-1.01572
4,-1.01348
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-0.98911
32,-0.88949
33,-0.85632
34,-0.83259
35,-0.83233
36,-0.82625
37,-0.8251
38,-0.80903
39,-0.80431
40,-0.80404
41,-0.79935
42,-0.78324
43,-0.77746
44,-0.73834
45,-0.72663
46,-0.72662
47,-0.72178
48,-0.72115
49,-0.71146
50,-0.70052
51,-0.68593
52,-0.68088
53,-0.6802
54,-0.67959
55,-0.67291
56,-0.65559
57,-0.65536
58,-0.6398
59,-0.63548
60,-0.61796
61,-0.604
62,-0.60317
63,-0.5838
64,-0.57184
65,-0.56574
66,-0.56529
67,-0.56507
68,-0.56265
69,-0.54841
70,-0.54685
71,-0.54243
72,-0.52912
73,-0.51163
74,-0.51028
75,-0.50735
76,-0.5
77,-0.5
78,-0.5
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.5
144,-0.5
145,-0.5
146,-0.5
147,-0.5
148,-0.5
149,-0.5
150,-0.5
151,-0.5
152,-0.5
153,-0.5
154,-0.5
155,-0.5
156,-0.5
157,-0.5
158,-0.5
159,-0.5
160,-0.49375
161,-0.49161
162,-0.49066
163,-0.488
164,-0.48674
165,-0.47811
166,-0.45807
167,-0.45506
168,-0.43745
169,-0.43042
170,-0.42228
171,-0.41899
172,-0.41277
173,-0.40263
174,-0.38249
175,-0.33284
176,-0.33044
177,-0.32806
178,-0.32367
179,-0.31437
180,-0.31356
181,-0.31274
182,-0.31222
183,-0.31189
184,-0.31097
185,-0.29335
186,-0.29002
187,-0.28819
188,-0.28605
189,-0.28565
190,-0.28065
191,-0.2733
192,-0.27273
193,-0.26318
194,-0.25318
195,-0.23957
196,-0.22921
197,-0.22814
198,-0.21871
199,-0.2026
200,-0.19542
201,-0.19371
202,-0.18843
203,-0.18148
204,-0.1812
205,-0.18029
206,-0.17808
207,-0.16726
208,-0.1664
209,-0.15795
210,-0.14934
211,-0.14754
212,-0.12692
213,-0.12497
214,-0.10385
215,-0.08776
216,-0.08474
217,-0.07424
218,-0.01948
219,-0.019
220,-0.00958
221,-0.00953
222,-0.00048
223,0.00795
224,0.01188
225,0.02663
226,0.04154
227,0.05448
228,0.07718
229,0.07871
230,0.08622
231,0.08798
232,0.09773
233,0.13208
234,0.13335
235,0.1701
236,0.21256
