task_id,seed,runtime_ms,joules,correct
L1_1,11,17.251685,4.048702,True
L1_2,11,30.678776,6.863175,False
L1_5,11,37.347656,8.699664,True
L1_6,11,13.872101,3.369727,True
L1_8,11,24.617464,7.786891,True
L1_9,11,20.057289,6.490602,True
L1_10,11,19.180872,4.540945,True
L1_12,11,13.617756,3.505657,True
L1_13,11,30.707915,6.005154,True
L1_14,11,36.605864,6.610387,False
L1_15,11,13.713941,6.426208,False
L1_16,11,29.478118,5.920912,False
L1_17,11,24.747072,9.256346,True
L1_18,11,16.171155,5.905165,False
L1_19,11,25.205139,5.04254,True
L1_20,11,29.73295,8.523614,True
L1_21,11,17.238975,5.025481,False
L1_22,11,24.333821,8.907971,True
L1_23,11,25.737774,7.257596,False
L1_24,11,20.354153,3.520044,True
L1_25,11,19.457688,4.983402,False
L1_27,11,18.853766,4.619391,False
L1_28,11,24.344968,5.121034,True
L1_29,11,28.375178,8.361567,True
L1_30,11,13.791102,3.104242,False
L1_32,11,28.071422,10.731126,True
L1_33,11,14.295,3.274585,True
L1_34,11,24.556404,7.12102,True
L1_35,11,36.966631,7.035822,True
L1_36,11,17.455251,3.622225,True
L1_37,11,25.278832,5.148944,True
L1_38,11,36.130758,10.61063,False
L1_39,11,19.924022,4.345723,False
L1_40,11,28.026023,4.29313,True
L2_1,11,22.749719,8.71264,True
L2_2,11,28.257539,9.648497,False
L2_3,11,19.625277,7.914057,False
L2_4,11,29.249316,8.858824,False
L2_5,11,36.92452,11.659891,False
L2_6,11,30.446743,9.179295,False
L2_7,11,31.515872,7.217544,False
L2_8,11,32.097838,6.78133,True
L2_9,11,24.108177,7.552528,False
L2_10,11,28.974915,7.08411,False
L2_12,11,24.342581,7.0913,True
L2_13,11,24.351514,6.188896,True
L2_14,11,27.893137,6.957996,True
L2_15,11,28.39697,7.741724,True
L2_16,11,37.658134,7.797577,True
L2_17,11,30.699651,12.547499,False
L2_18,11,28.391189,4.522849,True
L2_19,11,31.287854,11.559609,False
L2_20,11,37.843374,7.037562,True
L3_1,11,27.28301,11.169185,True
L3_2,11,34.887409,5.346245,True
L3_3,11,39.271774,8.889917,False
L3_4,11,23.627739,7.164892,True
L3_5,11,30.790823,9.232777,False
L3_6,11,29.044426,7.28736,True
L3_7,11,29.352702,10.489947,False
L3_8,11,34.34776,6.375677,False
L3_9,11,29.647622,12.574203,False
L3_10,11,23.565374,6.93684,True
L4_3,11,55.415735,16.571667,False
L4_5,11,50.657958,13.348737,False
L4_8,11,41.932808,10.49896,False
L4_9,11,49.256605,14.939979,False
L1_1,22,24.431938,7.524303,True
L1_2,22,38.848891,10.562333,False
L1_3,22,14.028522,2.946479,True
L1_4,22,24.111903,6.116625,False
L1_5,22,36.613332,9.851291,False
L1_6,22,20.179866,3.364925,True
L1_7,22,19.705032,5.184119,False
L1_9,22,17.298382,6.542139,True
L1_10,22,29.585274,6.31136,True
L1_12,22,13.58041,4.497957,True
L1_14,22,21.696557,8.376487,False
L1_15,22,13.943831,5.959815,True
L1_16,22,28.671324,3.954501,True
L1_17,22,26.589408,11.212553,True
L1_18,22,18.755328,6.237651,True
L1_19,22,26.32024,6.630718,True
L1_20,22,26.306114,10.720796,True
L1_21,22,14.066845,6.406128,True
L1_22,22,28.214599,4.529193,True
L1_23,22,36.820691,10.207455,True
L1_24,22,14.433551,6.122062,True
L1_25,22,23.337462,7.451502,False
L1_26,22,26.342725,10.302101,True
L1_27,22,15.38923,4.270819,False
L1_28,22,18.221696,8.891885,True
L1_29,22,26.771073,5.539903,False
L1_30,22,20.612907,3.267166,True
L1_31,22,25.530475,7.641687,True
L1_32,22,25.438871,10.83509,False
L1_33,22,18.790795,5.059748,True
L1_34,22,30.582574,6.871609,False
L1_35,22,37.193929,7.968385,True
L1_36,22,15.847578,3.535513,False
L1_37,22,19.994971,7.196513,True
L1_38,22,22.398826,10.168914,False
L1_39,22,18.674232,5.21552,True
L1_40,22,18.031686,6.341457,True
L2_1,22,33.931898,9.942743,True
L2_2,22,42.351266,9.611552,False
L2_3,22,18.481592,6.77984,True
L2_4,22,29.614733,7.508669,False
L2_5,22,37.530537,7.967959,False
L2_6,22,22.432074,6.833649,True
L2_7,22,24.7997,8.11501,False
L2_8,22,40.224689,11.130836,True
L2_9,22,29.003461,4.081382,True
L2_10,22,26.409495,8.134908,True
L2_11,22,37.735922,11.259836,False
L2_12,22,30.252992,8.789158,False
L2_13,22,23.23839,7.702172,True
L2_14,22,32.56626,13.568876,True
L2_15,22,22.414223,6.985659,False
L2_16,22,35.949928,7.73103,False
L2_17,22,37.415538,13.821031,False
L2_18,22,18.039399,5.880334,False
L2_19,22,37.546937,10.818725,True
L2_20,22,29.303836,9.186849,False
L3_1,22,45.947868,8.572338,False
L3_2,22,38.094567,8.032604,True
L3_4,22,38.730547,10.970044,True
L3_5,22,47.253914,8.077133,True
L3_6,22,24.904693,7.334109,False
L3_7,22,43.060156,6.101462,False
L3_8,22,28.684352,10.200627,False
L3_9,22,43.126515,13.158807,False
L3_10,22,31.276546,10.400513,True
L4_1,22,30.48363,9.125418,False
L4_2,22,30.731681,6.478768,False
L4_3,22,30.414832,7.503574,False
L4_5,22,30.897313,7.030948,True
L4_6,22,47.353441,9.4613,True
L4_7,22,33.875925,12.312672,True
L4_9,22,35.652429,16.03214,False
L1_1,33,26.980746,6.455113,False
L1_2,33,31.209628,4.998127,True
L1_3,33,16.654587,5.632119,False
L1_4,33,20.587085,7.484845,True
L1_5,33,28.186913,6.380222,False
L1_6,33,17.841971,4.092159,True
L1_7,33,19.658383,7.228838,True
L1_8,33,24.854128,8.422065,True
L1_9,33,17.127172,5.735694,True
L1_10,33,21.139389,6.103319,True
L1_11,33,25.49996,5.727019,True
L1_12,33,17.758781,4.694767,True
L1_13,33,26.325101,4.425382,True
L1_15,33,17.02747,4.219636,True
L1_17,33,35.143453,10.485588,True
L1_19,33,17.543334,6.952372,True
L1_20,33,37.173442,9.292798,False
L1_21,33,12.944711,2.870662,True
L1_22,33,19.87948,3.946471,True
L1_23,33,30.597357,5.648431,True
L1_24,33,21.183818,4.624946,True
L1_25,33,16.675978,6.527423,True
L1_26,33,30.103159,6.60836,False
L1_27,33,13.611901,5.36703,True
L1_28,33,21.982198,5.155985,True
L1_29,33,28.714259,5.951423,False
L1_30,33,13.174214,4.242019,True
L1_31,33,24.156225,5.171544,False
L1_32,33,31.193175,5.04774,False
L1_33,33,17.886489,2.657075,False
L1_34,33,22.711238,7.155068,True
L1_35,33,25.76706,8.715263,True
L1_36,33,14.055669,5.003915,True
L1_37,33,23.227121,4.866237,True
L1_38,33,35.930155,7.117284,True
L1_39,33,14.281021,5.397774,True
L1_40,33,20.878712,4.061589,True
L2_1,33,31.669338,8.268654,True
L2_2,33,35.557032,5.5417,True
L2_3,33,28.651433,6.315372,True
L2_4,33,23.456705,7.546301,True
L2_5,33,45.167665,12.624833,True
L2_6,33,29.194169,8.167535,True
L2_7,33,28.528977,5.029927,True
L2_9,33,29.162641,6.253285,False
L2_10,33,30.627224,9.701966,True
L2_11,33,29.867453,7.818076,False
L2_12,33,18.230543,7.223069,False
L2_14,33,24.599994,7.442807,True
L2_15,33,22.927968,5.444663,True
L2_16,33,27.289622,8.485534,True
L2_17,33,41.895067,10.793457,True
L2_18,33,16.646761,7.419642,True
L2_19,33,28.901855,4.597023,True
L2_20,33,40.58134,8.460533,False
L3_1,33,34.865442,9.80828,False
L3_2,33,25.841738,5.135029,False
L3_3,33,31.791756,12.153097,False
L3_4,33,22.869805,7.934705,False
L3_5,33,27.34769,12.576406,False
L3_6,33,31.334163,7.111134,True
L3_7,33,26.967568,6.569955,True
L3_10,33,31.600772,6.431749,True
L4_1,33,49.527908,12.307041,True
L4_3,33,48.931877,6.900492,False
L4_4,33,38.294393,7.508612,False
L4_5,33,43.264566,6.94151,True
L4_6,33,39.23417,11.726776,True
L4_7,33,49.665449,6.813143,True
L4_8,33,41.071766,9.343635,True
L4_9,33,31.119079,12.8119,False
