task_id,level,difficulty,seed,compiled,correct,runtime_ms,joules,power_w,ref_runtime_ms,speedup,reward
L1_1,1,2,11,True,True,17.334226,6.988288,223.86,29.597198,1.7074,-0.43712
L1_2,1,3,11,True,False,25.90631,7.349657,250.055,25.90631,0.0,-0.5
L1_3,1,1,11,True,True,14.549512,4.085738,200.627,28.714439,1.9736,-0.02391
L1_4,1,2,11,True,False,17.574948,5.524689,203.691,17.574948,0.0,-0.5
L1_5,1,3,11,True,False,31.491258,6.601753,200.758,31.491258,0.0,-0.5
L1_6,1,1,11,True,True,14.32947,2.792178,219.617,21.50703,1.5009,-0.10735
L1_7,1,2,11,True,True,21.073047,5.66939,223.418,39.906259,1.8937,-0.229
L1_8,1,3,11,True,True,29.517437,9.61112,258.454,66.686349,2.2592,-0.31644
L1_9,1,1,11,True,True,19.902143,5.080025,216.598,31.113622,1.5633,-0.36584
L1_10,1,2,11,True,True,17.060176,4.703319,225.767,26.285261,1.5407,-0.34187
L1_11,1,3,11,True,False,25.579117,5.491024,207.989,25.579117,0.0,-0.5
L1_12,1,1,11,True,True,12.905201,5.812999,239.437,17.933597,1.3896,-0.551
L1_13,1,2,11,True,True,15.499489,5.504869,233.576,32.060488,2.0685,-0.126
L1_14,1,3,11,True,True,24.622529,6.210976,234.236,33.982307,1.3801,-0.59098
L1_15,1,1,11,False,False,,,,15.968294,0.0,-1.0
L1_16,1,2,11,True,True,20.123995,5.757133,203.041,27.929681,1.3879,-0.54744
L1_17,1,3,11,True,True,32.890364,9.699007,226.393,53.2395,1.6187,-0.65439
L1_18,1,1,11,True,True,20.656208,5.622243,251.687,45.818955,2.2182,-0.06668
L1_19,1,2,11,True,True,27.642086,4.471305,239.738,41.729612,1.5096,-0.33697
L1_20,1,3,11,True,True,32.872256,5.943072,253.591,75.008628,2.2818,-0.06614
L1_21,1,1,11,True,True,17.756764,4.712181,215.794,20.918386,1.1781,-0.61121
L1_22,1,2,11,True,False,22.16607,6.625233,221.04,22.16607,0.0,-0.5
L1_23,1,3,11,True,False,26.710137,7.501436,226.432,26.710137,0.0,-0.5
L1_24,1,1,11,True,True,17.229948,4.417057,232.776,29.803632,1.7298,-0.19476
L1_25,1,2,11,True,True,22.03141,5.191658,221.073,31.746571,1.441,-0.45821
L1_26,1,3,11,True,False,24.944504,4.732671,249.392,24.944504,0.0,-0.5
L1_27,1,1,11,False,False,,,,13.777909,0.0,-1.0
L1_28,1,2,11,True,True,18.324542,5.871158,212.32,34.158932,1.8641,-0.26224
L1_29,1,3,11,True,True,24.72762,4.945892,219.656,37.338815,1.51,-0.38717
L1_30,1,1,11,True,True,11.823739,2.56881,216.589,23.329012,1.9731,0.20787
L1_31,1,2,11,True,True,18.984497,3.585449,202.291,32.61982,1.7182,-0.09714
L1_32,1,3,11,True,False,34.495571,8.895233,236.951,34.495571,0.0,-0.5
L1_33,1,1,11,True,False,12.805432,2.906459,259.32,12.805432,0.0,-0.5
L1_34,1,2,11,True,True,18.61335,4.239824,225.141,27.461838,1.4754,-0.33334
L1_35,1,3,11,True,True,27.691391,4.518424,260.864,40.578239,1.4654,-0.37197
L1_36,1,1,11,True,False,16.527612,2.686353,252.746,16.527612,0.0,-0.5
L1_37,1,2,11,True,False,15.798024,7.400612,251.644,15.798024,0.0,-0.5
L1_38,1,3,11,True,True,22.89876,7.334447,205.778,53.730537,2.3464,-0.14339
L1_39,1,1,11,False,False,,,,11.764395,0.0,-1.0
L1_40,1,2,11,False,False,,,,20.158929,0.0,-1.0
L2_1,2,3,11,True,False,29.344284,6.381915,239.512,29.344284,0.0,-0.5
L2_2,2,4,11,True,True,33.049189,7.255681,249.803,56.252765,1.7021,-0.45903
L2_3,2,2,11,True,True,23.214632,3.671315,226.772,34.774149,1.4979,-0.24618
L2_4,2,3,11,True,False,35.84088,8.11408,222.472,35.84088,0.0,-0.5
L2_5,2,4,11,False,False,,,,40.849073,0.0,-1.0
L2_6,2,2,11,True,False,19.8585,4.109741,227.18,19.8585,0.0,-0.5
L2_7,2,3,11,True,True,20.187604,7.291199,255.45,35.610543,1.764,-0.42576
L2_8,2,4,11,True,False,29.167248,12.472757,201.325,29.167248,0.0,-0.5
L2_9,2,2,11,True,True,19.942203,7.965792,247.553,42.203135,2.1163,-0.28792
L2_10,2,3,11,True,False,25.846908,8.393475,215.97,25.846908,0.0,-0.5
L2_11,2,4,11,False,False,,,,37.366393,0.0,-1.0
L2_12,2,2,11,True,True,27.888626,4.820001,196.334,59.327364,2.1273,-0.03154
L2_13,2,3,11,True,True,34.071105,10.274107,252.745,80.323616,2.3575,-0.3072
L2_14,2,4,11,True,True,25.943457,7.865742,204.372,56.967829,2.1958,-0.24469
L2_15,2,2,11,True,True,21.524106,5.378046,217.448,24.104009,1.1199,-0.72796
L2_16,2,3,11,True,True,27.122114,7.91045,207.309,58.188353,2.1454,-0.27076
L2_17,2,4,11,True,False,27.190883,6.703628,197.099,27.190883,0.0,-0.5
L2_18,2,2,11,True,True,25.105987,6.673311,196.59,26.691911,1.0632,-0.8878
L2_19,2,3,11,False,False,,,,34.506543,0.0,-1.0
L2_20,2,4,11,True,True,28.094192,11.25167,243.097,40.170187,1.4298,-0.8527
L3_1,3,4,11,True,False,29.883472,7.425869,263.385,29.883472,0.0,-0.5
L3_2,3,3,11,True,False,27.08558,7.219506,226.358,27.08558,0.0,-0.5
L3_3,3,4,11,False,False,,,,30.474781,0.0,-1.0
L3_4,3,3,11,True,False,25.070409,10.009197,256.718,25.070409,0.0,-0.5
L3_5,3,4,11,True,False,25.324061,7.1579,262.147,25.324061,0.0,-0.5
L3_6,3,3,11,True,False,26.275991,8.37283,242.453,26.275991,0.0,-0.5
L3_7,3,4,11,True,False,33.396302,11.711989,233.63,33.396302,0.0,-0.5
L3_8,3,3,11,True,True,35.082344,7.546248,262.249,39.863109,1.1363,-0.88277
L3_9,3,4,11,True,True,38.888704,7.942945,250.905,94.144239,2.4209,-0.15202
L3_10,3,3,11,True,False,31.900964,6.319457,249.649,31.900964,0.0,-0.5
L4_1,4,5,11,False,False,,,,33.17993,0.0,-1.0
L4_2,4,4,11,False,False,,,,38.011663,0.0,-1.0
L4_3,4,5,11,True,True,36.433636,13.560661,260.915,80.611259,2.2126,-0.50944
L4_4,4,4,11,True,True,25.794782,7.415325,219.044,35.935847,1.3931,-0.67021
L4_5,4,5,11,True,False,41.769678,12.576968,223.048,41.769678,0.0,-0.5
L4_6,4,4,11,False,False,,,,30.899651,0.0,-1.0
