task_id,runtime_ms,joules,speedup,dominated
L1_1,17.334226,6.988288,1.7074,True
L1_3,14.549512,4.085738,1.9736,True
L1_6,14.32947,2.792178,1.5009,True
L1_7,21.073047,5.66939,1.8937,True
L1_8,29.517437,9.61112,2.2592,True
L1_9,19.902143,5.080025,1.5633,True
L1_10,17.060176,4.703319,1.5407,True
L1_12,12.905201,5.812999,1.3896,True
L1_13,15.499489,5.504869,2.0685,True
L1_14,24.622529,6.210976,1.3801,True
L1_16,20.123995,5.757133,1.3879,True
L1_17,32.890364,9.699007,1.6187,True
L1_18,20.656208,5.622243,2.2182,True
L1_19,27.642086,4.471305,1.5096,True
L1_20,32.872256,5.943072,2.2818,True
L1_21,17.756764,4.712181,1.1781,True
L1_24,17.229948,4.417057,1.7298,True
L1_25,22.03141,5.191658,1.441,True
L1_28,18.324542,5.871158,1.8641,True
L1_29,24.72762,4.945892,1.51,True
L1_30,11.823739,2.56881,1.9731,False
L1_31,18.984497,3.585449,1.7182,True
L1_34,18.61335,4.239824,1.4754,True
L1_35,27.691391,4.518424,1.4654,True
L1_38,22.89876,7.334447,2.3464,True
L2_2,33.049189,7.255681,1.7021,True
L2_3,23.214632,3.671315,1.4979,True
L2_7,20.187604,7.291199,1.764,True
L2_9,19.942203,7.965792,2.1163,True
L2_12,27.888626,4.820001,2.1273,True
L2_13,34.071105,10.274107,2.3575,True
L2_14,25.943457,7.865742,2.1958,True
L2_15,21.524106,5.378046,1.1199,True
L2_16,27.122114,7.91045,2.1454,True
L2_18,25.105987,6.673311,1.0632,True
L2_20,28.094192,11.25167,1.4298,True
L3_8,35.082344,7.546248,1.1363,True
L3_9,38.888704,7.942945,2.4209,True
L4_3,36.433636,13.560661,2.2126,True
L4_4,25.794782,7.415325,1.3931,True
L4_9,50.654791,7.767454,2.317,True
L1_1,26.250821,6.711966,1.1974,True
L1_3,15.821915,4.910218,1.3198,True
L1_4,28.143671,7.263962,1.1206,True
L1_5,29.097448,6.791865,2.274,True
L1_7,18.586196,6.219904,1.2703,True
L1_8,27.460114,5.804429,1.9889,True
L1_9,15.802178,5.830223,1.9534,True
L1_10,20.186481,7.630645,2.0526,True
L1_16,17.282968,4.335471,1.9661,True
L1_18,17.639087,3.022702,1.4292,True
L1_19,17.224116,6.426522,1.1794,True
L1_21,16.527977,2.69721,2.313,True
L1_22,21.322612,7.305518,1.3913,True
L1_24,12.615724,5.442143,1.4381,True
L1_25,22.535418,5.761391,1.1437,True
L1_27,19.008859,2.948177,1.7045,True
L1_28,24.390953,7.944825,1.748,True
L1_29,28.510506,6.03491,1.5152,True
L1_30,14.164569,5.018112,1.6503,True
L1_34,28.284757,6.48612,2.2776,True
L1_35,31.658427,5.295978,1.9571,True
L1_36,11.530016,5.642554,1.7191,False
L1_37,19.067148,5.344636,2.3577,True
L1_38,24.861509,8.452121,2.4444,True
L1_40,21.299387,7.341655,1.4434,True
L2_1,28.304593,9.589938,2.3863,True
L2_3,24.786358,6.690222,2.2789,True
L2_6,16.345695,3.584117,2.1702,True
L2_8,35.591886,8.98279,1.4593,True
L2_10,22.33493,6.305455,1.2432,True
L2_14,39.292179,8.046388,2.3914,True
L2_15,17.206011,4.563739,1.5372,True
L2_16,25.622878,5.368016,1.3239,True
L2_19,33.306345,10.121859,1.5031,True
L3_1,32.222563,9.492098,1.1747,True
L3_4,28.608238,4.568621,2.0419,True
L3_5,40.981941,10.99553,1.3493,True
L3_6,23.808302,6.459934,2.0161,True
L3_8,29.133147,9.163422,1.3322,True
L4_2,30.833912,8.690435,1.8081,True
L4_3,46.429092,9.097161,2.4544,True
L4_6,30.533467,5.597141,1.6624,True
L4_7,38.080525,11.828961,1.79,True
L4_9,30.904819,8.843049,2.1213,True
L1_1,16.507648,7.451683,2.0722,True
L1_3,11.860764,4.975982,2.3582,True
L1_6,18.082807,5.635491,2.1765,True
L1_9,11.534054,5.119173,1.5733,False
L1_11,35.386066,5.709705,1.4659,True
L1_12,14.468139,4.695884,1.873,True
L1_19,24.232916,4.501764,1.7934,True
L1_21,17.178042,4.809353,1.3285,True
L1_22,24.149809,3.752507,1.9889,True
L1_23,32.12706,9.826567,2.2077,True
L1_27,15.575212,5.260485,1.637,True
L1_31,16.216849,4.47767,1.754,True
L1_34,24.458189,7.25136,1.6202,True
L1_36,12.156788,4.810793,2.2922,True
L1_37,18.189359,7.680209,1.7191,True
L2_2,32.44686,8.292425,2.0276,True
L2_5,34.081636,5.955157,1.9733,True
L2_6,26.013054,6.823961,2.2648,True
L2_7,24.21422,8.807316,1.1953,True
L2_8,42.824459,9.124738,1.7861,True
L2_12,27.971124,6.808145,2.4712,True
L2_15,19.438037,4.417135,2.1373,True
L2_17,40.02362,8.763724,1.3207,True
L2_18,27.864707,6.072474,1.2607,True
L3_1,30.673711,11.409533,2.4029,True
L3_3,41.021721,6.464544,1.7654,True
L3_4,28.063999,7.161073,1.6386,True
L3_7,35.837007,8.822638,1.9379,True
L4_1,28.60777,12.506683,2.4438,True
L4_2,24.197992,11.057129,2.0119,True
L4_3,43.270616,10.77304,2.3833,True
