idx,x,y,series,label
1,1,0.609795,passatk,turn_1_pt_1
2,2,0.695245,passatk,turn_2_pt_2
3,3,0.769622,passatk,turn_3_pt_3
4,4,0.813275,passatk,turn_4_pt_4
5,5,0.839585,passatk,turn_5_pt_5
6,1,0.612449,passatk,turn_1_pt_6
7,2,0.696032,passatk,turn_2_pt_7
8,3,0.767883,passatk,turn_3_pt_8
9,4,0.810471,passatk,turn_4_pt_9
10,5,0.845764,passatk,turn_5_pt_10
11,1,0.606683,passatk,turn_1_pt_11
12,2,0.698271,passatk,turn_2_pt_12
13,3,0.767037,passatk,turn_3_pt_13
14,4,0.806355,passatk,turn_4_pt_14
15,5,0.839855,passatk,turn_5_pt_15
16,1,0.614789,passatk,turn_1_pt_16
17,2,0.700072,passatk,turn_2_pt_17
18,3,0.775684,passatk,turn_3_pt_18
19,4,0.808965,passatk,turn_4_pt_19
20,5,0.840264,passatk,turn_5_pt_20
21,1,0.610979,passatk,turn_1_pt_21
22,2,0.694001,passatk,turn_2_pt_22
23,3,0.766805,passatk,turn_3_pt_23
24,4,0.813664,passatk,turn_4_pt_24
25,5,0.842609,passatk,turn_5_pt_25
26,1,0.606082,passatk,turn_1_pt_26
27,2,0.702305,passatk,turn_2_pt_27
28,3,0.767628,passatk,turn_3_pt_28
29,4,0.810452,passatk,turn_4_pt_29
30,5,0.844644,passatk,turn_5_pt_30
