index,reward
0,-1.0
1,-1.0
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-0.96425
36,-0.90941
37,-0.89914
38,-0.8878
39,-0.88277
40,-0.87764
41,-0.8527
42,-0.8208
43,-0.80716
44,-0.77177
45,-0.76521
46,-0.74984
47,-0.74128
48,-0.72796
49,-0.71972
50,-0.70305
51,-0.67465
52,-0.67021
53,-0.67021
54,-0.66407
55,-0.65439
56,-0.65305
57,-0.62979
58,-0.61121
59,-0.59098
60,-0.55966
61,-0.551
62,-0.54744
63,-0.52546
64,-0.51815
65,-0.50944
66,-0.50804
67,-0.50245
68,-0.50122
69,-0.5
70,-0.5
71,-0.5
72,-0.5
73,-0.5
74,-0.5
75,-0.5
76,-0.5
77,-0.5
78,-0.5
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.5
144,-0.5
145,-0.5
146,-0.5
147,-0.5
148,-0.5
149,-0.5
150,-0.5
151,-0.5
152,-0.5
153,-0.5
154,-0.5
155,-0.49052
156,-0.48882
157,-0.4886
158,-0.48374
159,-0.48322
160,-0.47777
161,-0.47753
162,-0.45903
163,-0.45821
164,-0.43712
165,-0.42705
166,-0.42576
167,-0.38717
168,-0.37197
169,-0.36958
170,-0.36584
171,-0.36476
172,-0.3633
173,-0.35287
174,-0.35082
175,-0.3506
176,-0.34187
177,-0.34055
178,-0.33778
179,-0.33726
180,-0.33697
181,-0.33334
182,-0.32911
183,-0.32335
184,-0.32004
185,-0.31644
186,-0.3072
187,-0.30559
188,-0.29697
189,-0.28792
190,-0.27559
191,-0.27076
192,-0.26224
193,-0.26059
194,-0.24618
195,-0.24469
196,-0.23163
197,-0.229
198,-0.21243
199,-0.21194
200,-0.20609
201,-0.19594
202,-0.19476
203,-0.1917
204,-0.18768
205,-0.18472
206,-0.1734
207,-0.17075
208,-0.1681
209,-0.16199
210,-0.15202
211,-0.14581
212,-0.14339
213,-0.14275
214,-0.13632
215,-0.12663
216,-0.126
217,-0.1117
218,-0.10735
219,-0.09714
220,-0.08684
221,-0.06668
222,-0.06614
223,-0.05737
224,-0.05437
225,-0.04575
226,-0.03154
227,-0.02391
228,-0.00733
229,0.01679
230,0.01964
231,0.02635
232,0.04409
233,0.05558
234,0.13655
235,0.20787
236,0.34242
