idx,x,y,series,label
1,0.068623,0.069635,runtime_joules,L1_1_s11
2,0.086117,0.084732,runtime_joules,L1_10_s11
3,0.090107,0.088733,runtime_joules,L1_11_s11
4,0.077463,0.085809,runtime_joules,L1_12_s11
5,0.084134,0.091898,runtime_joules,L1_13_s11
6,0.083408,0.084907,runtime_joules,L1_14_s11
7,0.106159,0.119761,runtime_joules,L1_15_s11
8,0.102094,0.121547,runtime_joules,L1_16_s11
9,0.10846,0.117521,runtime_joules,L1_17_s11
10,0.10655,0.114136,runtime_joules,L1_18_s11
11,0.10689,0.116043,runtime_joules,L1_19_s11
12,0.072431,0.0743,runtime_joules,L1_2_s11
13,0.104427,0.121905,runtime_joules,L1_20_s11
14,0.064507,0.063785,runtime_joules,L1_3_s11
15,0.06498,0.069687,runtime_joules,L1_4_s11
16,0.071617,0.079047,runtime_joules,L1_5_s11
17,0.065803,0.072026,runtime_joules,L1_6_s11
18,0.072967,0.077995,runtime_joules,L1_7_s11
19,0.090464,0.090936,runtime_joules,L1_8_s11
20,0.080295,0.086954,runtime_joules,L1_9_s11
21,0.066532,0.065154,runtime_joules,L1_1_s22
22,0.088149,0.098054,runtime_joules,L1_10_s22
23,0.086008,0.093944,runtime_joules,L1_11_s22
24,0.082454,0.086871,runtime_joules,L1_12_s22
25,0.079052,0.079876,runtime_joules,L1_13_s22
26,0.08314,0.092539,runtime_joules,L1_14_s22
27,0.105956,0.118059,runtime_joules,L1_15_s22
28,0.100491,0.114487,runtime_joules,L1_16_s22
29,0.106687,0.133311,runtime_joules,L1_17_s22
30,0.10501,0.127752,runtime_joules,L1_18_s22
