idx,x,y,series,label
1,0.712974,0.252476,pareto,pareto_1
2,0.163412,0.698526,pareto,pareto_2
3,0.623666,0.416418,pareto,pareto_3
4,0.146516,0.642111,pareto,pareto_4
5,0.529572,0.709234,pareto,pareto_5
6,0.277725,0.86492,pareto,pareto_6
7,0.50705,0.289422,pareto,pareto_7
8,0.420101,0.87515,pareto,pareto_8
9,0.290299,0.40351,pareto,pareto_9
10,0.596624,0.828924,pareto,pareto_10
11,0.087449,0.037756,pareto,pareto_11
12,0.055739,0.582319,pareto,pareto_12
13,0.587126,0.193911,pareto,pareto_13
14,0.150213,0.269409,pareto,pareto_14
15,0.909579,0.841952,pareto,pareto_15
16,0.7856,0.730708,pareto,pareto_16
17,0.396931,0.293695,pareto,pareto_17
18,0.927826,0.454413,pareto,pareto_18
19,0.090429,0.433812,pareto,pareto_19
20,0.044265,0.063726,pareto,pareto_20
21,0.715023,0.078991,pareto,pareto_21
22,0.915353,0.378415,pareto,pareto_22
23,0.144512,0.750881,pareto,pareto_23
24,0.671762,0.873954,pareto,pareto_24
25,0.990345,0.093737,pareto,pareto_25
26,0.011212,0.549563,pareto,pareto_26
27,0.712029,0.494804,pareto,pareto_27
28,0.335314,0.094319,pareto,pareto_28
29,0.06196,0.527918,pareto,pareto_29
30,0.867657,0.499186,pareto,pareto_30
