idx,x,y,series,label
1,1,0.631454,passatk,turn_1_p1
2,2,0.700059,passatk,turn_2_p2
3,3,0.742715,passatk,turn_3_p3
4,4,0.796299,passatk,turn_4_p4
5,5,0.827436,passatk,turn_5_p5
6,1,0.62759,passatk,turn_1_p6
7,2,0.696974,passatk,turn_2_p7
8,3,0.755148,passatk,turn_3_p8
9,4,0.786655,passatk,turn_4_p9
10,5,0.815287,passatk,turn_5_p10
11,1,0.6359,passatk,turn_1_p11
12,2,0.694078,passatk,turn_2_p12
13,3,0.74799,passatk,turn_3_p13
14,4,0.789028,passatk,turn_4_p14
15,5,0.817109,passatk,turn_5_p15
16,1,0.625622,passatk,turn_1_p16
17,2,0.706828,passatk,turn_2_p17
18,3,0.744454,passatk,turn_3_p18
19,4,0.78254,passatk,turn_4_p19
20,5,0.814208,passatk,turn_5_p20
21,1,0.625483,passatk,turn_1_p21
22,2,0.692073,passatk,turn_2_p22
23,3,0.747868,passatk,turn_3_p23
24,4,0.783485,passatk,turn_4_p24
25,5,0.817053,passatk,turn_5_p25
26,1,0.631351,passatk,turn_1_p26
27,2,0.692117,passatk,turn_2_p27
28,3,0.744771,passatk,turn_3_p28
29,4,0.794667,passatk,turn_4_p29
30,5,0.823884,passatk,turn_5_p30
