index,reward
0,-1.19351
1,-1.09048
2,-1.05537
3,-1.05275
4,-1.03355
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-0.98979
41,-0.95749
42,-0.95394
43,-0.92766
44,-0.91321
45,-0.90167
46,-0.89146
47,-0.88498
48,-0.85316
49,-0.83257
50,-0.7637
51,-0.76073
52,-0.75007
53,-0.74532
54,-0.73995
55,-0.73765
56,-0.73433
57,-0.73362
58,-0.72688
59,-0.7174
60,-0.70546
61,-0.70216
62,-0.64807
63,-0.64045
64,-0.63507
65,-0.61836
66,-0.60237
67,-0.59952
68,-0.57913
69,-0.57703
70,-0.5638
71,-0.5605
72,-0.55989
73,-0.54297
74,-0.53285
75,-0.53147
76,-0.52813
77,-0.51335
78,-0.5
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.5
144,-0.5
145,-0.5
146,-0.5
147,-0.5
148,-0.5
149,-0.5
150,-0.5
151,-0.5
152,-0.5
153,-0.5
154,-0.5
155,-0.5
156,-0.5
157,-0.5
158,-0.5
159,-0.5
160,-0.4851
161,-0.48468
162,-0.48284
163,-0.46879
164,-0.46838
165,-0.46158
166,-0.46052
167,-0.44212
168,-0.43323
169,-0.43262
170,-0.41603
171,-0.39167
172,-0.38691
173,-0.38334
174,-0.36757
175,-0.36635
176,-0.35945
177,-0.35719
178,-0.35702
179,-0.35609
180,-0.35607
181,-0.35209
182,-0.35089
183,-0.34935
184,-0.32983
185,-0.32082
186,-0.31467
187,-0.31314
188,-0.30995
189,-0.30914
190,-0.29956
191,-0.29484
192,-0.29189
193,-0.28967
194,-0.28648
195,-0.28557
196,-0.28151
197,-0.27636
198,-0.26386
199,-0.26012
200,-0.256
201,-0.22469
202,-0.22296
203,-0.21045
204,-0.20539
205,-0.1924
206,-0.19072
207,-0.18796
208,-0.18644
209,-0.18322
210,-0.18249
211,-0.16397
212,-0.13546
213,-0.13355
214,-0.1284
215,-0.12831
216,-0.11681
217,-0.10814
218,-0.09296
219,-0.09213
220,-0.07724
221,-0.05806
222,-0.05208
223,-0.04526
224,-0.04269
225,-0.04231
226,-0.03664
227,-0.01505
228,-0.00345
229,0.02111
230,0.02819
231,0.06048
232,0.07996
233,0.1251
234,0.1329
235,0.20303
236,0.2485
