idx,x,y,series,label
1,0.320359,0.355112,runtime_joules,runtime_joules_1
2,0.453688,0.846219,runtime_joules,runtime_joules_2
3,0.787692,0.375358,runtime_joules,runtime_joules_3
4,0.963937,0.122327,runtime_joules,runtime_joules_4
5,0.945589,0.9507,runtime_joules,runtime_joules_5
6,0.850618,0.450381,runtime_joules,runtime_joules_6
7,0.305083,0.770242,runtime_joules,runtime_joules_7
8,0.964915,0.999921,runtime_joules,runtime_joules_8
9,0.164831,0.536413,runtime_joules,runtime_joules_9
10,0.12304,0.659508,runtime_joules,runtime_joules_10
11,0.541623,0.856192,runtime_joules,runtime_joules_11
12,0.578775,0.630339,runtime_joules,runtime_joules_12
13,0.878436,0.63404,runtime_joules,runtime_joules_13
14,0.929721,0.95983,runtime_joules,runtime_joules_14
15,0.688394,0.355824,runtime_joules,runtime_joules_15
16,0.93871,0.525682,runtime_joules,runtime_joules_16
17,0.625207,0.925362,runtime_joules,runtime_joules_17
18,0.465158,0.713203,runtime_joules,runtime_joules_18
19,0.801469,0.441256,runtime_joules,runtime_joules_19
20,0.490737,0.665396,runtime_joules,runtime_joules_20
21,0.251699,0.93193,runtime_joules,runtime_joules_21
22,0.936132,0.996675,runtime_joules,runtime_joules_22
23,0.107396,0.079539,runtime_joules,runtime_joules_23
24,0.40023,0.03526,runtime_joules,runtime_joules_24
25,0.135388,0.103938,runtime_joules,runtime_joules_25
26,0.79697,0.900326,runtime_joules,runtime_joules_26
27,0.808679,0.760649,runtime_joules,runtime_joules_27
28,0.618158,0.220771,runtime_joules,runtime_joules_28
29,0.958638,0.719255,runtime_joules,runtime_joules_29
30,0.674713,0.608572,runtime_joules,runtime_joules_30
