run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M_ALL::paper_appendix::seed11::L1_1,11,L1_1,1,1,2.407662,1.893843,0.428617,180.672,0,14.232556,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_2,11,L1_2,1,1,2.949357,1.73096,0.538891,188.958,0,14.150475,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_3,11,L1_3,1,1,2.441375,1.930111,0.50821,204.575,0,14.331399,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_4,11,L1_4,1,0,2.750949,1.959335,0.520646,192.188,0,9.940195,-1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_5,11,L1_5,1,1,2.096959,1.93333,0.384095,176.695,0,13.947942,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_6,11,L1_6,1,0,3.219733,1.740734,0.672634,200.939,0,9.313679,-1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_7,11,L1_7,1,1,2.394577,1.922602,0.454469,200.517,0,13.744511,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_8,11,L1_8,1,1,2.312449,1.703643,0.435543,195.128,0,13.903332,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_9,11,L1_9,1,1,2.657936,1.778211,0.503061,189.137,0,13.899447,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_10,11,L1_10,1,1,3.338936,1.803965,0.588331,171.607,0,13.930918,2,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_11,11,L1_11,1,1,3.234904,1.886796,0.587559,192.595,0,14.303434,2,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_12,11,L1_12,1,1,2.13788,1.828962,0.39202,185.38,0,14.602895,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_13,11,L1_13,1,0,3.637649,1.777263,0.629326,180.164,0,8.845661,-1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_14,11,L1_14,1,1,2.454165,1.688784,0.391703,168.217,0,13.440367,2,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_15,11,L1_15,1,1,3.163922,1.989519,0.604607,180.951,1,12.629013,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_16,11,L1_16,1,0,2.37037,1.545671,0.460123,195.751,0,8.343704,-1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_17,11,L1_17,1,0,2.43947,1.573772,0.463201,191.598,0,8.862145,6,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_18,11,L1_18,1,1,3.527693,1.632542,0.612328,159.122,0,14.011762,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_19,11,L1_19,1,1,1.596168,1.992725,0.266052,178.2,0,14.878239,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L1_20,11,L1_20,1,1,1.889138,2.207802,0.336898,172.955,0,15.192069,1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L2_1,11,L2_1,1,0,5.018625,1.916528,1.167646,214.475,0,8.417769,-1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
run::M_ALL::paper_appendix::seed11::L2_2,11,L2_2,1,0,5.156988,1.906442,1.340948,231.856,0,8.613704,-1,,suite,checkpoints/exp/paper_appendix/m_all/seed11/checkpoint.json
