idx,x,y,series,label
1,2.543746,0.062902,pareto,pareto_1
2,2.302045,0.061212,pareto,pareto_2
3,2.299706,0.060582,pareto,pareto_3
4,2.500117,0.063472,pareto,pareto_4
5,2.273766,0.063711,pareto,pareto_5
6,2.541055,0.065164,pareto,pareto_6
7,2.311814,0.065462,pareto,pareto_7
8,2.450587,0.066236,pareto,pareto_8
9,2.493247,0.068348,pareto,pareto_9
10,2.259691,0.068783,pareto,pareto_10
11,2.363925,0.068831,pareto,pareto_11
12,2.302088,0.068838,pareto,pareto_12
13,2.441475,0.069144,pareto,pareto_13
14,2.397483,0.070828,pareto,pareto_14
15,2.455202,0.071467,pareto,pareto_15
16,2.471917,0.072277,pareto,pareto_16
17,2.540803,0.072784,pareto,pareto_17
18,2.337559,0.072936,pareto,pareto_18
19,2.419808,0.073044,pareto,pareto_19
20,2.530987,0.074376,pareto,pareto_20
21,2.415271,0.075619,pareto,pareto_21
22,1.936066,0.076695,pareto,pareto_22
23,1.990946,0.081817,pareto,pareto_23
24,1.898073,0.082759,pareto,pareto_24
25,2.110338,0.082827,pareto,pareto_25
26,1.987268,0.083181,pareto,pareto_26
27,1.864915,0.083512,pareto,pareto_27
28,1.925403,0.084519,pareto,pareto_28
29,1.892096,0.08506,pareto,pareto_29
30,1.930333,0.085607,pareto,pareto_30
