idx,x,y,series,label
1,1,0.629607,passatk,turn_1_pt_1
2,2,0.704992,passatk,turn_2_pt_2
3,3,0.74814,passatk,turn_3_pt_3
4,4,0.792396,passatk,turn_4_pt_4
5,5,0.824287,passatk,turn_5_pt_5
6,1,0.633293,passatk,turn_1_pt_6
7,2,0.701123,passatk,turn_2_pt_7
8,3,0.746498,passatk,turn_3_pt_8
9,4,0.795047,passatk,turn_4_pt_9
10,5,0.824412,passatk,turn_5_pt_10
11,1,0.635061,passatk,turn_1_pt_11
12,2,0.703959,passatk,turn_2_pt_12
13,3,0.756313,passatk,turn_3_pt_13
14,4,0.788744,passatk,turn_4_pt_14
15,5,0.816308,passatk,turn_5_pt_15
16,1,0.624099,passatk,turn_1_pt_16
17,2,0.694749,passatk,turn_2_pt_17
18,3,0.748075,passatk,turn_3_pt_18
19,4,0.795773,passatk,turn_4_pt_19
20,5,0.82064,passatk,turn_5_pt_20
21,1,0.627279,passatk,turn_1_pt_21
22,2,0.704088,passatk,turn_2_pt_22
23,3,0.747053,passatk,turn_3_pt_23
24,4,0.787585,passatk,turn_4_pt_24
25,5,0.819658,passatk,turn_5_pt_25
26,1,0.628494,passatk,turn_1_pt_26
27,2,0.694076,passatk,turn_2_pt_27
28,3,0.755095,passatk,turn_3_pt_28
29,4,0.792633,passatk,turn_4_pt_29
30,5,0.817466,passatk,turn_5_pt_30
