idx,x,y,series,label
1,1,6.43347,reward_curve,step_1
2,2,6.681382,reward_curve,step_2
3,3,6.836971,reward_curve,step_3
4,4,6.865204,reward_curve,step_4
5,5,7.020996,reward_curve,step_5
6,6,7.101284,reward_curve,step_6
7,7,7.210909,reward_curve,step_7
8,8,7.392959,reward_curve,step_8
9,9,7.389291,reward_curve,step_9
10,10,7.487421,reward_curve,step_10
11,11,7.421963,reward_curve,step_11
12,12,7.579307,reward_curve,step_12
13,13,7.550329,reward_curve,step_13
14,14,7.626398,reward_curve,step_14
15,15,7.639851,reward_curve,step_15
16,16,7.674734,reward_curve,step_16
17,17,7.573063,reward_curve,step_17
18,18,7.719125,reward_curve,step_18
19,19,7.673602,reward_curve,step_19
20,20,7.699292,reward_curve,step_20
21,21,7.686895,reward_curve,step_21
22,22,7.819147,reward_curve,step_22
23,23,7.875305,reward_curve,step_23
24,24,7.908203,reward_curve,step_24
25,25,7.872287,reward_curve,step_25
26,26,7.866315,reward_curve,step_26
27,27,8.010775,reward_curve,step_27
28,28,8.022318,reward_curve,step_28
29,29,8.079224,reward_curve,step_29
30,30,8.044033,reward_curve,step_30
