idx,x,y,series,label
1,0.067393,0.066236,runtime_joules,L1_1_s11
2,0.08007,0.085607,runtime_joules,L1_10_s11
3,0.078752,0.082827,runtime_joules,L1_11_s11
4,0.080628,0.081817,runtime_joules,L1_12_s11
5,0.080905,0.084519,runtime_joules,L1_13_s11
6,0.079907,0.089254,runtime_joules,L1_14_s11
7,0.104357,0.11609,runtime_joules,L1_15_s11
8,0.100875,0.111823,runtime_joules,L1_16_s11
9,0.100111,0.115419,runtime_joules,L1_17_s11
10,0.101514,0.116964,runtime_joules,L1_18_s11
11,0.102626,0.119261,runtime_joules,L1_19_s11
12,0.06949,0.073044,runtime_joules,L1_2_s11
13,0.110521,0.125917,runtime_joules,L1_20_s11
14,0.064677,0.060582,runtime_joules,L1_3_s11
15,0.065306,0.063472,runtime_joules,L1_4_s11
16,0.07071,0.068838,runtime_joules,L1_5_s11
17,0.067033,0.068783,runtime_joules,L1_6_s11
18,0.0677,0.065164,runtime_joules,L1_7_s11
19,0.079013,0.083512,runtime_joules,L1_8_s11
20,0.085767,0.098861,runtime_joules,L1_9_s11
21,0.072206,0.069144,runtime_joules,L1_1_s22
22,0.08987,0.098489,runtime_joules,L1_10_s22
23,0.091615,0.094943,runtime_joules,L1_11_s22
24,0.079852,0.093968,runtime_joules,L1_12_s22
25,0.084065,0.096918,runtime_joules,L1_13_s22
26,0.091074,0.093014,runtime_joules,L1_14_s22
27,0.097499,0.120491,runtime_joules,L1_15_s22
28,0.10206,0.128036,runtime_joules,L1_16_s22
29,0.103968,0.117746,runtime_joules,L1_17_s22
30,0.108313,0.134533,runtime_joules,L1_18_s22
