run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M_ALL::paper_figures::seed11::L1_1,11,L1_1,1,1,1.862648,1.829461,0.333298,187.859,0,14.235178,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_2,11,L1_2,1,1,3.882527,1.970348,0.691554,185.685,0,14.049436,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_3,11,L1_3,1,1,3.348009,1.988702,0.582409,187.754,0,14.629377,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_4,11,L1_4,1,0,2.904546,1.879489,0.496278,164.24,0,9.391679,6,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_5,11,L1_5,1,1,2.261599,2.121289,0.411068,165.688,0,14.071536,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_6,11,L1_6,1,1,3.118172,2.112119,0.585849,195.091,0,14.416893,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_7,11,L1_7,1,0,2.996424,1.838832,0.547173,194.884,0,9.302645,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_8,11,L1_8,1,0,2.890012,1.709273,0.500239,169.154,0,9.334635,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_9,11,L1_9,0,0,2.34896,2.144263,0.44621,196.273,0,8.89401,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_10,11,L1_10,1,1,2.783849,1.680559,0.570987,201.119,0,13.545263,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_11,11,L1_11,1,1,3.229655,1.856361,0.676327,186.341,0,14.79796,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_12,11,L1_12,1,1,2.026905,1.813429,0.321301,160.712,0,14.396484,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_13,11,L1_13,1,1,2.936578,1.758873,0.589984,204.322,0,13.913258,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_14,11,L1_14,1,1,2.540995,1.868593,0.518777,194.829,0,13.796924,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_15,11,L1_15,1,0,3.063235,1.976785,0.544662,175.044,0,9.328757,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_16,11,L1_16,0,0,3.432132,1.806653,0.697513,209.58,0,7.829797,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_17,11,L1_17,1,1,3.27754,1.791329,0.653532,197.211,0,14.79189,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_18,11,L1_18,1,0,3.076144,1.745841,0.461391,147.687,0,9.785347,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_19,11,L1_19,1,1,2.20014,1.806846,0.407114,187.217,0,13.556946,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L1_20,11,L1_20,0,0,1.896811,1.893247,0.322047,157.256,0,7.83792,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_1,11,L2_1,1,1,4.529797,1.777249,0.976449,209.772,0,13.272552,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_2,11,L2_2,1,1,5.345068,1.836355,1.055837,193.091,0,14.253587,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_3,11,L2_3,1,1,5.025271,1.813654,1.168657,215.977,0,13.418107,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_4,11,L2_4,0,0,5.50274,1.747006,1.202078,229.358,0,7.73225,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_5,11,L2_5,1,1,6.464933,1.78505,1.33884,206.039,0,12.701625,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_6,11,L2_6,0,0,4.188527,1.59884,0.856867,213.03,0,7.332364,6,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_7,11,L2_7,0,0,6.425201,1.799055,1.135295,188.637,0,6.76306,6,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_8,11,L2_8,1,1,6.15859,1.830827,1.373937,219.505,0,13.709066,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_9,11,L2_9,0,0,6.568056,1.921473,1.346689,212.23,0,7.829988,6,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_10,11,L2_10,0,0,5.868985,1.705826,1.014621,177.069,0,7.313655,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_11,11,L2_11,1,1,5.984369,1.605359,1.110885,200.798,0,12.963635,2,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_12,11,L2_12,0,0,6.818872,1.835167,1.391278,209.014,0,6.475352,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_13,11,L2_13,0,0,6.685433,1.631734,1.425543,216.688,0,7.136622,6,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_14,11,L2_14,1,0,5.765894,1.867813,1.10158,195.177,0,8.17708,6,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_15,11,L2_15,1,0,6.105058,1.772631,1.038703,190.771,0,8.952312,6,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_16,11,L2_16,1,0,6.52454,1.775213,1.541374,235.771,0,9.003416,-1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
run::M_ALL::paper_figures::seed11::L2_17,11,L2_17,1,1,5.864592,1.555549,1.196711,202.407,0,12.839537,1,,suite,checkpoints/exp/paper_figures/m_all/seed11/checkpoint.json
