idx,x,y,series,label
1,2.144263,0.44621,pareto,pareto_1
2,2.135516,0.375677,pareto,pareto_2
3,2.028286,0.31891,pareto,pareto_3
4,2.023421,0.314652,pareto,pareto_4
5,1.813429,0.321301,pareto,pareto_5
6,1.893247,0.322047,pareto,pareto_6
7,1.829461,0.333298,pareto,pareto_7
8,1.885008,0.339605,pareto,pareto_8
9,1.777416,0.357339,pareto,pareto_9
10,1.837087,0.359308,pareto,pareto_10
11,1.671924,0.368082,pareto,pareto_11
12,1.847619,0.384968,pareto,pareto_12
13,1.819504,0.391861,pareto,pareto_13
14,1.888208,0.395235,pareto,pareto_14
15,1.913561,0.406656,pareto,pareto_15
16,1.806846,0.407114,pareto,pareto_16
17,2.121289,0.411068,pareto,pareto_17
18,1.679584,0.414874,pareto,pareto_18
19,2.089519,0.419763,pareto,pareto_19
20,1.727213,0.420008,pareto,pareto_20
21,1.863842,0.423902,pareto,pareto_21
22,1.750005,0.425313,pareto,pareto_22
23,1.848726,0.436318,pareto,pareto_23
24,1.740311,0.443774,pareto,pareto_24
25,1.882305,0.453195,pareto,pareto_25
26,1.745841,0.461391,pareto,pareto_26
27,1.868328,0.472971,pareto,pareto_27
28,1.928851,0.474753,pareto,pareto_28
29,1.746933,0.486952,pareto,pareto_29
30,1.705544,0.488057,pareto,pareto_30
