idx,x,y,series,label
1,1,0.627602,passatk,turn_1_pt_1
2,2,0.698608,passatk,turn_2_pt_2
3,3,0.754486,passatk,turn_3_pt_3
4,4,0.789618,passatk,turn_4_pt_4
5,5,0.825295,passatk,turn_5_pt_5
6,1,0.629475,passatk,turn_1_pt_6
7,2,0.703407,passatk,turn_2_pt_7
8,3,0.749657,passatk,turn_3_pt_8
9,4,0.790219,passatk,turn_4_pt_9
10,5,0.820375,passatk,turn_5_pt_10
11,1,0.630436,passatk,turn_1_pt_11
12,2,0.699419,passatk,turn_2_pt_12
13,3,0.74779,passatk,turn_3_pt_13
14,4,0.790874,passatk,turn_4_pt_14
15,5,0.818301,passatk,turn_5_pt_15
16,1,0.628217,passatk,turn_1_pt_16
17,2,0.702439,passatk,turn_2_pt_17
18,3,0.74842,passatk,turn_3_pt_18
19,4,0.795149,passatk,turn_4_pt_19
20,5,0.815872,passatk,turn_5_pt_20
21,1,0.628744,passatk,turn_1_pt_21
22,2,0.700517,passatk,turn_2_pt_22
23,3,0.752488,passatk,turn_3_pt_23
24,4,0.792612,passatk,turn_4_pt_24
25,5,0.814725,passatk,turn_5_pt_25
26,1,0.624257,passatk,turn_1_pt_26
27,2,0.697336,passatk,turn_2_pt_27
28,3,0.75591,passatk,turn_3_pt_28
29,4,0.793762,passatk,turn_4_pt_29
30,5,0.817973,passatk,turn_5_pt_30
