idx,x,y,series,label
1,1,6.590315,reward_curve,step_1
2,2,6.794052,reward_curve,step_2
3,3,6.897368,reward_curve,step_3
4,4,7.035881,reward_curve,step_4
5,5,7.229227,reward_curve,step_5
6,6,7.344585,reward_curve,step_6
7,7,7.353849,reward_curve,step_7
8,8,7.501966,reward_curve,step_8
9,9,7.567409,reward_curve,step_9
10,10,7.598913,reward_curve,step_10
11,11,7.565574,reward_curve,step_11
12,12,7.6359,reward_curve,step_12
13,13,7.697359,reward_curve,step_13
14,14,7.707116,reward_curve,step_14
15,15,7.703893,reward_curve,step_15
16,16,7.752355,reward_curve,step_16
17,17,7.729341,reward_curve,step_17
18,18,7.771553,reward_curve,step_18
19,19,7.856824,reward_curve,step_19
20,20,7.794411,reward_curve,step_20
21,21,7.837557,reward_curve,step_21
22,22,7.974141,reward_curve,step_22
23,23,7.986445,reward_curve,step_23
24,24,7.941925,reward_curve,step_24
25,25,8.068059,reward_curve,step_25
26,26,8.065092,reward_curve,step_26
27,27,8.14047,reward_curve,step_27
28,28,8.087776,reward_curve,step_28
29,29,8.127734,reward_curve,step_29
30,30,8.195433,reward_curve,step_30
