idx,x,y,series,label
1,0.531097,0.525849,runtime_joules,runtime_joules_1
2,0.113955,0.421929,runtime_joules,runtime_joules_2
3,0.667888,0.121654,runtime_joules,runtime_joules_3
4,0.542089,0.214138,runtime_joules,runtime_joules_4
5,0.351441,0.468051,runtime_joules,runtime_joules_5
6,0.796129,0.439393,runtime_joules,runtime_joules_6
7,0.202679,0.674294,runtime_joules,runtime_joules_7
8,0.960863,0.017158,runtime_joules,runtime_joules_8
9,0.541853,0.432447,runtime_joules,runtime_joules_9
10,0.940482,0.98744,runtime_joules,runtime_joules_10
11,0.915141,0.461086,runtime_joules,runtime_joules_11
12,0.821868,0.212821,runtime_joules,runtime_joules_12
13,0.126185,0.387857,runtime_joules,runtime_joules_13
14,0.8435,0.798269,runtime_joules,runtime_joules_14
15,0.963858,0.555117,runtime_joules,runtime_joules_15
16,0.513893,0.368132,runtime_joules,runtime_joules_16
17,0.152274,0.219565,runtime_joules,runtime_joules_17
18,0.021739,0.78101,runtime_joules,runtime_joules_18
19,0.888588,0.457548,runtime_joules,runtime_joules_19
20,0.133953,0.430318,runtime_joules,runtime_joules_20
21,0.968156,0.195613,runtime_joules,runtime_joules_21
22,0.487339,0.669101,runtime_joules,runtime_joules_22
23,0.412638,0.292292,runtime_joules,runtime_joules_23
24,0.358622,0.750392,runtime_joules,runtime_joules_24
25,0.61744,0.654601,runtime_joules,runtime_joules_25
26,0.149575,0.546845,runtime_joules,runtime_joules_26
27,0.336099,0.720557,runtime_joules,runtime_joules_27
28,0.294785,0.834338,runtime_joules,runtime_joules_28
29,0.190518,0.055342,runtime_joules,runtime_joules_29
30,0.713503,0.455381,runtime_joules,runtime_joules_30
