run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,stage,checkpoint
run::M_ALL::paper_tables::seed11::L1_1,11,L1_1,1,1,0.070853,2.279752,0.073626,205.213,0,8.25978,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_2,11,L1_2,1,1,0.067413,2.399283,0.073191,209.188,0,8.63319,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_3,11,L1_3,1,1,0.069365,2.298744,0.072112,207.076,0,8.58817,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_4,11,L1_4,1,1,0.063467,2.280515,0.059703,192.623,0,8.81687,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_5,11,L1_5,1,1,0.072243,2.425492,0.078631,207.991,0,8.28211,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_6,11,L1_6,1,1,0.063453,2.253248,0.061523,188.517,0,8.38347,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_7,11,L1_7,1,1,0.066243,2.293315,0.067868,197.532,1,7.1134,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_8,11,L1_8,1,1,0.087118,1.962192,0.087605,207.762,0,7.3951,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_9,11,L1_9,1,1,0.081096,2.144762,0.088009,207.376,0,7.88835,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_10,11,L1_10,1,1,0.081395,2.035553,0.081079,199.642,0,7.72169,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_11,11,L1_11,1,1,0.087852,1.950835,0.090504,216.24,0,7.6985,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_12,11,L1_12,1,1,0.078029,2.147623,0.088378,216.481,0,7.7411,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_13,11,L1_13,1,1,0.080652,1.903639,0.085309,213.468,0,7.89676,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
run::M_ALL::paper_tables::seed11::L1_14,11,L1_14,1,1,0.086486,1.897532,0.087898,199.085,0,7.29881,suite,checkpoints/exp/paper_tables/m_all/seed11/checkpoint.json
