idx,x,y,series,label
1,2.088193,0.334064,pareto,pareto_1
2,2.04411,0.303553,pareto,pareto_2
3,2.005099,0.256262,pareto,pareto_3
4,1.870801,0.254663,pareto,pareto_4
5,1.878181,0.315142,pareto,pareto_5
6,1.863079,0.317629,pareto,pareto_6
7,1.948817,0.330213,pareto,pareto_7
8,1.867011,0.339281,pareto,pareto_8
9,1.987295,0.343483,pareto,pareto_9
10,2.075978,0.350859,pareto,pareto_10
11,1.897264,0.373976,pareto,pareto_11
12,1.566712,0.375378,pareto,pareto_12
13,1.916445,0.382739,pareto,pareto_13
14,1.811869,0.39079,pareto,pareto_14
15,1.681558,0.394318,pareto,pareto_15
16,1.772852,0.39974,pareto,pareto_16
17,1.790643,0.40909,pareto,pareto_17
18,1.832313,0.410854,pareto,pareto_18
19,1.890464,0.41623,pareto,pareto_19
20,1.887487,0.423814,pareto,pareto_20
21,1.982825,0.4286,pareto,pareto_21
22,1.721045,0.444349,pareto,pareto_22
23,1.813977,0.449325,pareto,pareto_23
24,1.880062,0.450831,pareto,pareto_24
25,1.82815,0.45761,pareto,pareto_25
26,1.742599,0.462907,pareto,pareto_26
27,2.027679,0.472013,pareto,pareto_27
28,1.827408,0.473167,pareto,pareto_28
29,1.835281,0.478355,pareto,pareto_29
30,1.912286,0.478497,pareto,pareto_30
