idx,x,y,series,label
1,1,0.631641,passatk,turn_1_pt_1
2,2,0.700989,passatk,turn_2_pt_2
3,3,0.75382,passatk,turn_3_pt_3
4,4,0.792146,passatk,turn_4_pt_4
5,5,0.821837,passatk,turn_5_pt_5
6,1,0.633558,passatk,turn_1_pt_6
7,2,0.701326,passatk,turn_2_pt_7
8,3,0.753825,passatk,turn_3_pt_8
9,4,0.789961,passatk,turn_4_pt_9
10,5,0.814566,passatk,turn_5_pt_10
11,1,0.624255,passatk,turn_1_pt_11
12,2,0.703605,passatk,turn_2_pt_12
13,3,0.746262,passatk,turn_3_pt_13
14,4,0.795781,passatk,turn_4_pt_14
15,5,0.817091,passatk,turn_5_pt_15
16,1,0.635648,passatk,turn_1_pt_16
17,2,0.699863,passatk,turn_2_pt_17
18,3,0.749044,passatk,turn_3_pt_18
19,4,0.784016,passatk,turn_4_pt_19
20,5,0.82029,passatk,turn_5_pt_20
21,1,0.630597,passatk,turn_1_pt_21
22,2,0.702896,passatk,turn_2_pt_22
23,3,0.746929,passatk,turn_3_pt_23
24,4,0.790223,passatk,turn_4_pt_24
25,5,0.820714,passatk,turn_5_pt_25
26,1,0.627473,passatk,turn_1_pt_26
27,2,0.70525,passatk,turn_2_pt_27
28,3,0.753648,passatk,turn_3_pt_28
29,4,0.794165,passatk,turn_4_pt_29
30,5,0.816762,passatk,turn_5_pt_30
