idx,x,y,series,label
1,0.438399,0.66857,reward_curve,reward_curve_1
2,0.814561,0.180798,reward_curve,reward_curve_2
3,0.802775,0.652743,reward_curve,reward_curve_3
4,0.386532,0.432616,reward_curve,reward_curve_4
5,0.81883,0.693622,reward_curve,reward_curve_5
6,0.816887,0.188913,reward_curve,reward_curve_6
7,0.13977,0.139224,reward_curve,reward_curve_7
8,0.300575,0.611584,reward_curve,reward_curve_8
9,0.026219,0.720275,reward_curve,reward_curve_9
10,0.591886,0.673292,reward_curve,reward_curve_10
11,0.297915,0.204574,reward_curve,reward_curve_11
12,0.774236,0.446134,reward_curve,reward_curve_12
13,0.319845,0.892204,reward_curve,reward_curve_13
14,0.479099,0.374568,reward_curve,reward_curve_14
15,0.53446,0.26723,reward_curve,reward_curve_15
16,0.673405,0.670694,reward_curve,reward_curve_16
17,0.355473,0.191493,reward_curve,reward_curve_17
18,0.938689,0.412325,reward_curve,reward_curve_18
19,0.575028,0.390269,reward_curve,reward_curve_19
20,0.705293,0.178003,reward_curve,reward_curve_20
21,0.056007,0.195933,reward_curve,reward_curve_21
22,0.799741,0.529171,reward_curve,reward_curve_22
23,0.531031,0.793295,reward_curve,reward_curve_23
24,0.359383,0.101644,reward_curve,reward_curve_24
25,0.360007,0.370516,reward_curve,reward_curve_25
26,0.288052,0.117302,reward_curve,reward_curve_26
27,0.540684,0.446864,reward_curve,reward_curve_27
28,0.616027,0.472753,reward_curve,reward_curve_28
29,0.467629,0.982521,reward_curve,reward_curve_29
30,0.478295,0.676001,reward_curve,reward_curve_30
