idx,x,y,series,label
1,0.190245,0.447949,runtime_joules,runtime_joules_1
2,0.063604,0.698345,runtime_joules,runtime_joules_2
3,0.607611,0.567991,runtime_joules,runtime_joules_3
4,0.174808,0.718038,runtime_joules,runtime_joules_4
5,0.178631,0.219182,runtime_joules,runtime_joules_5
6,0.574172,0.671547,runtime_joules,runtime_joules_6
7,0.140543,0.188086,runtime_joules,runtime_joules_7
8,0.260292,0.699023,runtime_joules,runtime_joules_8
9,0.510493,0.263869,runtime_joules,runtime_joules_9
10,0.259601,0.599398,runtime_joules,runtime_joules_10
11,0.502615,0.467578,runtime_joules,runtime_joules_11
12,0.495304,0.513005,runtime_joules,runtime_joules_12
13,0.961337,0.522829,runtime_joules,runtime_joules_13
14,0.264976,0.878848,runtime_joules,runtime_joules_14
15,0.548006,0.172104,runtime_joules,runtime_joules_15
16,0.817026,0.674807,runtime_joules,runtime_joules_16
17,0.11016,0.523451,runtime_joules,runtime_joules_17
18,0.312836,0.888184,runtime_joules,runtime_joules_18
19,0.276291,0.930684,runtime_joules,runtime_joules_19
20,0.399759,0.810882,runtime_joules,runtime_joules_20
21,0.30343,0.086607,runtime_joules,runtime_joules_21
22,0.251665,0.609969,runtime_joules,runtime_joules_22
23,0.904705,0.959662,runtime_joules,runtime_joules_23
24,0.82133,0.770045,runtime_joules,runtime_joules_24
25,0.660987,0.295111,runtime_joules,runtime_joules_25
26,0.464508,0.284392,runtime_joules,runtime_joules_26
27,0.684142,0.522649,runtime_joules,runtime_joules_27
28,0.266151,0.822928,runtime_joules,runtime_joules_28
29,0.780919,0.583233,runtime_joules,runtime_joules_29
30,0.091824,0.547158,runtime_joules,runtime_joules_30
