run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,stage,checkpoint
run::M_ALL::reward_ablation::seed11::L1_1,11,L1_1,0,0,2.416083,1.748731,0.431154,182.495,0,6.477515,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_2,11,L1_2,1,0,3.354635,1.905522,0.749641,234.566,0,7.991744,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_3,11,L1_3,0,0,3.49733,1.658637,0.729409,195.888,0,6.396041,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_4,11,L1_4,1,1,3.717105,1.699215,0.655081,187.989,0,12.303253,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_5,11,L1_5,1,1,2.161888,1.689478,0.358981,173.082,0,12.908397,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_6,11,L1_6,1,0,2.25977,1.526501,0.443494,190.365,0,7.783435,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_7,11,L1_7,0,0,2.655616,1.61583,0.512572,191.527,0,7.743987,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_8,11,L1_8,0,0,2.884956,1.737283,0.578315,188.503,0,6.915959,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_9,11,L1_9,1,1,2.117455,1.624578,0.434089,187.739,0,12.816263,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_10,11,L1_10,1,1,2.816448,1.663521,0.508833,185.612,0,13.224886,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_11,11,L1_11,0,0,2.710531,1.786023,0.581008,215.518,0,7.479296,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_12,11,L1_12,1,1,2.350791,1.66253,0.39635,176.248,0,13.661571,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_13,11,L1_13,1,1,3.187291,1.783977,0.635314,192.721,0,12.724881,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_14,11,L1_14,1,1,3.296945,1.891059,0.61625,170.283,0,12.467669,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_15,11,L1_15,0,0,3.357732,1.593493,0.519155,179.578,0,5.830647,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_16,11,L1_16,1,1,3.583394,1.706335,0.650345,175.443,0,11.98912,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_17,11,L1_17,1,0,3.078226,1.996213,0.636591,202.967,0,7.655401,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_18,11,L1_18,1,0,3.611476,1.673097,0.689975,203.098,0,7.254657,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_19,11,L1_19,1,1,2.602013,1.785786,0.500631,202.702,0,13.524216,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L1_20,11,L1_20,1,1,2.176181,1.702086,0.401435,186.725,0,12.786936,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_1,11,L2_1,1,0,5.252582,1.529245,1.122087,209.675,0,7.163376,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_2,11,L2_2,1,1,4.814837,1.738264,1.04395,209.033,0,13.229558,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_3,11,L2_3,1,1,6.540005,1.656102,1.386482,206.747,1,10.665263,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_4,11,L2_4,1,1,4.858174,1.644707,1.130121,227.745,0,11.956375,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_5,11,L2_5,1,1,5.876417,1.671107,1.215899,208.432,0,12.335096,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_6,11,L2_6,1,0,6.956141,1.588843,1.738075,250.811,0,6.715453,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_7,11,L2_7,1,1,6.354835,1.76805,1.424449,220.283,0,12.492203,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_8,11,L2_8,1,0,5.578505,1.638366,1.359592,233.769,0,6.631461,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_9,11,L2_9,1,1,8.086313,1.70863,1.858802,227.827,0,11.651904,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_10,11,L2_10,1,0,7.360246,1.631918,1.726293,235.636,0,7.214191,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_11,11,L2_11,1,1,5.688197,1.573474,1.2342,222.27,0,12.293077,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_12,11,L2_12,1,1,7.995327,1.627097,1.790629,222.203,0,11.950208,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_13,11,L2_13,1,0,7.623806,1.60448,1.894786,227.64,0,6.795432,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_14,11,L2_14,1,0,5.637963,1.657651,1.247626,221.882,0,6.949478,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_15,11,L2_15,1,1,6.828252,1.459266,1.518979,219.247,0,11.437104,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_16,11,L2_16,1,1,6.614676,1.47915,1.474755,228.741,0,11.881982,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_17,11,L2_17,1,1,6.669996,1.836317,1.395245,198.537,0,12.17473,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_18,11,L2_18,1,1,9.341948,1.674941,2.117606,231.824,0,11.572202,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_19,11,L2_19,1,0,6.99187,1.54171,1.5761,228.802,0,7.374675,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L2_20,11,L2_20,1,1,7.018142,1.487934,1.658357,229.521,0,12.157458,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L3_1,11,L3_1,1,1,14.113752,1.601414,3.739263,246.059,0,9.800216,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L3_2,11,L3_2,1,1,15.719637,1.515185,4.038058,258.081,0,10.064506,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
run::M_ALL::reward_ablation::seed11::L3_3,11,L3_3,1,1,15.690523,1.291294,3.930509,264.794,0,10.250261,suite,checkpoints/exp/reward_ablation/m_all/seed11/checkpoint.json
