idx,x,y,series,label
1,0.71357,0.341619,pareto,pareto_1
2,0.740936,0.858381,pareto,pareto_2
3,0.254558,0.380199,pareto,pareto_3
4,0.835276,0.687038,pareto,pareto_4
5,0.803329,0.76151,pareto,pareto_5
6,0.931305,0.904138,pareto,pareto_6
7,0.127656,0.343268,pareto,pareto_7
8,0.697847,0.127207,pareto,pareto_8
9,0.176536,0.377774,pareto,pareto_9
10,0.986164,0.637612,pareto,pareto_10
11,0.097627,0.046408,pareto,pareto_11
12,0.916637,0.276126,pareto,pareto_12
13,0.973739,0.681316,pareto,pareto_13
14,0.794191,0.407094,pareto,pareto_14
15,0.452393,0.287702,pareto,pareto_15
16,0.510926,0.149206,pareto,pareto_16
17,0.219384,0.179241,pareto,pareto_17
18,0.949653,0.429477,pareto,pareto_18
19,0.384005,0.81763,pareto,pareto_19
20,0.223768,0.933156,pareto,pareto_20
21,0.277024,0.952357,pareto,pareto_21
22,0.72509,0.94308,pareto,pareto_22
23,0.923587,0.357451,pareto,pareto_23
24,0.383657,0.450058,pareto,pareto_24
25,0.919243,0.976044,pareto,pareto_25
26,0.033459,0.699489,pareto,pareto_26
27,0.07117,0.3277,pareto,pareto_27
28,0.15548,0.832342,pareto,pareto_28
29,0.406537,0.733887,pareto,pareto_29
30,0.624606,0.165314,pareto,pareto_30
