idx,x,y,series,label
1,0.850772,0.620954,passatk,passatk_1
2,0.650731,0.458708,passatk,passatk_2
3,0.936256,0.353739,passatk,passatk_3
4,0.050275,0.090349,passatk,passatk_4
5,0.112691,0.945578,passatk,passatk_5
6,0.654081,0.667927,passatk,passatk_6
7,0.565617,0.756545,passatk,passatk_7
8,0.415227,0.317925,passatk,passatk_8
9,0.499895,0.268182,passatk,passatk_9
10,0.348086,0.328319,passatk,passatk_10
11,0.735704,0.269112,passatk,passatk_11
12,0.877235,0.505789,passatk,passatk_12
13,0.473738,0.261379,passatk,passatk_13
14,0.380696,0.646501,passatk,passatk_14
15,0.095123,0.166078,passatk,passatk_15
16,0.607678,0.733483,passatk,passatk_16
17,0.926063,0.49388,passatk,passatk_17
18,0.908301,0.385537,passatk,passatk_18
19,0.262886,0.012373,passatk,passatk_19
20,0.229875,0.312521,passatk,passatk_20
21,0.891172,0.370914,passatk,passatk_21
22,0.553796,0.810339,passatk,passatk_22
23,0.255137,0.705739,passatk,passatk_23
24,0.059269,0.937639,passatk,passatk_24
25,0.90232,0.85028,passatk,passatk_25
26,0.864889,0.376318,passatk,passatk_26
27,0.130353,0.755528,passatk,passatk_27
28,0.55057,0.348003,passatk,passatk_28
29,0.256987,0.839146,passatk,passatk_29
30,0.122516,0.734602,passatk,passatk_30
