index,reward
0,-1.03174
1,-1.00147
2,-1.0
3,-1.0
4,-1.0
5,-1.0
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-1.0
11,-1.0
12,-1.0
13,-1.0
14,-1.0
15,-1.0
16,-1.0
17,-1.0
18,-1.0
19,-1.0
20,-1.0
21,-1.0
22,-1.0
23,-1.0
24,-1.0
25,-1.0
26,-1.0
27,-1.0
28,-1.0
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,-1.0
38,-1.0
39,-1.0
40,-1.0
41,-0.95059
42,-0.92343
43,-0.92331
44,-0.90407
45,-0.89299
46,-0.88139
47,-0.87119
48,-0.85661
49,-0.85211
50,-0.84817
51,-0.82825
52,-0.82685
53,-0.81421
54,-0.80011
55,-0.78
56,-0.77078
57,-0.74566
58,-0.71372
59,-0.66301
60,-0.65334
61,-0.65278
62,-0.64784
63,-0.63407
64,-0.63388
65,-0.62899
66,-0.62162
67,-0.61242
68,-0.60081
69,-0.59167
70,-0.58812
71,-0.57885
72,-0.57449
73,-0.55356
74,-0.5489
75,-0.54818
76,-0.54334
77,-0.5293
78,-0.51823
79,-0.5
80,-0.5
81,-0.5
82,-0.5
83,-0.5
84,-0.5
85,-0.5
86,-0.5
87,-0.5
88,-0.5
89,-0.5
90,-0.5
91,-0.5
92,-0.5
93,-0.5
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,-0.5
100,-0.5
101,-0.5
102,-0.5
103,-0.5
104,-0.5
105,-0.5
106,-0.5
107,-0.5
108,-0.5
109,-0.5
110,-0.5
111,-0.5
112,-0.5
113,-0.5
114,-0.5
115,-0.5
116,-0.5
117,-0.5
118,-0.5
119,-0.5
120,-0.5
121,-0.5
122,-0.5
123,-0.5
124,-0.5
125,-0.5
126,-0.5
127,-0.5
128,-0.5
129,-0.5
130,-0.5
131,-0.5
132,-0.5
133,-0.5
134,-0.5
135,-0.5
136,-0.5
137,-0.5
138,-0.5
139,-0.5
140,-0.5
141,-0.5
142,-0.5
143,-0.5
144,-0.5
145,-0.5
146,-0.5
147,-0.5
148,-0.5
149,-0.5
150,-0.5
151,-0.5
152,-0.5
153,-0.5
154,-0.5
155,-0.5
156,-0.5
157,-0.5
158,-0.5
159,-0.5
160,-0.5
161,-0.5
162,-0.5
163,-0.5
164,-0.5
165,-0.5
166,-0.5
167,-0.5
168,-0.49771
169,-0.4952
170,-0.48665
171,-0.48494
172,-0.47118
173,-0.46858
174,-0.45904
175,-0.44018
176,-0.43816
177,-0.42648
178,-0.4134
179,-0.41001
180,-0.40351
181,-0.38764
182,-0.3851
183,-0.38283
184,-0.37684
185,-0.36077
186,-0.34697
187,-0.33847
188,-0.337
189,-0.3344
190,-0.32773
191,-0.31697
192,-0.3091
193,-0.30706
194,-0.27233
195,-0.26729
196,-0.24395
197,-0.23515
198,-0.21709
199,-0.2125
200,-0.21223
201,-0.20383
202,-0.19718
203,-0.16523
204,-0.16094
205,-0.1542
206,-0.15376
207,-0.1305
208,-0.12941
209,-0.12787
210,-0.12168
211,-0.09774
212,-0.09456
213,-0.08558
214,-0.07913
215,-0.07271
216,-0.06866
217,-0.06424
218,-0.04544
219,-0.04356
220,-0.04012
221,-0.0309
222,-0.02053
223,-0.0162
224,0.0062
225,0.03138
226,0.03452
227,0.05373
228,0.05417
229,0.12616
230,0.12643
231,0.15315
232,0.16026
233,0.16429
234,0.16498
235,0.24588
236,0.2838
