idx,x,y,series,label
1,0.311788,0.32689,runtime_joules,runtime_joules_1
2,0.022905,0.127253,runtime_joules,runtime_joules_2
3,0.461588,0.520309,runtime_joules,runtime_joules_3
4,0.623328,0.995211,runtime_joules,runtime_joules_4
5,0.22767,0.352019,runtime_joules,runtime_joules_5
6,0.217384,0.174331,runtime_joules,runtime_joules_6
7,0.753329,0.983348,runtime_joules,runtime_joules_7
8,0.983791,0.674903,runtime_joules,runtime_joules_8
9,0.067149,0.437038,runtime_joules,runtime_joules_9
10,0.156518,0.06324,runtime_joules,runtime_joules_10
11,0.946801,0.911801,runtime_joules,runtime_joules_11
12,0.580055,0.648981,runtime_joules,runtime_joules_12
13,0.959553,0.601933,runtime_joules,runtime_joules_13
14,0.32781,0.438663,runtime_joules,runtime_joules_14
15,0.147138,0.566862,runtime_joules,runtime_joules_15
16,0.288001,0.42159,runtime_joules,runtime_joules_16
17,0.345067,0.04577,runtime_joules,runtime_joules_17
18,0.403389,0.738323,runtime_joules,runtime_joules_18
19,0.447046,0.10796,runtime_joules,runtime_joules_19
20,0.146251,0.822366,runtime_joules,runtime_joules_20
21,0.214719,0.066634,runtime_joules,runtime_joules_21
22,0.331441,0.641767,runtime_joules,runtime_joules_22
23,0.564708,0.373039,runtime_joules,runtime_joules_23
24,0.209046,0.424253,runtime_joules,runtime_joules_24
25,0.963842,0.809293,runtime_joules,runtime_joules_25
26,0.281247,0.290665,runtime_joules,runtime_joules_26
27,0.630668,0.752307,runtime_joules,runtime_joules_27
28,0.106479,0.869678,runtime_joules,runtime_joules_28
29,0.253516,0.524195,runtime_joules,runtime_joules_29
30,0.964428,0.880437,runtime_joules,runtime_joules_30
