run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,stage,checkpoint
run::M_ALL::seed_robustness::seed11::L1_1,11,L1_1,1,0,2.032361,1.958219,0.367923,188.81,0,8.566605,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_2,11,L1_2,1,0,3.332431,1.832931,0.601384,179.072,0,8.082128,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_3,11,L1_3,1,0,2.877623,1.802739,0.489317,175.346,0,7.998656,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_4,11,L1_4,1,1,3.28084,1.954343,0.667208,196.399,0,13.825101,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_5,11,L1_5,1,1,2.09877,1.814623,0.32912,171.635,0,13.396452,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_6,11,L1_6,0,0,2.709316,1.78848,0.550675,196.189,0,7.393187,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_7,11,L1_7,1,0,2.604822,1.72278,0.463343,171.644,0,9.079856,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_8,11,L1_8,1,1,2.511318,1.9347,0.569561,216.547,0,13.741324,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_9,11,L1_9,1,1,3.312816,1.777193,0.686059,195.929,0,13.452749,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_10,11,L1_10,1,1,2.67555,1.760612,0.521235,175.129,0,13.914585,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_11,11,L1_11,0,0,3.815088,1.87015,0.637034,172.716,0,7.646055,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_12,11,L1_12,1,1,2.055653,2.036234,0.346703,164.769,0,12.95344,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_13,11,L1_13,1,1,3.570232,1.832224,0.641897,174.161,0,13.525822,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_14,11,L1_14,1,0,2.557257,1.756359,0.412428,163.771,0,9.23488,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_15,11,L1_15,1,1,2.761362,1.995138,0.473307,185.193,0,13.764996,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_16,11,L1_16,1,1,3.631774,1.901598,0.611713,179.597,0,13.799738,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_17,11,L1_17,1,1,3.480274,1.751087,0.812472,226.967,0,12.996971,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_18,11,L1_18,1,0,3.329598,1.837958,0.60342,177.607,0,8.536356,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_19,11,L1_19,1,0,2.082559,1.631977,0.364294,164.593,0,8.695423,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L1_20,11,L1_20,1,1,2.325753,1.584069,0.465746,189.993,0,13.7516,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_1,11,L2_1,1,1,4.587386,1.771259,0.99439,212.261,0,12.9901,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_2,11,L2_2,1,1,4.350467,1.635052,1.003948,227.119,0,13.47088,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_3,11,L2_3,0,0,5.98067,1.641056,1.237597,219.557,0,6.759983,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_4,11,L2_4,1,1,4.379792,2.02818,0.943065,214.741,0,13.265636,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_5,11,L2_5,1,1,4.954338,1.772193,1.024061,207.206,0,13.408462,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_6,11,L2_6,1,1,5.304821,1.72491,1.077564,206.267,0,13.548533,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_7,11,L2_7,1,0,5.488494,1.595962,1.11988,193.557,0,8.249541,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_8,11,L2_8,1,1,5.019874,1.785912,1.272669,232.896,0,13.225198,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_9,11,L2_9,1,1,6.660262,1.757694,1.465636,209.794,0,12.923183,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_10,11,L2_10,1,0,6.024084,1.636334,1.352372,215.505,0,8.141787,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_11,11,L2_11,1,1,5.778551,1.7234,1.314633,234.369,0,12.55554,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_12,11,L2_12,1,1,9.260289,1.704494,2.129463,221.242,0,12.201081,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_13,11,L2_13,1,1,7.318479,1.625655,1.608359,209.724,0,12.610026,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_14,11,L2_14,1,0,5.413715,1.826851,1.053986,196.326,0,7.600257,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_15,11,L2_15,1,0,7.160127,1.72683,1.536863,210.733,0,8.121429,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_16,11,L2_16,1,1,7.338499,2.05269,1.735889,231.0,0,12.77781,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_17,11,L2_17,1,0,6.262078,1.739227,1.451047,228.92,0,7.632621,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_18,11,L2_18,1,0,8.336726,1.622107,1.93498,220.387,0,7.494351,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_19,11,L2_19,1,0,5.407858,1.985382,1.277303,255.433,0,8.119397,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L2_20,11,L2_20,1,1,6.446629,1.699883,1.187833,191.13,0,13.063438,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
run::M_ALL::seed_robustness::seed11::L3_1,11,L3_1,1,1,16.536476,1.539093,4.429941,262.883,0,10.188069,suite,checkpoints/exp/seed_robustness/m_all/seed11/checkpoint.json
