task_id,runtime_ms,joules,speedup,dominated
L1_1,23.623982,4.240786,2.4132,True
L1_2,31.872086,10.718701,2.4295,True
L1_4,24.007215,8.631489,2.4289,True
L1_6,12.542029,4.074205,2.0912,True
L1_7,21.790799,7.353967,2.248,True
L1_9,13.812286,5.633745,2.4295,True
L1_12,15.870866,4.82231,1.9428,True
L1_13,17.393416,4.944116,1.4605,True
L1_18,12.035786,2.740004,2.3101,False
L1_21,20.576327,2.829666,1.5963,True
L1_22,22.229539,7.693919,2.4184,True
L1_23,35.014348,7.558061,1.9875,True
L1_24,18.743957,3.705968,1.3657,True
L1_25,27.72184,4.414992,1.0687,True
L1_26,23.789588,7.638757,1.1222,True
L1_27,13.66738,3.420066,1.5827,True
L1_28,22.520456,6.888067,2.1848,True
L1_31,17.738029,4.789841,1.7359,True
L1_35,29.355251,9.394839,1.7663,True
L1_39,20.162,4.001503,1.5935,True
L2_1,35.230556,5.784852,2.0516,True
L2_3,21.102344,4.113701,1.459,True
L2_5,36.529434,10.904942,2.2894,True
L2_8,36.160255,12.575077,2.1,True
L2_10,24.119693,8.222814,1.1394,True
L2_13,22.136903,9.514476,1.2432,True
L2_14,30.047637,10.185154,1.4901,True
L2_16,27.41787,5.114587,2.2514,True
L2_18,16.316694,6.190827,1.4675,True
L2_19,36.776131,6.860098,1.2743,True
L2_20,38.277543,11.808065,1.8566,True
L3_1,27.942095,6.257817,2.2692,True
L3_6,29.031149,7.966227,2.225,True
L3_8,26.788477,6.350524,2.2588,True
L3_10,34.095574,6.320924,1.532,True
L4_1,32.776143,15.418366,2.3291,True
L4_2,28.299494,8.917217,2.4337,True
L4_3,45.90518,12.609016,2.2869,True
L4_4,35.661295,8.741231,1.6457,True
L4_7,49.762107,7.32274,1.6878,True
L1_1,24.927148,4.683903,1.4093,True
L1_2,25.649786,9.130834,2.4446,True
L1_3,20.149421,4.598246,1.3748,True
L1_4,24.145656,5.47639,1.2659,True
L1_5,22.119201,10.817861,1.8111,True
L1_6,17.097841,5.625695,2.3336,True
L1_7,22.311033,3.705317,1.7754,True
L1_8,30.578699,8.300298,1.8052,True
L1_9,19.639129,2.79708,1.5777,True
L1_10,27.635464,5.381523,2.0999,True
L1_11,24.428995,8.456849,1.3873,True
L1_12,19.173513,4.34011,1.4492,True
L1_13,26.771168,7.163722,1.494,True
L1_15,13.99418,5.579738,1.2616,True
L1_16,21.60203,5.702119,1.826,True
L1_23,34.570988,6.070402,1.5539,True
L1_24,17.961123,2.952465,2.371,True
L1_25,20.114625,6.860105,1.9422,True
L1_29,30.563831,5.944308,1.4532,True
L1_33,15.600822,4.79596,1.217,True
L1_35,27.488618,9.563067,1.7209,True
L1_36,17.863518,3.364459,2.3187,True
L1_37,16.398472,7.195522,1.8957,True
L1_39,18.932031,4.136688,1.6323,True
L1_40,23.911231,8.209716,2.0475,True
L2_6,25.020998,6.488247,1.1535,True
L2_8,25.863199,11.743458,1.2986,True
L2_10,30.174334,7.756169,1.802,True
L2_12,26.175099,4.095677,1.3624,True
L2_15,28.07599,5.609882,1.0986,True
L2_19,27.735568,8.070215,2.1377,True
L3_2,28.215234,10.675458,1.6812,True
L3_4,27.570631,4.988433,1.1536,True
L3_5,32.531021,8.627897,1.6609,True
L3_10,21.746613,5.867361,2.2395,True
L1_1,16.671364,3.639427,1.8881,True
L1_2,32.056212,5.397481,1.6092,True
L1_3,15.232926,5.673143,1.9748,True
L1_4,19.505202,7.77296,1.332,True
L1_6,14.755239,3.417018,1.2056,True
L1_7,22.972383,4.465601,2.1439,True
L1_12,17.451785,5.329834,1.0992,True
L1_13,22.801273,3.487512,1.771,True
L1_18,16.456672,5.346429,1.4773,True
L1_19,19.252935,4.895784,2.4573,True
L1_21,17.106374,3.268842,1.4773,True
L1_25,24.608714,4.945901,1.7239,True
L1_28,18.774016,5.498287,1.8687,True
L1_32,28.415729,8.883611,2.3293,True
L1_33,18.256955,3.065123,2.3075,True
L1_34,17.744797,6.675127,2.0394,True
L1_35,23.726668,5.382043,1.7542,True
L1_36,18.136922,4.927293,1.9097,True
L1_38,21.296817,7.036933,1.9598,True
L1_39,14.215854,4.717356,1.2224,True
L2_2,39.832174,5.424772,1.2092,True
L2_3,21.940498,6.015734,1.689,True
L2_5,37.284208,6.303026,1.5988,True
L2_9,27.217581,6.917902,1.7214,True
L2_10,24.676308,9.88348,2.4001,True
L2_12,19.096299,7.215043,1.6737,True
L2_13,26.83196,7.026997,1.6987,True
L2_15,20.061039,6.491799,1.6113,True
L2_17,27.390915,6.789533,1.2601,True
L2_18,19.886348,3.571423,1.556,True
L3_1,36.82087,8.959131,2.4458,True
L3_6,21.269449,8.336108,1.9921,True
L3_9,25.400192,7.783026,1.3758,True
L3_10,32.262005,7.63346,1.0978,True
L4_4,26.567381,6.28292,1.0852,True
L4_5,50.194205,14.145055,1.4753,True
L4_8,38.459856,7.300007,2.1736,True
