idx,x,y,series,label
1,1,0.632042,passatk,turn_1_p1
2,2,0.69655,passatk,turn_2_p2
3,3,0.757546,passatk,turn_3_p3
4,4,0.784504,passatk,turn_4_p4
5,5,0.819253,passatk,turn_5_p5
6,1,0.628115,passatk,turn_1_p6
7,2,0.706355,passatk,turn_2_p7
8,3,0.746103,passatk,turn_3_p8
9,4,0.793178,passatk,turn_4_p9
10,5,0.819602,passatk,turn_5_p10
11,1,0.629395,passatk,turn_1_p11
12,2,0.701833,passatk,turn_2_p12
13,3,0.74797,passatk,turn_3_p13
14,4,0.794748,passatk,turn_4_p14
15,5,0.825944,passatk,turn_5_p15
16,1,0.632301,passatk,turn_1_p16
17,2,0.70789,passatk,turn_2_p17
18,3,0.755241,passatk,turn_3_p18
19,4,0.791218,passatk,turn_4_p19
20,5,0.824564,passatk,turn_5_p20
21,1,0.62606,passatk,turn_1_p21
22,2,0.697974,passatk,turn_2_p22
23,3,0.754048,passatk,turn_3_p23
24,4,0.785203,passatk,turn_4_p24
25,5,0.820194,passatk,turn_5_p25
26,1,0.625335,passatk,turn_1_p26
27,2,0.698406,passatk,turn_2_p27
28,3,0.756173,passatk,turn_3_p28
29,4,0.795641,passatk,turn_4_p29
30,5,0.826156,passatk,turn_5_p30
