idx,x,y,series,label
1,0.395178,0.462732,reward_curve,reward_curve_1
2,0.418518,0.872422,reward_curve,reward_curve_2
3,0.82703,0.893375,reward_curve,reward_curve_3
4,0.112472,0.233591,reward_curve,reward_curve_4
5,0.43817,0.507205,reward_curve,reward_curve_5
6,0.187198,0.547296,reward_curve,reward_curve_6
7,0.637353,0.640826,reward_curve,reward_curve_7
8,0.681862,0.195271,reward_curve,reward_curve_8
9,0.584652,0.205305,reward_curve,reward_curve_9
10,0.666433,0.358694,reward_curve,reward_curve_10
11,0.722936,0.503884,reward_curve,reward_curve_11
12,0.36628,0.284869,reward_curve,reward_curve_12
13,0.280204,0.585775,reward_curve,reward_curve_13
14,0.457191,0.200585,reward_curve,reward_curve_14
15,0.929594,0.275592,reward_curve,reward_curve_15
16,0.733604,0.034654,reward_curve,reward_curve_16
17,0.796313,0.058998,reward_curve,reward_curve_17
18,0.267863,0.591293,reward_curve,reward_curve_18
19,0.379386,0.635073,reward_curve,reward_curve_19
20,0.752065,0.135745,reward_curve,reward_curve_20
21,0.345579,0.323201,reward_curve,reward_curve_21
22,0.837259,0.818449,reward_curve,reward_curve_22
23,0.165418,0.922449,reward_curve,reward_curve_23
24,0.098473,0.657578,reward_curve,reward_curve_24
25,0.767843,0.587981,reward_curve,reward_curve_25
26,0.500773,0.983219,reward_curve,reward_curve_26
27,0.253543,0.353714,reward_curve,reward_curve_27
28,0.183542,0.674555,reward_curve,reward_curve_28
29,0.110275,0.983012,reward_curve,reward_curve_29
30,0.506611,0.374633,reward_curve,reward_curve_30
