run_id,seed,task_id,compile_ok,correct,runtime_ms,speedup,joules,avg_power_w,sla_violation,reward,turns_to_success,data_scale_proxy,stage,checkpoint
run::M_ALL::telemetry_realism_ablation::seed11::L1_1,11,L1_1,1,0,1.938309,1.762778,0.4209,205.271,0,8.188535,-1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_2,11,L1_2,1,1,2.777217,1.977736,0.662406,216.427,0,13.37863,2,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_3,11,L1_3,1,1,2.603746,1.81998,0.513826,194.927,0,13.141799,2,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_4,11,L1_4,1,1,2.622238,1.828514,0.46914,162.56,0,13.653356,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_5,11,L1_5,1,1,1.932035,1.590853,0.427551,206.995,0,12.946436,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_6,11,L1_6,1,1,3.170395,1.680965,0.626922,199.097,0,12.904195,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_7,11,L1_7,1,0,2.546554,1.68804,0.562451,202.262,0,7.486684,-1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_8,11,L1_8,0,0,2.893741,1.767542,0.538539,183.794,0,6.856788,-1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_9,11,L1_9,1,0,2.313351,1.79722,0.376256,175.097,0,7.904276,-1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_10,11,L1_10,1,1,2.370203,1.600781,0.456691,191.394,0,12.716888,2,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_11,11,L1_11,1,1,2.921119,1.772933,0.509591,195.242,0,13.90585,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_12,11,L1_12,1,1,2.315356,1.799282,0.393856,173.653,0,13.090234,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_13,11,L1_13,1,1,3.251344,1.944499,0.613441,188.962,0,13.797107,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_14,11,L1_14,1,1,3.340673,1.607271,0.726047,215.16,0,12.595292,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_15,11,L1_15,1,0,3.14007,1.733235,0.624182,187.862,0,7.807883,-1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_16,11,L1_16,1,1,3.550909,1.789264,0.751429,213.422,0,12.076918,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_17,11,L1_17,0,0,3.392564,1.869035,0.643933,188.689,0,6.998703,6,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_18,11,L1_18,1,0,3.799439,1.516103,0.693079,174.505,0,7.956857,-1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_19,11,L1_19,1,1,1.621015,1.705266,0.292187,178.35,0,12.345732,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L1_20,11,L1_20,1,0,2.23375,1.787711,0.465244,200.891,0,8.707707,6,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L2_1,11,L2_1,1,1,6.319276,1.55652,1.435086,218.75,0,11.903796,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L2_2,11,L2_2,1,0,4.546063,1.752837,0.974987,206.247,0,7.17183,6,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L2_3,11,L2_3,1,0,6.084522,1.638471,1.246303,215.469,0,7.154925,6,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L2_4,11,L2_4,1,1,5.966197,1.638269,1.286789,215.965,0,12.217495,2,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
run::M_ALL::telemetry_realism_ablation::seed11::L2_5,11,L2_5,1,1,5.95972,1.803646,1.303242,215.198,0,11.970951,1,,suite,checkpoints/exp/telemetry_realism_ablation/m_all/seed11/checkpoint.json
