task_id,runtime_ms,joules,speedup,dominated
L1_3,16.507848,4.496619,1.653,True
L1_4,30.363689,4.811759,1.0516,True
L1_6,18.859409,3.528647,1.8747,True
L1_7,29.019869,5.224909,2.2437,True
L1_8,34.234571,10.782629,1.9867,True
L1_9,12.348809,3.150513,1.8735,False
L1_10,23.866622,8.79473,1.7189,True
L1_11,21.917983,8.846128,1.7148,True
L1_12,19.093078,4.004034,1.5759,True
L1_13,25.153695,9.021564,2.4827,True
L1_16,18.998221,6.943058,1.4462,True
L1_17,23.105107,11.34928,2.4408,True
L1_18,19.155084,3.383036,1.4574,True
L1_19,29.365176,4.851104,1.0925,True
L1_21,16.252855,6.169177,1.6002,True
L1_22,17.006774,8.898955,1.8401,True
L1_23,31.942773,6.137727,1.6089,True
L1_24,15.245813,5.268895,2.1125,True
L1_25,17.801352,7.265789,1.589,True
L1_27,12.352538,5.919605,1.8122,True
L1_29,23.711866,10.790088,1.9398,True
L1_30,19.835101,3.119867,2.1572,True
L1_31,24.785065,4.973931,1.38,True
L1_33,12.595604,3.865335,2.367,True
L1_34,28.86858,6.231462,2.1366,True
L1_35,22.289612,6.148582,2.1592,True
L1_36,17.382961,4.493182,2.209,True
L1_40,20.652999,5.951396,1.373,True
L2_1,31.053535,8.486253,1.1917,True
L2_3,23.143099,6.367356,1.8896,True
L2_7,31.321289,8.703966,2.057,True
L2_8,34.406248,10.796311,2.4176,True
L2_9,19.230936,7.86432,1.3814,True
L2_12,26.710314,6.134761,1.1301,True
L2_14,36.729693,7.901765,1.6982,True
L2_15,29.784148,7.131897,2.3251,True
L2_16,26.183265,8.704684,1.3649,True
L2_19,37.311665,7.088371,1.7332,True
L3_1,41.354812,10.123438,1.179,True
L3_2,37.09806,5.19333,2.4555,True
L3_4,22.5567,8.589247,1.8528,True
L3_6,24.447455,7.823803,2.1394,True
L1_1,20.74036,4.017317,2.1966,True
L1_2,34.809023,5.853451,2.4304,True
L1_3,18.364656,3.140142,1.7559,True
L1_4,20.154135,8.040013,1.5771,True
L1_5,19.728114,7.242801,2.4389,True
L1_7,21.956614,7.34621,1.2386,True
L1_8,28.946013,9.085064,1.3656,True
L1_10,16.768562,3.935933,1.7107,True
L1_17,31.502597,10.625464,2.0132,True
L1_19,16.408761,3.648494,1.5665,True
L1_27,12.649552,3.091342,2.1292,False
L1_28,17.326726,6.844789,2.4213,True
L1_35,22.983858,6.383538,2.0903,True
L1_37,23.69286,6.687382,2.3186,True
L1_39,15.098134,3.683059,1.1142,True
L2_3,26.951752,8.338327,2.065,True
L2_4,21.357118,9.090076,2.4269,True
L2_5,33.582621,8.987994,2.3517,True
L2_6,15.346308,5.113795,1.6927,True
L2_9,16.932755,7.004801,1.3966,True
L2_10,31.985597,8.836935,2.2271,True
L2_12,27.682913,6.629709,1.054,True
L3_1,40.735144,8.735106,1.3041,True
L3_2,31.419717,7.29572,1.9199,True
L3_3,27.342746,8.745737,1.0746,True
L3_4,26.631851,10.191074,1.6231,True
L3_5,43.684062,6.469409,2.4025,True
L3_7,38.665345,9.015362,1.4197,True
L3_10,27.005089,9.581766,2.1689,True
L4_2,30.812262,12.10684,1.8855,True
L4_4,31.933545,7.195558,1.1906,True
L1_1,22.550083,5.82575,1.7421,True
L1_5,25.507842,5.563984,2.2819,True
L1_7,17.574176,4.998483,1.7954,True
L1_9,19.831662,2.797225,1.3078,True
L1_12,11.102683,5.244531,2.0495,False
L1_15,13.008716,4.476498,1.5346,True
L1_16,25.180853,3.667889,1.3889,True
L1_17,30.577563,5.195049,1.1372,True
L1_19,26.113534,5.130228,1.9212,True
L1_20,23.635745,6.218539,2.0185,True
L1_22,27.431589,3.805747,2.4233,True
L1_23,23.306119,9.420398,1.2745,True
L1_30,19.726371,2.676361,1.5737,False
L1_38,26.230803,6.923337,1.1251,True
L2_1,28.625872,8.074251,2.3287,True
L2_9,15.795368,6.768672,1.2076,True
L2_10,23.156183,8.75895,1.7733,True
L2_11,39.49249,10.631435,1.9349,True
L2_12,16.069274,4.562447,1.7437,True
L2_18,23.697521,5.683889,1.9699,True
L2_19,29.45309,5.745199,2.4901,True
L3_2,22.879447,8.851039,1.5593,True
L3_3,32.585067,6.727837,1.4255,True
L3_4,24.908834,9.277085,2.2551,True
L3_6,31.570353,7.812924,1.193,True
L3_7,26.654983,10.071314,2.3658,True
L3_8,22.698288,7.509482,1.2416,True
L3_10,25.435203,5.318247,2.1599,True
L4_2,40.058363,7.951954,1.1396,True
L4_6,23.563597,11.399317,1.3695,True
L4_7,27.866509,9.72962,1.0876,True
