idx,x,y,series,label
1,1,0.626558,passatk,turn_1_pt_1
2,2,0.697629,passatk,turn_2_pt_2
3,3,0.751586,passatk,turn_3_pt_3
4,4,0.791613,passatk,turn_4_pt_4
5,5,0.817888,passatk,turn_5_pt_5
6,1,0.62855,passatk,turn_1_pt_6
7,2,0.695077,passatk,turn_2_pt_7
8,3,0.748487,passatk,turn_3_pt_8
9,4,0.785879,passatk,turn_4_pt_9
10,5,0.814119,passatk,turn_5_pt_10
11,1,0.63049,passatk,turn_1_pt_11
12,2,0.695344,passatk,turn_2_pt_12
13,3,0.74967,passatk,turn_3_pt_13
14,4,0.792193,passatk,turn_4_pt_14
15,5,0.824059,passatk,turn_5_pt_15
16,1,0.635069,passatk,turn_1_pt_16
17,2,0.704163,passatk,turn_2_pt_17
18,3,0.754171,passatk,turn_3_pt_18
19,4,0.792133,passatk,turn_4_pt_19
20,5,0.821747,passatk,turn_5_pt_20
21,1,0.633901,passatk,turn_1_pt_21
22,2,0.694765,passatk,turn_2_pt_22
23,3,0.747564,passatk,turn_3_pt_23
24,4,0.792116,passatk,turn_4_pt_24
25,5,0.823401,passatk,turn_5_pt_25
26,1,0.62847,passatk,turn_1_pt_26
27,2,0.6977,passatk,turn_2_pt_27
28,3,0.749329,passatk,turn_3_pt_28
29,4,0.792206,passatk,turn_4_pt_29
30,5,0.815767,passatk,turn_5_pt_30
